# Electric Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.2,0.0,0.0,0.0
0.3,-7.547099506871967e-21,6.145095931741283e-23,-1.2201961119122971e-14
0.4,-5.940474681116279e-21,8.203365614304622e-23,-4.3324752992588356e-14
0.5,-1.738101154939365e-20,8.787570006514013e-24,-8.915972706683374e-14
0.6,-2.065920177758572e-20,3.1299706408094625e-23,-1.4973982654634575e-13
0.7,-2.1045628096183437e-20,4.940620121623145e-23,-2.1631752935711e-13
0.8,-2.2891295968917024e-20,-5.70550328643325e-23,-2.805638330348402e-13
0.9,-1.3975189892344336e-20,-9.325600758160833e-23,-3.4210761031393883e-13
1.0,-1.4313544751110906e-20,-6.34463767914746e-23,-3.961245846916388e-13
1.1,-7.759979342300752e-21,-1.2969468105529628e-22,-4.3731363238726026e-13
1.2,-4.332645659881237e-21,-1.6443771861868008e-22,-4.692328743295617e-13
1.3,1.5371652940385598e-21,-9.845701601820394e-23,-4.939890836996375e-13
1.4,-5.3868551925655345e-22,-1.069159972974613e-22,-5.109054732756675e-13
1.5,-6.375282950838181e-22,-1.4037200967478758e-22,-5.254000385853425e-13
1.6,-2.038804719270081e-21,-6.152577074497535e-23,-5.42689549835886e-13
1.7,-8.518507177106659e-21,-7.200261116806772e-24,-5.633248231656752e-13
1.8,-9.525266742980839e-21,-2.9823779751085356e-23,-5.900201636999852e-13
1.9,-1.5834893576952165e-20,2.154713708087274e-24,-6.262972620515967e-13
2.0,-1.7073601640305304e-20,2.5619452814805494e-23,-6.716721433423036e-13
2.1,-1.6620170804808152e-20,-3.7109687414191276e-23,-7.248883117740576e-13
2.2,-1.9496650655603303e-20,-6.636115980412752e-23,-7.863967082906238e-13
2.3,-2.2097466477720412e-20,-5.709350279313039e-23,-8.554963091226213e-13
2.4,-2.4265281456088754e-20,-1.1075031126895854e-22,-9.289454535485335e-13
2.5,-2.4488458099631427e-20,-1.7344598827024706e-22,-1.0048111358672122e-12
2.6,-2.9683139600017745e-20,-1.8899434466515738e-22,-1.083399212213119e-12
2.7,-2.9644051955565424e-20,-2.0943292474051542e-22,-1.1616818764748342e-12
2.8,-3.263395271803032e-20,-2.435998460623467e-22,-1.2358346057610466e-12
2.9,-3.076723359414378e-20,-2.400560391157757e-22,-1.3071646231007563e-12
3.0,-2.0213932508012695e-20,-1.9823383158491736e-22,-1.3742545724609268e-12
3.1,-1.606990513391477e-20,-1.599936760421449e-22,-1.431829995786404e-12
3.2,-1.4085712193947926e-20,-1.0735185252423298e-22,-1.4816743542511655e-12
3.3,-1.5864692259282468e-20,-8.491554426771896e-24,-1.5250925078733595e-12
3.4,-1.9063857086912407e-20,9.00358536782411e-23,-1.556401670657342e-12
3.5,-2.869094412281618e-20,1.4733987937506072e-22,-1.5774106904160225e-12
3.6,-3.1838824821167515e-20,2.249938085407053e-22,-1.592825017281185e-12
3.7,-2.8843868781959867e-20,3.4671085469001207e-22,-1.5977749335938451e-12
3.8,-3.1894947028683727e-20,4.267330599966053e-22,-1.593465006428474e-12
3.9,-3.332035303927119e-20,4.961292417582772e-22,-1.5876565749595632e-12
4.0,-3.258348844729951e-20,6.169516436856451e-22,-1.57702315599445e-12
4.1,-2.6710664354138418e-20,6.685965205729709e-22,-1.561248294991357e-12
4.2,-2.569882397379508e-20,6.253891494129946e-22,-1.549758762102894e-12
4.3,-3.0636319737579324e-20,6.247525905714793e-22,-1.5408628556498881e-12
4.4,-2.736753168198681e-20,6.027988951587215e-22,-1.5318577726668222e-12
4.5,-2.873082268874106e-20,4.662395345247586e-22,-1.5319288207744868e-12
4.6,-2.8387136345487155e-20,3.753459276079267e-22,-1.5406725360329633e-12
4.7,-2.358080912429897e-20,3.341978611344224e-22,-1.5525975440429428e-12
4.8,-2.5791163241387385e-20,1.995861853430649e-22,-1.5749045911275777e-12
4.9,-2.8448894446100566e-20,1.0933137193717079e-22,-1.6080079776253218e-12
5.0,-3.041155161171241e-20,1.2317702385938754e-22,-1.6439770302000127e-12
5.1,-2.926911783208116e-20,2.3605778941668562e-23,-1.6870752499808339e-12
5.2,-3.262767763372678e-20,-1.240547186818929e-22,-1.738278855780612e-12
5.3,-3.246449676988972e-20,-1.5553096545388736e-22,-1.7883844525864844e-12
5.4,-3.081453996450563e-20,-2.5459441015215574e-22,-1.8388947889810875e-12
5.5,-3.12726932151599e-20,-4.550241642643416e-22,-1.891460084373423e-12
5.6,-2.82404419636313e-20,-5.340343483906849e-22,-1.9372646736545225e-12
5.7,-2.4758587117280183e-20,-5.896026419582613e-22,-1.9761693405532227e-12
5.8,-2.4570579947301358e-20,-7.4157694164746e-22,-2.0107920648812908e-12
5.9,-2.2046951803831397e-20,-7.920736529606509e-22,-2.034193131710478e-12
