Wavelengths	Abs	Scatt
8.000000003200000709e-01	-2.323600054306801110e-01	6.379085022847589756e-03
7.736842108052494060e-01	-7.863938554284193028e-02	3.765267878987327982e-02
7.490445862296272184e-01	1.385967879795979851e-01	4.469418277984359839e-02
7.259259261356378889e-01	1.906126772867861585e-01	3.547106424990929818e-02
7.041916169469425446e-01	1.272426329599297412e-01	3.333626237478921894e-02
6.837209303867928245e-01	1.093637328961621219e-01	4.801187513234023846e-02
6.644067797916460849e-01	2.096241614271871501e-01	7.160985890583916602e-02
6.461538462631952751e-01	3.793942340776956246e-01	9.279633208291389324e-02
6.288770054377214036e-01	5.463949640828391630e-01	1.095599881334338027e-01
6.125000000727344185e-01	7.033138601594794981e-01	1.294541588098187535e-01
5.969543147777803815e-01	9.047980919842298908e-01	1.603488004477753304e-01
5.821782178644367978e-01	1.197792486089668484e+00	2.016382373468907085e-01
5.681159420586263664e-01	1.562058775752661610e+00	2.429915777201955007e-01
5.547169811498682268e-01	1.911263354944169768e+00	2.704715942550867669e-01
5.419354838779605332e-01	2.145734091184346326e+00	2.746750223524074275e-01
5.297297297268663829e-01	2.210704526174224416e+00	2.553420937924392176e-01
5.180616739969431395e-01	2.119697169829428685e+00	2.203337797891159189e-01
5.068965517040369129e-01	1.935356559562745327e+00	1.807477944177979523e-01
4.962025316179329848e-01	1.729386777447444734e+00	1.457290361152396296e-01
4.859504131886019374e-01	1.550382350045689472e+00	1.197417622531417453e-01
4.761133602830218692e-01	1.414941926130584893e+00	1.029116154556244112e-01
4.666666666199999480e-01	1.318381342213980290e+00	9.317905425053843449e-02
4.575875485861418124e-01	1.250791308898911991e+00	8.843688424858903163e-02
4.488549617751832477e-01	1.206369635209042057e+00	8.749760501463905993e-02
4.404494381408812220e-01	1.183316910822675538e+00	8.986879629643446110e-02
4.323529411109818255e-01	1.179354704678937216e+00	9.506999605903615480e-02
4.245487363928173163e-01	1.189122788329539882e+00	1.022396194725569835e-01
4.170212765229878160e-01	1.205600876277773015e+00	1.102726001822819657e-01
4.097560974850208981e-01	1.223186968558724441e+00	1.182112890274870237e-01
4.027397259485044345e-01	1.239046269769575215e+00	1.254752858338577248e-01
3.959595958780042779e-01	1.251848573189667357e+00	1.317757747750465391e-01
3.894039734258637475e-01	1.259947060123279394e+00	1.369099526226108254e-01
3.830618891644694823e-01	1.261416041105820618e+00	1.407310402529795557e-01
3.769230768346450433e-01	1.255987513766448016e+00	1.433566299103279096e-01
3.709779178907271491e-01	1.246447149816880762e+00	1.453553574614147581e-01
3.652173912122495536e-01	1.237264256978561905e+00	1.475902723271950157e-01
3.596330274292331985e-01	1.231203098414822117e+00	1.507197400195204595e-01
3.542168673747104202e-01	1.227368009433707385e+00	1.547884027519539074e-01
3.489614242358362595e-01	1.223274564480309134e+00	1.594025955025031305e-01
3.438596490250784843e-01	1.219214152575782251e+00	1.644592819096686587e-01
3.389048990366075875e-01	1.219697813433587630e+00	1.706802111112909193e-01
3.340909089910614749e-01	1.228865595287608414e+00	1.791112493252634552e-01
3.294117646051211157e-01	1.243927276585019781e+00	1.897394777075013528e-01
3.248618783514520825e-01	1.255558084815823205e+00	2.007670643583334413e-01
3.204359672001223514e-01	1.258692228765722732e+00	2.101762953423130798e-01
3.161290321550676574e-01	1.263240173848319881e+00	2.189178127938464224e-01
3.119363394189537675e-01	1.287249253333170529e+00	2.318538066485415494e-01
3.078534030372391261e-01	1.330717148583434373e+00	2.526888885598203571e-01
3.038759688876582210e-01	1.359432866597413581e+00	2.756158391535147301e-01
2.999999998950000357e-01	1.336660089871539503e+00	2.852282659494876915e-01
