Wavelengths	Abs	Scatt
8.000000003200000709e-01	8.822677004233563103e-02	6.425074674021584442e-02
7.565217393837051496e-01	9.050709604278198150e-02	3.556004100914603172e-02
7.175257733941204918e-01	-1.220410403504401491e-02	1.177203990798767787e-02
6.823529413289965984e-01	1.909326263986030336e-01	6.624982769008863626e-02
6.504672898339138865e-01	2.025567033600287892e-01	5.962652407252563846e-02
6.214285715106888652e-01	3.965791933804864722e-01	1.029381507512033694e-01
5.948717949267061655e-01	6.679631752750814222e-01	1.473086826102819880e-01
5.704918033104864339e-01	1.084243317273648977e+00	2.107659228849521060e-01
5.480314960750747311e-01	1.789227464841318449e+00	2.919456236057387244e-01
5.272727272679339494e-01	2.194091003360758574e+00	2.826216949860712035e-01
5.080291970610091301e-01	1.994484632319050821e+00	1.997865483242370066e-01
4.901408450386669502e-01	1.623967187237375098e+00	1.347068678222036742e-01
4.734693877125864536e-01	1.384549638194003895e+00	1.045791415804702140e-01
4.578947367902908572e-01	1.251708133516127752e+00	9.592483874682497524e-02
4.433121018509668110e-01	1.200781237344539010e+00	1.024882984351382226e-01
4.296296295627983763e-01	1.213007097246560306e+00	1.188110923818483794e-01
4.167664669929965759e-01	1.265206513270766608e+00	1.453953537250542161e-01
4.046511627125906063e-01	1.360143241301120520e+00	1.810153984263417615e-01
3.932203389004079175e-01	1.482420117912288893e+00	2.246920505945051716e-01
3.824175823310131395e-01	1.619763247446828203e+00	2.761092484983783679e-01
3.721925132790208646e-01	1.756148826521688688e+00	3.265580046401482250e-01
3.624999999071094048e-01	1.845686501227719489e+00	3.691871431085444466e-01
3.532994922903780477e-01	1.864260304486846875e+00	3.926886524555975866e-01
3.445544553479776839e-01	1.790561050915203234e+00	3.840436146335189926e-01
3.362318839585633490e-01	1.626780469646300409e+00	3.545964904179244592e-01
3.283018866914845235e-01	1.434583561162734222e+00	3.063450795904185120e-01
3.207373270866589188e-01	1.212978384136909504e+00	2.468867802747076734e-01
3.135135134101388332e-01	1.013269133473145400e+00	2.081471326782684816e-01
3.066079294111448417e-01	8.659394790406204079e-01	1.512719873800589809e-01
2.999999998950000357e-01	6.609970573024857021e-01	1.149497385896397772e-01
