Wavelengths	Abs	Scatt
8.000000003200000709e-01	3.727341782076933757e-02	1.755595813168100289e-02
7.736842108052494060e-01	4.764077066912236064e-02	2.157822175547845917e-02
7.490445862296272184e-01	6.192581899108050986e-02	2.662839808200887989e-02
7.259259261356378889e-01	8.204041342597830078e-02	3.303832539747211805e-02
7.041916169469425446e-01	1.112081141430976000e-01	4.127175751632586320e-02
6.837209303867928245e-01	1.544202056716534044e-01	5.193884570103882159e-02
6.644067797916460849e-01	2.189268470675944656e-01	6.588141709362940746e-02
6.461538462631952751e-01	3.180279087692184370e-01	8.400649517614983131e-02
6.288770054377214036e-01	4.621013724178530402e-01	1.062120825804988844e-01
6.125000000727344185e-01	6.423964897861117462e-01	1.319864810866462068e-01
5.969543147777803815e-01	8.593034881166510264e-01	1.636683404270017628e-01
5.821782178644367978e-01	1.144358719770546040e+00	2.035408787187063251e-01
5.681159420586263664e-01	1.507573050644950730e+00	2.473156997822833769e-01
5.547169811498682268e-01	1.892924661568580191e+00	2.826175756348021095e-01
5.419354838779605332e-01	2.181511400580569582e+00	2.930771887364959638e-01
5.297297297268663829e-01	2.266731167635608557e+00	2.715792638859065855e-01
5.180616739969431395e-01	2.160173413352617366e+00	2.299184777927589240e-01
5.068965517040369129e-01	1.959916109030120923e+00	1.858477714186392848e-01
4.962025316179329848e-01	1.750166724782657779e+00	1.494073106744224777e-01
4.859504131886019374e-01	1.570215215952610599e+00	1.228979826833968281e-01
4.761133602830218692e-01	1.430089970254678544e+00	1.052407521578882371e-01
4.666666666199999480e-01	1.327715494889331049e+00	9.464865835768476732e-02
4.575875485861418124e-01	1.257636305772209750e+00	8.955485910757338130e-02
4.488549617751832477e-01	1.214225936251027038e+00	8.876338580907976172e-02
4.404494381408812220e-01	1.192442307269648838e+00	9.135517334673978751e-02
4.323529411109818255e-01	1.187685597822162098e+00	9.654707691212890963e-02
4.245487363928173163e-01	1.195441857019621690e+00	1.035713412310709652e-01
4.170212765229878160e-01	1.211046015009352717e+00	1.116099678422949465e-01
4.097560974850208981e-01	1.229759303217529576e+00	1.198105400137769727e-01
4.027397259485044345e-01	1.247219293156238917e+00	1.273883917891885376e-01
3.959595958780042779e-01	1.260109183959368329e+00	1.337754205033359622e-01
3.894039734258637475e-01	1.266704663836742961e+00	1.387371453538497335e-01
3.830618891644694823e-01	1.266981038163589979e+00	1.423901105918830845e-01
3.769230768346450433e-01	1.262229122139790771e+00	1.451133869106831231e-01
3.709779178907271491e-01	1.254410073246990276e+00	1.474081468131240025e-01
3.652173912122495536e-01	1.245551585985322118e+00	1.497710721696809411e-01
3.596330274292331985e-01	1.237362225854682807e+00	1.526172880590961345e-01
3.542168673747104202e-01	1.231078537431604891e+00	1.562531899985089567e-01
3.489614242358362595e-01	1.227471314230546229e+00	1.608817374905937847e-01
3.438596490250784843e-01	1.226927133975508344e+00	1.666218679456070995e-01
3.389048990366075875e-01	1.229547236934584564e+00	1.735299746063101722e-01
3.340909089910614749e-01	1.235234878743204368e+00	1.816178071495671287e-01
3.294117646051211157e-01	1.243761846310782015e+00	1.908652620471293915e-01
3.248618783514520825e-01	1.254814677272777290e+00	2.012284895885285141e-01
3.204359672001223514e-01	1.268024766041063289e+00	2.126443901832022476e-01
3.161290321550676574e-01	1.282987166573666515e+00	2.250326004487644971e-01
3.119363394189537675e-01	1.299272458135659614e+00	2.382958957973234093e-01
3.078534030372391261e-01	1.316435377175153132e+00	2.523197500082438594e-01
3.038759688876582210e-01	1.334023088867335671e+00	2.669716605261528430e-01
2.999999998950000357e-01	1.351584119135198936e+00	2.821007660279444273e-01
