Wavelengths	Abs	Scatt
8.000000003200000709e-01	2.065110028965595756e-02	1.634317252297399700e-02
7.736842108052494060e-01	2.670326026654309612e-02	1.990825723745788187e-02
7.490445862296272184e-01	3.541970436588407628e-02	2.434355438743937561e-02
7.259259261356378889e-01	4.753524709854464042e-02	2.991717284222124643e-02
7.041916169469425446e-01	6.685336790258067374e-02	3.707565277735608289e-02
6.837209303867928245e-01	1.001906807762640850e-01	4.617107190658793076e-02
6.644067797916460849e-01	1.489587066247805291e-01	5.743386514181887670e-02
6.461538462631952751e-01	2.174562963864701548e-01	7.113140683895040339e-02
6.288770054377214036e-01	2.942240555892734477e-01	8.806866010614998463e-02
6.125000000727344185e-01	3.963877163107957236e-01	1.110524019049624611e-01
5.969543147777803815e-01	5.501284342787405857e-01	1.427393972982423098e-01
5.821782178644367978e-01	7.900397674804320314e-01	1.846485446658086560e-01
5.681159420586263664e-01	1.134683199252853214e+00	2.349968303756502785e-01
5.547169811498682268e-01	1.573225781064437889e+00	2.858249594010386363e-01
5.419354838779605332e-01	2.004946693017533921e+00	3.154279503283877739e-01
5.297297297268663829e-01	2.234907003714334817e+00	3.013977001085783036e-01
5.180616739969431395e-01	2.187810958589790022e+00	2.524950850508331235e-01
5.068965517040369129e-01	1.982485043691810001e+00	1.976307697398990704e-01
4.962025316179329848e-01	1.753074205983132350e+00	1.542009558291184967e-01
4.859504131886019374e-01	1.560113374415442289e+00	1.250212351414239365e-01
4.761133602830218692e-01	1.415658438203416525e+00	1.074805698129598641e-01
4.666666666199999480e-01	1.314752701794534850e+00	9.852655070061791531e-02
4.575875485861418124e-01	1.249318921432080787e+00	9.591523040863074445e-02
4.488549617751832477e-01	1.212335017434236661e+00	9.821503160676819943e-02
4.404494381408812220e-01	1.198546843483378810e+00	1.045806475848655992e-01
4.323529411109818255e-01	1.204218946148846392e+00	1.145528429172934792e-01
4.245487363928173163e-01	1.226720939074634531e+00	1.279154476283736741e-01
4.170212765229878160e-01	1.264148322972568961e+00	1.445922564630763296e-01
4.097560974850208981e-01	1.314987076304856561e+00	1.645620543605754160e-01
4.027397259485044345e-01	1.377779674221684569e+00	1.877737022200627603e-01
3.959595958780042779e-01	1.450750064019013408e+00	2.140479393148647658e-01
3.894039734258637475e-01	1.531373625160775243e+00	2.429590197219351488e-01
3.830618891644694823e-01	1.615929151091873628e+00	2.737006515549454955e-01
3.769230768346450433e-01	1.699141064294339198e+00	3.049603152082780433e-01
3.709779178907271491e-01	1.774100970058317905e+00	3.348535987113316348e-01
3.652173912122495536e-01	1.832706783707070075e+00	3.609952538474729411e-01
3.596330274292331985e-01	1.866787274600035351e+00	3.807792587060081502e-01
3.542168673747104202e-01	1.869804038836451632e+00	3.918732508417072657e-01
3.489614242358362595e-01	1.838593528346968320e+00	3.928029022200429932e-01
3.438596490250784843e-01	1.774336617996896903e+00	3.833862823774460971e-01
3.389048990366075875e-01	1.682190677372829235e+00	3.647950613580959733e-01
3.340909089910614749e-01	1.569770241951830680e+00	3.392023980363900737e-01
3.294117646051211157e-01	1.445321076171466990e+00	3.091973419899848863e-01
3.248618783514520825e-01	1.316391140108108759e+00	2.772298133200317150e-01
3.204359672001223514e-01	1.189186738203052762e+00	2.452642028649479611e-01
3.161290321550676574e-01	1.068340072529474050e+00	2.146684614731512175e-01
3.119363394189537675e-01	9.568742657230520088e-01	1.862674021131618396e-01
3.078534030372391261e-01	8.563526786008019975e-01	1.604693601028811534e-01
3.038759688876582210e-01	7.671899805551464224e-01	1.374000531021489224e-01
2.999999998950000357e-01	6.890152197734469297e-01	1.170095987302744583e-01
