Wavelengths	Abs	Scatt
8.000000003200000709e-01	8.393102816845505394e+295	-8.393102816845505394e+295
7.736842108052494060e-01	3.565483834368645575e+295	-3.565483834368645575e+295
7.490445862296272184e-01	1.568751272626173849e+295	-1.568751272626173849e+295
7.259259261356378889e-01	7.147500356163675970e+294	-7.147500356163675970e+294
7.041916169469425446e-01	3.371761835441747348e+294	-3.371761835441747348e+294
6.837209303867928245e-01	1.646689108110668983e+294	-1.646689108110668983e+294
6.644067797916460849e-01	8.324835169294376562e+293	-8.324835169294376562e+293
6.461538462631952751e-01	4.356233555778130884e+293	-4.356233555778130884e+293
6.288770054377214036e-01	2.359300391790210338e+293	-2.359300391790210338e+293
6.125000000727344185e-01	1.322388021437480431e+293	-1.322388021437480431e+293
5.969543147777803815e-01	7.670201451313986800e+292	-7.670201451313986800e+292
5.821782178644367978e-01	4.603594880447480118e+292	-4.603594880447480118e+292
5.681159420586263664e-01	2.858919730023521296e+292	-2.858919730023521296e+292
5.547169811498682268e-01	1.836941625420569656e+292	-1.836941625420569656e+292
5.419354838779605332e-01	1.221105589276478092e+292	-1.221105589276478092e+292
5.297297297268663829e-01	8.397564614837325623e+291	-8.397564614837325623e+291
5.180616739969431395e-01	5.974138119123997748e+291	-5.974138119123997748e+291
5.068965517040369129e-01	4.396427564286365790e+291	-4.396427564286365790e+291
4.962025316179329848e-01	3.346644732641867807e+291	-3.346644732641867807e+291
4.859504131886019374e-01	2.635042903603153518e+291	-2.635042903603153518e+291
4.761133602830218692e-01	2.145944430329766449e+291	-2.145944430329766449e+291
4.666666666199999480e-01	1.807536668398260896e+291	-1.807536668398260896e+291
4.575875485861418124e-01	1.574633822525592624e+291	-1.574633822525592624e+291
4.488549617751832477e-01	1.418673828451913060e+291	-1.418673828451913060e+291
4.404494381408812220e-01	1.321854053454512908e+291	-1.321854053454512908e+291
4.323529411109818255e-01	1.273710117273409308e+291	-1.273710117273409308e+291
4.245487363928173163e-01	1.269207726120037417e+291	-1.269207726120037417e+291
4.170212765229878160e-01	1.307854336152158899e+291	-1.307854336152158899e+291
4.097560974850208981e-01	1.393608429113414013e+291	-1.393608429113414013e+291
4.027397259485044345e-01	1.535562769375713018e+291	-1.535562769375713018e+291
3.959595958780042779e-01	1.749568602955443968e+291	-1.749568602955443968e+291
3.894039734258637475e-01	2.061211403295663613e+291	-2.061211403295663613e+291
3.830618891644694823e-01	2.510927355304909899e+291	-2.510927355304909899e+291
3.769230768346450433e-01	3.162699996158728061e+291	-3.162699996158728061e+291
3.709779178907271491e-01	4.118950392129558280e+291	-4.118950392129558280e+291
3.652173912122495536e-01	5.546418493198583807e+291	-5.546418493198583807e+291
3.596330274292331985e-01	7.721992961283933815e+291	-7.721992961283933815e+291
3.542168673747104202e-01	1.111553836073435675e+292	-1.111553836073435675e+292
3.489614242358362595e-01	1.654284095568114202e+292	-1.654284095568114202e+292
3.438596490250784843e-01	2.545439919264979248e+292	-2.545439919264979248e+292
3.389048990366075875e-01	4.049336351689975856e+292	-4.049336351689975856e+292
3.340909089910614749e-01	6.659909977348487183e+292	-6.659909977348487183e+292
3.294117646051211157e-01	1.132430233166978421e+293	-1.132430233166978421e+293
3.248618783514520825e-01	1.990708402968690713e+293	-1.990708402968690713e+293
3.204359672001223514e-01	3.617850170149403003e+293	-3.617850170149403003e+293
3.161290321550676574e-01	6.797247267357165971e+293	-6.797247267357165971e+293
3.119363394189537675e-01	1.320224817795735790e+294	-1.320224817795735790e+294
3.078534030372391261e-01	2.650876016221910110e+294	-2.650876016221910110e+294
3.038759688876582210e-01	5.502450681642601394e+294	-5.502450681642601394e+294
2.999999998950000357e-01	1.180738035081369648e+295	-1.180738035081369648e+295
