Wavelengths	Abs	Scatt
8.000000003200000709e-01	3.853971251790244690e-02	1.780590772206801231e-02
7.565217393837051496e-01	5.939649369156593112e-02	2.533416900448175538e-02
7.175257733941204918e-01	9.700045299363500850e-02	3.669605467385536612e-02
6.823529413289965984e-01	1.710859238245222014e-01	5.438240234398467737e-02
6.504672898339138865e-01	3.256953036232432264e-01	8.202123437343945833e-02
6.214285715106888652e-01	6.009323048440914361e-01	1.191323836135481373e-01
5.948717949267061655e-01	9.533294281212097987e-01	1.679765070032461782e-01
5.704918033104864339e-01	1.494552842930267689e+00	2.336411583044432916e-01
5.480314960750747311e-01	2.046643449297426809e+00	2.758978185708768072e-01
5.272727272679339494e-01	2.210735070564127547e+00	2.507085988176317448e-01
5.080291970610091301e-01	1.950473909678610118e+00	1.836001182502223772e-01
4.901408450386669502e-01	1.621597097437743162e+00	1.295477665025140390e-01
4.734693877125864536e-01	1.386158968350106324e+00	9.983070112532480000e-02
4.578947367902908572e-01	1.250399794396091391e+00	8.825682436668386144e-02
4.433121018509668110e-01	1.190092829744560099e+00	8.883990724352928969e-02
4.296296295627983763e-01	1.182136143760603941e+00	9.743908800597052278e-02
4.167664669929965759e-01	1.204775239011194321e+00	1.103622873417822448e-01
4.046511627125906063e-01	1.235728279935393026e+00	1.236781219259215497e-01
3.932203389004079175e-01	1.256506867938289362e+00	1.341513836069452292e-01
3.824175823310131395e-01	1.259643183245668929e+00	1.408122050643837719e-01
3.721925132790208646e-01	1.249403450377490232e+00	1.450622286079124301e-01
3.624999999071094048e-01	1.235004433389675915e+00	1.492028681230537779e-01
3.532994922903780477e-01	1.224156442772429632e+00	1.551069342952567931e-01
3.445544553479776839e-01	1.220978140983190352e+00	1.638367544720147340e-01
3.362318839585633490e-01	1.226659184508599898e+00	1.758145062824418015e-01
3.283018866914845235e-01	1.240652419192399103e+00	1.910733994141309011e-01
3.207373270866589188e-01	1.261524368761460568e+00	2.094203184783153260e-01
3.135135134101388332e-01	1.287412038803908532e+00	2.305086368800804975e-01
3.066079294111448417e-01	1.316233406059276634e+00	2.538552779377552526e-01
2.999999998950000357e-01	1.345816786261215592e+00	2.788311239323092994e-01
