Wavelengths	Abs	Scatt
8.000000003200000709e-01	2.197372063511184720e-02	1.679766619512551226e-02
7.565217393837051496e-01	3.542062183458660057e-02	2.358204224197692905e-02
7.175257733941204918e-01	6.249182617715771243e-02	3.384490433118927250e-02
6.823529413289965984e-01	1.391887690035936709e-01	4.872618162370712103e-02
6.504672898339138865e-01	2.277509959014346053e-01	6.853733829568205149e-02
6.214285715106888652e-01	3.929215579002673375e-01	1.001749150554445272e-01
5.948717949267061655e-01	6.639230789983758818e-01	1.467563744029585227e-01
5.704918033104864339e-01	1.093310888912429668e+00	2.125796884997686598e-01
5.480314960750747311e-01	1.777893865403412876e+00	2.905289398451761373e-01
5.272727272679339494e-01	2.204436372496933139e+00	2.831277820237752540e-01
5.080291970610091301e-01	1.987046078252862502e+00	1.996277831720262297e-01
4.901408450386669502e-01	1.628305215060641187e+00	1.348787413524583922e-01
4.734693877125864536e-01	1.382780555479902862e+00	1.043592384066477363e-01
4.578947367902908572e-01	1.251606362547732054e+00	9.617617409320786126e-02
4.433121018509668110e-01	1.202013513171046100e+00	1.022367528343215426e-01
4.296296295627983763e-01	1.211363494505169447e+00	1.190110612342410029e-01
4.167664669929965759e-01	1.266609730800190459e+00	1.453242555906660016e-01
4.046511627125906063e-01	1.359500676786812301e+00	1.808786684730940564e-01
3.932203389004079175e-01	1.482002221197263880e+00	2.250672757924281064e-01
3.824175823310131395e-01	1.621194652286139126e+00	2.755959333847531889e-01
3.721925132790208646e-01	1.754212158061093207e+00	3.269143189106565872e-01
3.624999999071094048e-01	1.847161641552148126e+00	3.694258570813488962e-01
3.532994922903780477e-01	1.864386259017329461e+00	3.915707297120198382e-01
3.445544553479776839e-01	1.788070249990729499e+00	3.857112176175003238e-01
3.362318839585633490e-01	1.631460493792119548e+00	3.535805262346241595e-01
3.283018866914845235e-01	1.429121192703730170e+00	3.050664502821032742e-01
3.207373270866589188e-01	1.216203252538446300e+00	2.515788987118946496e-01
3.135135134101388332e-01	1.017438010047529540e+00	2.009740170244042334e-01
3.066079294111448417e-01	8.459562667322814145e-01	1.569018098522288462e-01
2.999999998950000357e-01	7.056395041519982758e-01	1.203530251782938543e-01
