# Electric Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.100072554,0.0,0.0,0.0
0.200145108,0.0,0.0,0.0
0.300217662,0.0,0.0,0.0
0.400290216,0.0,0.0,0.0
0.50036277,0.0,0.0,0.0
0.600435324,0.0,0.0,0.0
0.700507878,0.0,0.0,0.0
0.800580432,0.0,0.0,0.0
0.900652986,0.0,0.0,0.0
1.00072554,0.0,0.0,0.0
1.100798094,0.0,0.0,0.0
1.200870648,0.0,0.0,0.0
1.300943202,0.0,0.0,0.0
1.401015756,0.0,0.0,0.0
1.50108831,0.0,0.0,0.0
1.601160864,0.0,0.0,0.0
1.701233418,0.0,0.0,0.0
1.801305972,0.0,0.0,0.0
1.901378526,0.0,0.0,0.0
2.00145108,0.0,0.0,0.0
2.101523634,0.0,0.0,0.0
2.201596188,0.0,0.0,0.0
2.301668742,0.0,0.0,0.0
2.401741296,0.0,0.0,0.0
2.50181385,0.0,0.0,0.0
2.601886404,0.0,0.0,0.0
2.701958958,0.0,0.0,0.0
2.802031512,7.910726433993082e-33,-4.416322429620087e-35,0.0
2.902104066,3.794774306855926e-31,-1.0547630586830802e-32,-2.5665608502879724e-49
3.00217662,9.244279646172307e-30,-4.87395038103698e-31,-9.624603188579897e-50
3.102249174,1.5242110975452226e-28,-1.2220673576660778e-29,-2.648771002523759e-46
3.202321728,1.9127653480534108e-27,-2.101738282369362e-28,9.344848055898507e-46
3.302394282,1.947763805022949e-26,-2.755789380318851e-27,6.73465567115564e-44
3.402466836,1.6755623974458529e-25,-2.9253628872366814e-26,1.629458152630828e-43
3.50253939,1.2517335037917382e-24,-2.61306380805492e-25,-9.797774182270527e-43
3.602611944,8.284575718285248e-24,-2.0175169878390683e-24,-8.914712989877045e-42
3.702684498,4.9315849671305486e-23,-1.3732176765346196e-23,-7.431170186655998e-41
3.802757052,2.671510110703662e-22,-8.364725280167471e-23,-6.58208582490318e-40
3.902829606,1.3293551982097426e-21,-4.614214489355396e-22,-1.748548626047672e-38
4.00290216,6.1226034397585294e-21,-2.3271471784055543e-21,-4.852510399332076e-38
4.102974714,2.6264112928873158e-20,-1.0815257470635283e-20,-5.875932906740512e-38
