# Reference (vacuum, no NP/molecule) electric field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.100072554,0.0,0.0,0.0
0.200145108,0.0,0.0,0.0
0.300217662,0.0,0.0,0.0
0.400290216,0.0,0.0,0.0
0.50036277,0.0,0.0,0.0
0.600435324,0.0,0.0,0.0
0.700507878,0.0,0.0,0.0
0.800580432,0.0,0.0,0.0
0.900652986,0.0,0.0,0.0
1.00072554,0.0,0.0,0.0
1.100798094,0.0,0.0,0.0
1.200870648,0.0,0.0,0.0
1.300943202,0.0,0.0,0.0
1.401015756,0.0,0.0,0.0
1.50108831,0.0,0.0,0.0
1.601160864,0.0,0.0,0.0
1.701233418,0.0,0.0,0.0
1.801305972,0.0,0.0,0.0
1.901378526,0.0,0.0,0.0
2.00145108,0.0,0.0,0.0
2.101523634,0.0,0.0,0.0
2.201596188,0.0,0.0,0.0
2.301668742,0.0,0.0,0.0
2.401741296,0.0,0.0,0.0
2.50181385,0.0,0.0,0.0
2.601886404,0.0,0.0,0.0
2.701958958,0.0,0.0,0.0
2.802031512,6.891117849329921e-33,0.0,0.0
2.902104066,3.2281946113277883e-31,0.0,0.0
3.00217662,7.658848098426062e-30,0.0,0.0
3.102249174,1.226528592109755e-28,0.0,0.0
3.202321728,1.4910665951876011e-27,0.0,0.0
3.302394282,1.4672233949374637e-26,0.0,0.0
3.402466836,1.2168962597462167e-25,0.0,0.0
3.50253939,8.746941018674857e-25,0.0,0.0
3.602611944,5.5605117789660494e-24,0.0,0.0
3.702684498,3.1748789607941836e-23,0.0,0.0
3.802757052,1.6479705098370647e-22,0.0,0.0
3.902829606,7.8525298215065625e-22,0.0,0.0
4.00290216,3.462398320083233e-21,0.0,0.0
4.102974714,1.4221494589556028e-20,0.0,0.0
4.203047268,5.472178680901386e-20,0.0,0.0
4.303119822,1.9820451325087e-19,0.0,0.0
4.403192376,6.785949724801813e-19,0.0,0.0
4.50326493,2.204059644777457e-18,0.0,0.0
4.603337484,6.812863465975527e-18,0.0,0.0
4.703410038,2.0097650332251222e-17,0.0,0.0
4.803482592,5.672156507805159e-17,0.0,0.0
4.903555146,1.5349664692326258e-16,0.0,0.0
