# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.100072554,0.0,0.0,0.0
0.200145108,0.0,0.0,0.0
0.300217662,0.0,0.0,0.0
0.400290216,0.0,0.0,0.0
0.50036277,0.0,0.0,0.0
0.600435324,0.0,0.0,0.0
0.700507878,0.0,0.0,0.0
0.800580432,0.0,0.0,0.0
0.900652986,0.0,0.0,0.0
1.00072554,0.0,0.0,0.0
1.100798094,0.0,0.0,0.0
1.200870648,0.0,0.0,0.0
1.300943202,0.0,0.0,0.0
1.401015756,0.0,0.0,0.0
1.50108831,0.0,0.0,0.0
1.601160864,0.0,0.0,0.0
1.701233418,0.0,0.0,0.0
1.801305972,0.0,0.0,0.0
1.901378526,0.0,0.0,0.0
2.00145108,0.0,0.0,0.0
2.101523634,0.0,0.0,0.0
2.201596188,0.0,0.0,0.0
2.301668742,0.0,0.0,0.0
2.401741296,0.0,0.0,0.0
2.50181385,0.0,0.0,0.0
2.601886404,0.0,0.0,0.0
2.701958958,0.0,0.0,0.0
2.802031512,0.0,0.0,0.0
2.902104066,0.0,0.0,0.0
3.00217662,0.0,0.0,0.0
3.102249174,0.0,0.0,0.0
3.202321728,0.0,0.0,0.0
3.302394282,0.0,0.0,0.0
3.402466836,0.0,0.0,0.0
3.50253939,0.0,0.0,0.0
3.602611944,0.0,0.0,0.0
3.702684498,0.0,0.0,0.0
3.802757052,0.0,0.0,0.0
3.902829606,0.0,0.0,0.0
4.00290216,0.0,0.0,0.0
4.102974714,-3.267143124029872e-18,3.395306718347888e-16,-1.3039003265489683e-15
4.203047268,2.790035742821651e-16,8.495288656818468e-16,-2.330098514187385e-15
4.303119822,9.931951630694544e-16,1.641579279658694e-15,-3.5301980752066547e-15
4.403192376,2.172976602709774e-15,2.8930443640947073e-15,-5.11011201338882e-15
4.50326493,3.727060468695332e-15,4.70373998833246e-15,-6.873461334079515e-15
4.603337484,5.502770795654621e-15,7.01482479473132e-15,-8.782560105987345e-15
4.703410038,7.458668350540719e-15,9.728607161594236e-15,-1.0822026033782659e-14
4.803482592,9.925794005594982e-15,1.3133724732368192e-14,-1.29396865808983e-14
