# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.05,-0.0019590613577786797,-0.0003486959448011362,0.0032096868888107366
0.1,-0.007525735552611046,-0.0013393030207424772,0.012330141094043512
0.15,-0.016550915909339103,-0.0029456943538477276,0.027116802618211366
0.2,-0.028077580681066472,-0.00499768568795389,0.04600264178053237
0.25,-0.0419326185738651,-0.0074639937672458245,0.06870388598315103
0.3,-0.059989557281909356,-0.01067860919933139,0.0982876838080955
0.35,-0.08166067105012331,-0.014536569204786076,0.13379196962886475
0.4,-0.10643602321710421,-0.018946641555032784,0.17438101908718018
0.45,-0.13587462219991142,-0.024187201535809777,0.22260701817360662
0.5,-0.169317786593413,-0.03014007122141038,0.2773920956585254
0.55,-0.20757605607619567,-0.036948779257343745,0.3400621738384384
0.6,-0.2522216764419154,-0.04489405727943563,0.41319099878487897
0.65,-0.30022952582588314,-0.05343603970013078,0.49182496154073263
0.7,-0.35018636851658336,-0.062322993294060325,0.5736474743641402
0.75,-0.4030588328458249,-0.07172826749041405,0.6602410616888577
0.8,-0.45769203503747047,-0.0814441842389968,0.7497144640120208
0.85,-0.5144414249070026,-0.09153380726205995,0.8426474969616251
0.9,-0.5733898789473164,-0.10201282900964515,0.9391770381501505
0.95,-0.6317976971367392,-0.11239117108095087,1.0348169357041428
1.0,-0.6895555840316243,-0.12265041854131198,1.129387062552187
1.05,-0.74770995579921,-0.13297816248213934,1.224603222401642
1.1,-0.8052470439718658,-0.1431912530681103,1.3188041326193662
1.15,-0.8619160644853521,-0.1532466893767932,1.4115776558776165
1.2,-0.916799276110889,-0.16298269283550582,1.5014235867301462
1.25,-0.9678505120924532,-0.17203298215323315,1.5849903661707572
1.3,-1.015408396681054,-0.18046025994286197,1.6628329320137887
1.35,-1.0606216845976268,-0.1884694332906207,1.7368356836506162
1.4,-1.1036185547522797,-0.19608046194468187,1.8072071715764615
1.45,-1.1448247148676503,-0.20337267545369286,1.8746459566396876
1.5,-1.1829761538200847,-0.2101224156237933,1.9370859541354317
1.55,-1.2168097570808944,-0.21610306522413225,1.9924577768250025
1.6,-1.2480898513539325,-0.22163195130485747,2.0436521660370417
1.65,-1.277672319033976,-0.22686053677031737,2.0920731937783614
1.7,-1.3066716158660716,-0.23198621018481447,2.139544632345274
1.75,-1.335626235753721,-0.2371092015198073,2.186950366858179
1.8,-1.361871835800243,-0.24175359833496657,2.2299286360621533
1.85,-1.3873207495496809,-0.24625922347948404,2.2716083949321693
1.9,-1.4146794744493016,-0.25111037088817767,2.31642326809539
1.95,-1.443527923542237,-0.2562296113239597,2.363686209473645
2.0,-1.476474274249413,-0.26208272772463914,2.417666484421124
2.05,-1.511233724263147,-0.26826415403606774,2.474623431973937
2.1,-1.544555153493234,-0.2741915374233912,2.5292312945708844
2.15,-1.5803703347822493,-0.2805668044234082,2.5879260950448817
2.2,-1.618021483002253,-0.28727223692158077,2.64963154830817
2.25,-1.657351424752723,-0.29427657706177257,2.714088561308664
2.3,-1.701600997013128,-0.3021588919305671,2.786602195205475
2.35,-1.7462174399792678,-0.3101057368820861,2.8597168328092426
2.4,-1.7902485560272057,-0.31794550374755204,2.931871656394856
2.45,-1.8369735146838382,-0.3262657908350164,3.008436813729565
2.5,-1.8833160948695413,-0.3345145197297299,3.0843750892177333
2.55,-1.93081384518291,-0.34296336001298755,3.162202175828215
2.6,-1.9798756469338992,-0.3516889253108815,3.242587836901185
2.65,-2.0240052490971356,-0.3595300710123297,3.3148936625620316
2.7,-2.0644089419271916,-0.3667026391252577,3.3810935791419574
2.75,-2.1022215600478633,-0.3734129256757015,3.443047117471478
2.8,-2.1362012609939454,-0.37943283378695725,3.498718909271828
2.85,-2.170110317530889,-0.38543435144729443,3.5542689048651557
2.9,-2.2005914689634105,-0.3908248642964338,3.6042028347626953
2.95,-2.2244681532169457,-0.39503257051178764,3.6433179279523333
3.0,-2.245301624646893,-0.3986960410311582,3.677446395920798
3.05,-2.261750587379722,-0.4015801316018326,3.7043954354728843
3.1,-2.276112316667356,-0.4040862718006508,3.7279241336226097
3.15,-2.290396199724907,-0.40657801028923757,3.7513235676896457
3.2,-2.299004188966875,-0.40806150578678313,3.7654301050468497
3.25,-2.3037152001911103,-0.4088468289499332,3.7731538471032735
3.3,-2.306423028210495,-0.409278514309392,3.777598606707153
3.35,-2.305556265192256,-0.4090772119679613,3.776194218008264
3.4,-2.3063375942152087,-0.40916472453126573,3.7774889270734917
3.45,-2.307634828829877,-0.40934645275604,3.7796320283833698
3.5,-2.304337253984735,-0.4087130251480886,3.774258521650177
3.55,-2.299176511097995,-0.40774610529650346,3.765839797099405
3.6,-2.2921688724169824,-0.406455315209449,3.7544053869280223
3.65,-2.284059732132902,-0.4049698101269641,3.741175165736623
3.7,-2.2792125741993017,-0.40406191388429136,3.7332915452408475
3.75,-2.273960576086149,-0.40308767138179746,3.724754688800333
3.8,-2.2641954510233404,-0.40131449095630956,3.7088384650134447
3.85,-2.252468012554198,-0.39919378307888564,3.6897185109013417
3.9,-2.2407728679636953,-0.3970854406851245,3.6706621490086135
3.95,-2.230298412493572,-0.39519704784108,3.6536144457672446
4.0,-2.221499814913373,-0.39361127675512364,3.639322847317594
4.05,-2.21058546731581,-0.39165921465585996,3.6215799020657364
4.1,-2.194604368217399,-0.3888096365669469,3.5955494664648295
4.15,-2.177183713803039,-0.3857091274036861,3.5671697881034348
4.2,-2.161877682917746,-0.3829933149976057,3.5422583119265223
4.25,-2.147816542756823,-0.380502021380714,3.519388474941616
4.3,-2.1344680932353377,-0.3781444470668234,3.4976898364909648
4.35,-2.1190513092880936,-0.3754245598810968,3.4726031656033225
4.4,-2.099364732121101,-0.3719432836042458,3.440519461256965
4.45,-2.0802504490651295,-0.3685688537761109,3.409369050612151
4.5,-2.063638261573635,-0.3656417636551623,3.382307091831292
4.55,-2.0479266442321418,-0.3628695955787222,3.3567080703233394
4.6,-2.032710850132048,-0.36018721618713556,3.3319094592514595
4.65,-2.0140839779423754,-0.35689408715495574,3.3015065730612303
4.7,-1.9929528680240303,-0.35314833661234246,3.2669829616170265
4.75,-1.9748430076518142,-0.3499428665490214,3.2373898760648494
4.8,-1.9596879779376088,-0.347256538519062,3.212613348552651
4.85,-1.947418412955133,-0.3450748124852083,3.1925409611186524
4.9,-1.9349347089479698,-0.342857633848638,3.1721020551065173
4.95,-1.9181187877380586,-0.3398638374371501,3.1445491099159266
5.0,-1.9022760390384557,-0.33703951339904137,3.1185731441909326
5.05,-1.8893937837522907,-0.3347474147896392,3.0974336903500728
5.1,-1.8781563663246654,-0.3327418817408372,3.0789714836687168
5.15,-1.869280501490655,-0.3311560951573824,3.0643639730910355
