# Time-dependent hole occupations (neutral MO basis) for MO indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]

Timestamps (au),MO index 0,MO index 1,MO index 2,MO index 3,MO index 4,MO index 5,MO index 6,MO index 7,MO index 8,MO index 9,MO index 10,MO index 11,MO index 12,MO index 13,MO index 14,MO index 15,MO index 16,MO index 17,MO index 18,MO index 19,MO index 20,MO index 21,MO index 22,MO index 23,MO index 24,MO index 25
0.0,1.9979328140672246,1.5542049913719325e-05,1.0214677024222851e-06,1.0696837322576869e-06,5.620196918965092e-07,5.639484017549989e-07,0.006038721983695705,0.0006948944185880546,2.5007565407131338e-05,0.00018169312000848592,3.302461540233281e-05,0.0017718499041428082,0.0008288188209806258,0.0006487081097343861,0.00017611554222507486,0.0038500520922712944,0.00029123699361766064,0.002288485677351293,0.00034166534961110884,0.0013498181663542663,0.0008874001924785713,0.0015600277723473166,0.00198520598519325,0.005701289160904066,-0.002128284277131666,-8.323437928847252e-05
0.05,1.9940645548561733,5.617353299780525e-05,3.695026464800577e-06,3.877068920354887e-06,2.0326481391386153e-06,2.0400008691190408e-06,0.01871994868388316,0.002142480892806553,9.902226691504978e-05,0.0005652372615039258,0.00013091651942165328,0.005981871884988443,0.0032729238947095673,0.00256473044957084,0.0006582416208147368,0.014580115774922131,0.0011459863209597465,0.009044609537912862,0.0013503118572866235,0.005258946424315125,0.003504108028505204,0.006165487244413459,0.007845866353844544,0.022499365856226916,-0.008439463644788283,-0.0003283971444487396
0.1,1.9930034312162566,0.00010664642386570833,7.02501261207189e-06,7.397968935229926e-06,3.864224195293531e-06,3.879767357606312e-06,0.035191176865680074,0.00400808159417787,0.0002192076083522565,0.0010667545411719992,0.00029030983056133053,0.0119773981843041,0.007212885291530746,0.005663721279069778,0.0014082685863816558,0.031389551475603295,0.0025244250009115454,0.01996104500179352,0.0029798031666854463,0.011507097978259218,0.0077214509443963575,0.013607143053427029,0.017315372017167485,0.04952889224353596,-0.018722816181884087,-0.0007193989065885351
0.15,1.9956688520818395,0.00014897829138149632,9.834132368435888e-06,1.0413633853012527e-05,5.411126357213192e-06,5.436159766114557e-06,0.056053961930961016,0.006396968583397111,0.00037993835395022657,0.0017153642642417921,0.0005048643013771947,0.019790145896467326,0.012418632989192213,0.00978233712240728,0.002400807479455036,0.053507677447343305,0.00435679422839752,0.03445862961453994,0.0051436993360614025,0.01976379044170251,0.013297783367598903,0.02349474793723849,0.029896255492709578,0.08518207807575284,-0.03259608777122458,-0.0012490418171901751
0.2,1.9993352233511068,0.0001691852440766084,1.1201718395081883e-05,1.195562838818276e-05,6.171445607217052e-06,6.2052455644945326e-06,0.07927182325316195,0.009085311411148211,0.0005742436293614261,0.002453007604231061,0.0007667085031122234,0.028816415847554344,0.01860708435904801,0.014718183341395408,0.0035807291427025767,0.07959394253275143,0.006553464060392811,0.05182198301306129,0.0077355968992598445,0.029577607939176742,0.019936270068514395,0.035346452373949955,0.04497437592246811,0.12748948867177878,-0.04958495080732842,-0.0019073959818229009
0.25,1.9995693243971706,0.00016156878762685345,1.074560215141851e-05,1.1597282251418761e-05,5.939360143702999e-06,5.978998586009254e-06,0.10854267440343235,0.01247552562589549,0.0007951059194242216,0.0033785562990100715,0.0010677613079583814,0.0394556345708621,0.02549344096105388,0.020265388209287583,0.004930922565866691,0.10894751506564426,0.009031115779065235,0.07131996412890595,0.010647194787264613,0.04057162690304095,0.02733625248000937,0.04866923811303936,0.0619212119261503,0.17445637632168332,-0.0691831909536447,-0.0026628026689286635
0.3,1.9961346183995838,0.0001299592802410654,8.702381729452924e-06,9.545477142047787e-06,4.844450387508914e-06,4.884961387396913e-06,0.14224258798308553,0.016392262247439282,0.0010350562110381656,0.0044484049584028185,0.0013995158367503535,0.05118316266462841,0.032778335361992594,0.02620533990984031,0.0063972970547310215,0.14023131893943308,0.011696147563024395,0.09218295791925146,0.013765067655624463,0.052279264307881546,0.03518378176322523,0.06294545950229358,0.08007700092161985,0.22400932747173208,-0.09084336183589223,-0.003494197397557344
0.35,1.9931761005157145,8.62100274021671e-05,5.827441395656052e-06,6.5515902591961606e-06,3.291805775296197e-06,3.327423844901034e-06,0.17403125704435185,0.02008778892600982,0.0012882337489490414,0.0054723550867328274,0.0017550033467461645,0.06255598063270629,0.04023009093169527,0.03236844848947129,0.007898904025428255,0.17177373005379226,0.01446896827589006,0.11380578059470947,0.016999652861138914,0.06426185833845421,0.04323226443823813,0.07776524323849365,0.09891957411862173,0.2745204205349179,-0.1141172267222518,-0.004376397125756359
0.4,1.9936853430175328,4.612465097797447e-05,3.1319033197974022e-06,3.6512166561308845e-06,1.8170647766435621e-06,1.8425918586473244e-06,0.20446394622290232,0.023653073995315133,0.0015484252515767238,0.006476387484069646,0.00212698068611461,0.07357581813975589,0.0476081852525172,0.038571290407576786,0.009408059268448898,0.20276793285034067,0.017275605480476575,0.13554759240599523,0.020257968518660352,0.07617482310570534,0.05122918003412291,0.09269830797847467,0.11790054485759205,0.3243372386295147,-0.1385083333140983,-0.00529334342798065
0.45,1.997360434021178,2.351347533435799e-05,1.5091979044257187e-06,1.789111002459265e-06,8.878016575231129e-07,9.004856682537365e-07,0.2322265943887234,0.027013369489405248,0.0018099947416048145,0.00744746649132888,0.0025088498058996045,0.08404098594154408,0.05469495955726256,0.04463873709180177,0.010890475406510891,0.23231121836002977,0.02004446559219719,0.15680438524989393,0.023454364865045818,0.08767805673144324,0.05894647693387345,0.10734096725304187,0.1365055056899256,0.3719749406274011,-0.16351444811939728,-0.006254025440803155
0.5,1.9999075608032733,2.4856865640465742e-05,1.3959730602586262e-06,1.467936231236422e-06,7.268638486657153e-07,7.276037439218896e-07,0.2583887535835241,0.03024294676282846,0.002070833593837307,0.008400956961028161,0.002897513559377174,0.09396094642377473,0.061412880565532735,0.05050155704626613,0.012336388515883367,0.26014705483052536,0.022748197944011395,0.1773209562811009,0.026552881921364957,0.09864952773292002,0.06629412638316756,0.12151752461263166,0.15451075762811572,0.4168436882185347,-0.18887644539558002,-0.007235598850581498
0.55,1.9985601003545097,4.7272298040912375e-05,2.6356884403888614e-06,2.5902427194246513e-06,1.2478186919295808e-06,1.241133171792086e-06,0.2862467417065393,0.03369070565533727,0.002329486689974125,0.009424763567642103,0.003290607785187749,0.10383673591899556,0.06770581575838475,0.056101119184165604,0.013756417076703054,0.28638985072963763,0.025368659106041136,0.19688114579301041,0.029524505967231995,0.10903013694445018,0.07320368609931638,0.1350795327942904,0.17172727027839452,0.4584927726344845,-0.21433337432652344,-0.008216810979131198
0.6,1.9947209771627512,8.060986088453959e-05,4.609326564875005e-06,4.568028640683508e-06,2.1334574751286084e-06,2.126122245149631e-06,0.3118671068220429,0.03690806066990193,0.002586289002955322,0.010406914057712324,0.003687612138489449,0.11295831180010785,0.0735881982796347,0.06143695331943455,0.015121792795071087,0.31058199322978863,0.027897725126524442,0.21546102445797777,0.03236647380242297,0.11875607387791742,0.07967698235321796,0.1480041173677198,0.18812635262812138,0.49692788407797206,-0.23980222180423155,-0.009199721801807647
0.65,1.9926786031378396,0.00011217784964534516,6.533878418979455e-06,6.61212289765345e-06,3.00000934361222e-06,2.9986725906816503e-06,0.3343991657518455,0.0397581351605345,0.0028425561970895075,0.011311444374749069,0.004088949736155367,0.12112522896223199,0.07911463919803907,0.06654472031241054,0.016428985725598366,0.33276713973968874,0.030344537261388638,0.23315515909034001,0.03509144341670645,0.12787012191904057,0.08575590569095182,0.16034593471370773,0.20377810245437478,0.5324181297927759,-0.26533135844190125,-0.0101735345814315
0.7,1.994449758167297,0.00013165503997880634,7.766762512240177e-06,8.043226467524534e-06,3.5508820119822815e-06,3.560172020300456e-06,0.3539968141092724,0.04234754621289971,0.003098849184189678,0.0121750502753315,0.0044939561364596425,0.12863618301294366,0.08428800599981168,0.07140153218698231,0.01768534684305134,0.3530536684574339,0.03270063175440141,0.2498631296969953,0.0376887705429918,0.13635216088909985,0.09142585279768234,0.1720339448179662,0.21859222681581092,0.5648546669160903,-0.2907212255195767,-0.011158889903625891
0.75,1.9983938623795217,0.00013445605576856146,7.997897188527503e-06,8.4957985810874e-06,3.657969256165572e-06,3.6790767312666617e-06,0.36955278179655493,0.04456838388844564,0.0033574566231906466,0.01297233175515089,0.0049037644180591755,0.13539219343063724,0.08917695041383555,0.07604659082083698,0.018890407918998875,0.3715151651150208,0.03497470281426063,0.26568352514788396,0.04017328675299936,0.14424363806087515,0.09673646565530691,0.183125959206357,0.23264278538315075,0.5945350145586645,-0.31598908228715317,-0.01216882456169879
0.8,1.9998820617070052,0.0001227121884652682,7.3007201060182325e-06,7.984995720411447e-06,3.366462339782217e-06,3.397025949869459e-06,0.38561150355174556,0.04685658741152543,0.0036210822045661395,0.013808849174875348,0.005319948156333076,0.14207095601792674,0.09386245900336254,0.0805329552292624,0.020076942023014244,0.3888400359540398,0.03718935314132521,0.2807561251843813,0.042564750059833845,0.15168325165356444,0.10174869814125254,0.19370623398382225,0.2460373937849194,0.6218228318662016,-0.34119600626796326,-0.013176965890368013
0.85,1.9971420918814404,0.00010386762176439746,6.061598768702936e-06,6.852008222590911e-06,2.8469141928333386e-06,2.8818122865814644e-06,0.4018893370336849,0.04919051741087621,0.0038921917239174153,0.014682142293227063,0.005743717703821094,0.14870364891007792,0.09841014961953176,0.08489463034831002,0.021248777326033252,0.40516964779975706,0.039352597360992725,0.2951541457835334,0.04487538088513432,0.15871237482254896,0.10650626275468911,0.2038152196000631,0.25882792516266373,0.6469645275069691,-0.36629692682344916,-0.014186130853220952
