# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.05,-2.1077414480197552e-16,1.765254609153999e-14,-0.0037064296051845247
0.1,1.228268086253945e-15,2.4591439995447217e-14,-0.014389874640842848
0.15,4.268822597094159e-15,1.7486012637846216e-14,-0.03179542548794245
0.2,7.73104975885409e-15,3.5665914666083154e-14,-0.05398092683530642
0.25,9.330819995227506e-15,2.983724378680108e-14,-0.08076122857041668
0.3,1.2496072146732165e-14,4.143907439413397e-14,-0.11555593683058873
0.35,1.5336397282999066e-14,3.808064974464287e-14,-0.15711552102542825
0.4,1.9234824107533227e-14,4.7906123512575505e-14,-0.20496476070497138
0.45,2.2962595937576992e-14,5.495603971894525e-14,-0.26195109166200936
0.5,2.6383482046367302e-14,5.35682609381638e-14,-0.32654221592496135
0.55,3.098720670510015e-14,6.639133687258436e-14,-0.40057044181540924
0.6,3.436664196049667e-14,7.216449660063518e-14,-0.4866646676254174
0.65,3.940774765103584e-14,8.37108160567368e-14,-0.5791267800714124
0.7,4.3969356024171206e-14,6.752931547282515e-14,-0.6757543396861614
0.75,4.765171157269201e-14,6.25888230132432e-14,-0.7777343890469108
0.8,5.243191568057378e-14,5.520583989948591e-14,-0.8828074942657658
0.85,5.647623415442886e-14,7.596701045997634e-14,-0.9921747891241033
0.9,6.07098921117236e-14,8.942846463355636e-14,-1.1057314168956278
0.95,6.272880209478269e-14,7.84233789019595e-14,-1.2185328267171744
1.0,6.566944174152239e-14,9.992007221626409e-14,-1.3304260223446054
1.05,7.097853009035902e-14,1.0987044607446705e-13,-1.4426654143260311
1.1,7.596218398458646e-14,1.3195000647669985e-13,-1.5535711720778256
1.15,7.969987302408267e-14,1.305622276959184e-13,-1.6630153081741526
1.2,8.476899844018602e-14,1.2773115898312426e-13,-1.7691077245176405
1.25,9.01065750169883e-14,1.4589718322355338e-13,-1.868155873867476
1.3,9.32646573700798e-14,1.5219769888830115e-13,-1.9605819207953274
1.35,9.67947317512677e-14,1.555977569012157e-13,-2.0481312271989243
1.4,1.0020881510718247e-13,1.565692020477627e-13,-2.1313750930248254
1.45,1.0233252193697349e-13,1.7852386235972517e-13,-2.211447852275926
1.5,1.0617413660287906e-13,1.811328864675943e-13,-2.28589079119069
1.55,1.1037768079340827e-13,1.6880941089425505e-13,-2.352382037683091
1.6,1.1440674859568552e-13,1.9012569296705806e-13,-2.413572540576853
1.65,1.1915440454483328e-13,2.044753255603382e-13,-2.4707951177445313
1.7,1.2273413657944106e-13,2.1160850849355484e-13,-2.5274763546875327
1.75,1.2534727282156918e-13,2.280953204092384e-13,-2.58474400862708
1.8,1.3031370448884432e-13,2.4263924203182796e-13,-2.63780247353224
1.85,1.3363070292270896e-13,2.2268298316419077e-13,-2.690308906232751
1.9,1.3706007952012075e-13,2.440270208126094e-13,-2.745144087669937
1.95,1.3937149740041933e-13,2.6356694604601216e-13,-2.8024756640289503
2.0,1.4421480666252644e-13,2.728928194528635e-13,-2.8683700943596673
2.05,1.467978272479617e-13,2.743361093848762e-13,-2.937224674748782
2.1,1.5051314979209517e-13,2.762789996779702e-13,-3.0045514037416705
2.15,1.5397081236423778e-13,2.783051566979111e-13,-3.076601730202059
2.2,1.576628430227235e-13,2.8008151353731137e-13,-3.1501710497670725
2.25,1.6106920565399863e-13,2.772226892489016e-13,-3.2282032561996363
2.3,1.6608994690895987e-13,2.8091418080578023e-13,-3.316154157117234
2.35,1.704518310887038e-13,2.8707591859244985e-13,-3.4045366124010155
2.4,1.7277449798308785e-13,3.0231372960543013e-13,-3.493805133861601
2.45,1.7487279938603573e-13,2.8610447344590284e-13,-3.5864988425320945
2.5,1.7757062868465314e-13,2.887690087050032e-13,-3.67619525053982
2.55,1.8127405711101892e-13,2.822464484353304e-13,-3.7689526916658025
2.6,1.8289279893443856e-13,2.804978471715458e-13,-3.8631261145078497
2.65,1.854745774789789e-13,2.584044089815052e-13,-3.948238866158574
2.7,1.8903600983874458e-13,2.848277169675839e-13,-4.027657846407374
2.75,1.912997807219212e-13,2.816358257717866e-13,-4.099058590548985
2.8,1.9379528893148222e-13,2.8083091407893335e-13,-4.16301304465555
2.85,1.9420079630692203e-13,2.748357097459575e-13,-4.227532047154856
2.9,1.956399130522449e-13,2.873257187729905e-13,-4.284485079457044
2.95,1.96528263206046e-13,2.798317133567707e-13,-4.331458494782879
3.0,1.9735629822664272e-13,2.870204074412186e-13,-4.371390558438328
3.05,1.9802802139446654e-13,3.0142555118573e-13,-4.399833554266195
3.1,1.98171017299017e-13,2.903788320907097e-13,-4.425447150225715
3.15,1.9997738736250122e-13,3.1713520698417597e-13,-4.449468219601592
3.2,2.0050246012233858e-13,3.0070390621972365e-13,-4.463644660244833
3.25,2.0009356418447698e-13,2.8371749394295875e-13,-4.473334557685069
3.3,1.9986377667221728e-13,2.9093394360302227e-13,-4.47583880300914
3.35,2.0056768602764348e-13,3.26183524634871e-13,-4.4706303496285145
3.4,2.0175034601027463e-13,3.2229774404868294e-13,-4.469227854131546
3.45,2.0055741070910127e-13,3.506639423278557e-13,-4.4669371092772
3.5,1.998449652450933e-13,3.4136582449662e-13,-4.45925760083175
3.55,1.9827871200440971e-13,3.455014052633487e-13,-4.449467878959446
3.6,1.9582512898257728e-13,3.43086670184789e-13,-4.432329214949483
3.65,1.9461573541141666e-13,3.738120923912902e-13,-4.412900538194734
3.7,1.9105710406239078e-13,3.710087792541117e-13,-4.399887700197068
3.75,1.8926817549525098e-13,3.7220226900558373e-13,-4.386815030862262
3.8,1.8734221489472925e-13,3.9132586060475205e-13,-4.369024678588891
3.85,1.839480305389823e-13,3.9745984281580604e-13,-4.347054976114331
3.9,1.8367316277109443e-13,4.080624727009763e-13,-4.321044621104338
3.95,1.8411701081275387e-13,4.095890293598359e-13,-4.296366086920187
