# Time-dependent hole occupations (neutral MO basis) for MO indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]

Timestamps (au),MO index 0,MO index 1,MO index 2,MO index 3,MO index 4,MO index 5,MO index 6,MO index 7,MO index 8,MO index 9,MO index 10,MO index 11,MO index 12,MO index 13,MO index 14,MO index 15,MO index 16,MO index 17,MO index 18,MO index 19,MO index 20,MO index 21,MO index 22,MO index 23,MO index 24,MO index 25
0.0,1.9982316644429308,1.5476838748140764e-05,1.019966420656715e-06,1.0658960425402597e-06,5.646754344112992e-07,5.671394143202946e-07,0.005895014805237464,0.0005794669121184093,2.4776611260879378e-05,0.00017730241480751197,3.464894526139517e-05,0.0018763678717319543,0.0008510825189944615,0.0005217877678354021,2.099173586023184e-05,0.0038890477940074497,0.0002800244861729251,0.002364364728738577,0.0001704642023763192,0.0011944266640662171,0.0008519607257533313,0.003694162773285825,1.405438712875906e-05,0.0056743725434584835,-0.002146830383598363,-8.877826819950287e-05
0.05,1.9948998668190938,5.582785998647921e-05,3.6822187952090246e-06,3.855772692684667e-06,2.03797277853468e-06,2.047439932928441e-06,0.018299468350647885,0.001787611828283131,9.806629931774502e-05,0.0005563131640871077,0.0001372739605798312,0.006444209461016426,0.0033605134565273254,0.0020633466940307432,8.378599764102823e-05,0.014802291756916608,0.001104007704809451,0.00934453426126014,0.0006737404473875497,0.004664068048959136,0.0033637814236608943,0.014599993905281883,5.60855070081967e-05,0.022391922969639433,-0.008515269249778313,-0.00035091391037763824
0.1,1.9939423104454717,0.00010562572394356984,6.976167081340634e-06,7.331684104938674e-06,3.860299457869587e-06,3.880353917962154e-06,0.03481275984494592,0.0033829884533749244,0.0002169154870428347,0.0010675469832657214,0.00030409686513621637,0.013124029739292942,0.007404127945766614,0.0045572543210350425,0.00018786678277327162,0.031996445214140135,0.002434677182683753,0.02062010216900445,0.0014867845491892684,0.010221262205799109,0.007410385259020602,0.03221585340797817,0.0001257155842173674,0.04928551957128935,-0.01889828905684545,-0.0007704009919741589
0.15,1.9961973203900425,0.00014679208573253888,9.714283725426043e-06,1.0266152489224467e-05,5.376448094951414e-06,5.408780401561231e-06,0.05601162879441923,0.005455404554779442,0.0003755466671999663,0.001737566450107142,0.0005280633236626198,0.021893607624863476,0.012744238575000955,0.007873105762189692,0.0003324309159997707,0.05465768027102347,0.004204711610695577,0.03559075464674599,0.002566831464925645,0.01756972527391354,0.012758299263314399,0.05561042489477419,0.00022235527278580136,0.08475176453948574,-0.03291873539005313,-0.0013383977193248595
0.2,1.9993680743968112,0.00016546793819860461,1.0981394583886583e-05,1.1697539703536819e-05,6.084467226941115e-06,6.128088858581293e-06,0.0794045247346924,0.007767247079348172,0.0005668613278737578,0.002494806083598089,0.0008004770268765782,0.03201092006170225,0.019090388204925146,0.011850243757355328,0.00051646575578701,0.08138272621772735,0.006329071149035137,0.05351882979197509,0.0038616411942336004,0.026307979154310157,0.019122355302514604,0.08363990563587875,0.00034525534880480713,0.12683613992467602,-0.05010754030845993,-0.00204245377432579
0.25,1.9996924275942067,0.00015630853279224866,1.041805866131007e-05,1.1222941022959176e-05,5.789749798479349e-06,5.84067127151755e-06,0.1085815655692981,0.010653911234553393,0.0007837211849710535,0.0034309121711308954,0.001112431663572666,0.04379088466472414,0.026151023032179532,0.016325496862753308,0.0007388562490717732,0.1113918681390178,0.008726454745856538,0.07365047461342344,0.005318247271455023,0.03609378665851515,0.026214131166996557,0.11513301989746272,0.0004935773495398088,0.1735603709109783,-0.06996289901686953,-0.00285090769787255
0.3,1.9968791711389158,0.00012365490743437846,8.294911343798006e-06,9.084597476949341e-06,4.641669147043004e-06,4.6932528341425694e-06,0.14188651404046015,0.013967909731186223,0.0010187255696367803,0.004502599394062834,0.0014547490803606955,0.056672938784516624,0.03362663794582521,0.021128958690015187,0.0009984086587353502,0.14335384063032564,0.011309291536279353,0.0952066082038805,0.006882414146314408,0.04652250779499445,0.0337385092402267,0.1488820804191222,0.0006664089041477084,0.22290575576431526,-0.09194771900952564,-0.003743669934555286
0.35,1.9943019721538466,7.988589984453398e-05,5.403299816908458e-06,6.071127529372333e-06,3.06778729353141e-06,3.112347819911321e-06,0.17346931592044146,0.01711415634978919,0.0012661309036576807,0.0055362846247308806,0.0018200140244830632,0.06928594894845386,0.04128911780519373,0.026130773649737815,0.0012937993780581802,0.17571116383023888,0.014005958904369509,0.1175799937544082,0.008511627735658722,0.05722907773388952,0.04146655976201097,0.1839392684392671,0.0008627272298720179,0.2733056669812677,-0.11562242509902763,-0.00469433983278369
0.4,1.9945469402180918,4.109290557074985e-05,2.7770057233755807e-06,3.242820354687481e-06,1.6195804435348293e-06,1.6504469317890624e-06,0.20414804855126234,0.020196410957838307,0.0015197153781019157,0.006562644117152239,0.002200420957624516,0.08162557919642022,0.04889576154366826,0.031186857266421786,0.0016235397289543485,0.20765064213334639,0.01674600615809574,0.14011671300583983,0.010161451766436569,0.06791070290684353,0.049159299171667836,0.21929282729060273,0.0010813813789189997,0.32313730687160036,-0.1404924950540132,-0.005684874939912886
0.45,1.9975622001080524,2.090694809031568e-05,1.302174732042971e-06,1.5390880685473007e-06,7.637939143378958e-07,7.778298243277249e-07,0.23204919041580196,0.023097591302480902,0.0017739316743301536,0.007552031740997167,0.0025889625258930238,0.09334359886264121,0.05622951178485902,0.03616114805695214,0.0019859764949374803,0.23820164888940432,0.019462209821685672,0.16220809154839255,0.01179193380857435,0.07826590147867307,0.05660326499910995,0.25400543599753833,0.0013210934079090908,0.37095463754767466,-0.16606078217957165,-0.0067212325616347905
