# Time-dependent hole occupations from NWChem rt_tddft moocc
# h_k = (n0_k - n_k)/2  (0-1 scale). n is the printed 0-2 electron occupation.
# Neutral n0 = 2 for MO 0-23, 0 for virtuals. MO 0 is O 1s.
# NWChem moocc is in the loaded-vector basis (not necessarily frozen-neutral character).
Timestamps (au),MO index 0,MO index 1,MO index 2,MO index 3,MO index 4,MO index 5,MO index 6,MO index 7,MO index 8,MO index 9,MO index 10,MO index 11,MO index 12,MO index 13,MO index 14,MO index 15,MO index 16,MO index 17,MO index 18,MO index 19,MO index 20,MO index 21,MO index 22,MO index 23,MO index 24,MO index 25
0.0,0.99918117879728,2.1253682999988754e-05,1.4317775000050048e-06,1.5318539999809033e-06,8.034520000421708e-07,8.090305000374443e-07,0.14039106013500002,0.277126537627,0.27232534667200003,0.450689601558,0.09090823195550002,0.03371437704250002,0.04214550615599999,0.02916215615200002,0.27044498534600003,0.3677572791465,0.050792539719999974,0.19981046629050003,0.008685300166999976,0.15431541279600003,0.1395903343275,0.0077095538489999615,0.0263108323115,0.08610827833150003,-0.9005918604705,-0.9956196804
0.05,0.999192027486919,2.1446820000048383e-05,1.4451925000047439e-06,1.5461660000104516e-06,8.109800000433154e-07,8.165970000195699e-07,0.14056304797600006,0.27733034012,0.27253496389349996,0.45087302250899997,0.09089584586599997,0.03371448813550004,0.042138606631,0.029163909746000027,0.27038658333700005,0.367682512969,0.050788304540499984,0.199767002245,0.008686752077500026,0.15428650317149994,0.13956270155149997,0.007710943389499958,0.026313364890000024,0.08609535758050002,-0.900615240299,-0.995618867679
0.1,0.9992335455961305,2.1768617999962103e-05,1.4673114999697034e-06,1.5701919999777658e-06,8.222224999743233e-07,8.279205000460976e-07,0.14096501341449996,0.277857601267,0.27308092713950005,0.4513588975295,0.09086443643099995,0.033715824389000004,0.04212076313400004,0.02916959539749997,0.27023284987249996,0.36747729298349996,0.05077771323750002,0.19965244066800003,0.008691043216000005,0.154206949978,0.13948975112249995,0.0077150548350000125,0.026320873616999974,0.08606207121499998,-0.9006789698445,-0.9956164670025
0.15,0.9992678449940935,2.1795706499960765e-05,1.4676524999757135e-06,1.5717685000193882e-06,8.178964999716598e-07,8.236295000463301e-07,0.14136967797199995,0.27844936348899996,0.27369221539949995,0.45193774713949997,0.09083250885549998,0.03372184374099996,0.0421010819905,0.02918071209350004,0.27005042532,0.367203518029,0.050767775557500006,0.19951620320499996,0.008697984576000017,0.15409993788099996,0.1394030912855,0.007721724213500036,0.02633310703549996,0.08602413836550005,-0.900762283047,-0.9956125863285
0.2,0.999208139360381,2.1508282500026787e-05,1.4437474999962063e-06,1.5472854999476482e-06,7.965714999835782e-07,8.02212000050595e-07,0.14147763637800004,0.2786380176855,0.27387559818749996,0.45222994230150004,0.09083249302950003,0.03373910843250005,0.042095670140499974,0.029200218032000014,0.26995464549899995,0.36697312389049996,0.05077140092650001,0.1994444483005,0.008707287179000045,0.15400726133300002,0.139358676074,0.007730706020000033,0.026349691678000053,0.08600732560699997,-0.900827738825,-0.9956073879115
0.25,0.9990742745916865,2.1335622000018262e-05,1.4261405000270955e-06,1.5275420000016027e-06,7.797454999458608e-07,7.851819999737941e-07,0.14089367069699998,0.277894858853,0.273089379946,0.451808989651,0.09090402938700004,0.0337755590405,0.042124060432500054,0.029231682783499968,0.27008497199149994,0.366921871812,0.05080408281399995,0.19954082490299996,0.008718602690499955,0.15397944268249997,0.13942379205400002,0.007741711482999958,0.026370162050500023,0.08604256952050005,-0.900830225895,-0.9956010644195
0.3,0.9990217959863,2.1590233999946307e-05,1.4430070000015505e-06,1.5418730000549274e-06,7.911635000468209e-07,7.964199999488386e-07,0.13909092289500002,0.27575854358499996,0.2709007872565,0.4503162715725,0.09108557575599996,0.0338385518305,0.04220538343500002,0.02927836540499995,0.2705799255675,0.36718264621249996,0.05088045421099996,0.19990768985999996,0.008731560851499953,0.15406587069,0.139664261686,0.007754438823999954,0.02639396471300004,0.08616228607249998,-0.900725961675,-0.9955938197245
0.35,0.999199339171482,2.2108186000013852e-05,1.4914510000352266e-06,1.5884845000480041e-06,8.361229999476194e-07,8.414019999625211e-07,0.13606546716300005,0.2721126415935,0.26721038157,0.44763647499549997,0.09139928325949997,0.03393141546800005,0.042350097832000055,0.02934145975250002,0.2715136536075,0.3678373235065,0.05100832735350003,0.20059965568850002,0.008745790867000003,0.15429703946899997,0.140115902743,0.00776857772399997,0.026420431698000013,0.08638192123849997,-0.900488510959,-0.995585861505
0.4,0.999456515461947,2.2533728999962754e-05,1.5476354999766073e-06,1.6441569999914307e-06,9.013455000150827e-07,9.069630000357876e-07,0.13197739681800003,0.267018855321,0.2621049055715,0.44379377790350005,0.09185613353349997,0.03405487481449998,0.04256343596750001,0.029420846364999975,0.272923051924,0.36893657640199995,0.05119124772649997,0.201644360616,0.008760893612000054,0.15469207605049995,0.14079737885099997,0.007783783403000011,0.02644879964750002,0.0867080581645,-0.9001018140745,-0.995577420151
0.45,0.999438968952704,2.2794375999946048e-05,1.5936170000285799e-06,1.6913545000107888e-06,9.670399999661683e-07,9.733214999529949e-07,0.12747718067650005,0.2606277837755,0.25572005682099996,0.43884633881949997,0.09246218098500003,0.03420857385849996,0.04284913796650003,0.029515922697999963,0.27483494352250004,0.3705261826195,0.051431532367000043,0.20306431919800005,0.008776416076999971,0.15526874614800001,0.14172450778,0.007799652354499975,0.026478194822999956,0.08714556555599995,-0.8995511000115,-0.9955687653525
