# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.05,-3.609857345670383e-15,8.049116928532385e-16,-0.00430975942421874
0.1,-7.40653044652955e-15,-2.3314683517128287e-15,-0.01673189575981837
0.15,-1.1446409199595795e-14,7.466249840604178e-15,-0.035610562943510615
0.2,-1.616716631200518e-14,-6.5780714209040525e-15,-0.059928912360105
0.25,-1.898161165292281e-14,1.3183898417423734e-14,-0.0896275634971424
0.3,-2.2674305624975135e-14,8.298917109073045e-15,-0.12546102266131953
0.35,-2.6608670178192444e-14,2.609024107869118e-15,-0.16792130423491258
0.4,-2.990914599687501e-14,1.3683498778505054e-14,-0.21643574222614959
0.45,-3.453361873960092e-14,2.1760371282653068e-14,-0.27197774754973736
0.5,-3.665715935688969e-14,1.7236212457305555e-14,-0.3350994329545198
0.55,-3.9047630649263226e-14,3.2807090377673376e-14,-0.4077090844696105
0.6,-4.1911827954582684e-14,2.3564483697668948e-14,-0.49067415946758786
0.65,-4.4902323231281555e-14,1.4627188349436437e-14,-0.5803959034577222
0.7,-4.932288281787302e-14,2.173261570703744e-14,-0.6761088447397512
0.75,-5.2348662373739187e-14,8.770761894538737e-15,-0.7756986090055786
0.8,-5.366151541938082e-14,2.0594637106796654e-14,-0.8794631112472544
0.85,-5.788650010333329e-14,1.8179902028236938e-14,-0.9900577888753226
0.9,-6.154461322382312e-14,2.3703261575747092e-14,-1.1026863679163519
0.95,-6.432206412105543e-14,3.319566843629218e-14,-1.216939687381437
1.0,-6.576458047676259e-14,4.5879966492634594e-14,-1.3306225727389904
1.05,-6.807760067682073e-14,3.091971123581061e-14,-1.441800937920144
1.1,-6.861121093730425e-14,2.5882074261573962e-14,-1.5543269215949262
1.15,-6.951789454854553e-14,1.9512169657787126e-14,-1.6627549278551985
1.2,-7.243034015462993e-14,-5.551115123125783e-17,-1.76621096496957
1.25,-7.326335798823009e-14,4.579669976578771e-15,-1.8632689423981823
1.3,-7.433675445492127e-14,6.744604874597826e-15,-1.9509375596854461
1.35,-7.503761480958706e-14,7.16093850883226e-15,-2.034849314248895
1.4,-7.615162532065852e-14,2.0511370379949767e-14,-2.113365046588944
1.45,-7.702404002184971e-14,4.27158308724529e-14,-2.1885570471263343
1.5,-7.622005948895737e-14,5.2235993308613615e-14,-2.2601035070852493
1.55,-7.75500438068731e-14,5.2208237732997986e-14,-2.3247303950148037
1.6,-7.664227635832239e-14,5.648259637780484e-14,-2.38612209213321
1.65,-7.522783789874522e-14,6.386557949156213e-14,-2.4442659180769226
1.7,-7.571908655643007e-14,7.632783294297951e-14,-2.5045925008535193
1.75,-7.437303292758584e-14,6.042388811522414e-14,-2.5662347914940913
1.8,-7.386906121077983e-14,7.613354391367011e-14,-2.627112437485666
1.85,-7.380480157887773e-14,7.34412530789541e-14,-2.6877321731799277
1.9,-7.264308641996712e-14,7.902012377769552e-14,-2.746987787345738
1.95,-7.018032742107447e-14,8.31279489688086e-14,-2.812875137137656
2.0,-6.823249367894355e-14,7.768785614814533e-14,-2.8824899300938025
2.05,-6.517409477763149e-14,6.550315845288424e-14,-2.9546388477981154
2.1,-6.379282884489628e-14,6.958322806838169e-14,-3.0267969838817628
2.15,-6.089276793383165e-14,6.147859998861804e-14,-3.094368898566593
2.2,-5.913343930261132e-14,4.7933879088191134e-14,-3.1666435715189643
2.25,-5.745952080568962e-14,5.5538906806873456e-14,-3.241610032127614
2.3,-5.6507537020471167e-14,6.797340468267521e-14,-3.3214739015565087
2.35,-5.624258599863331e-14,5.6316062924111066e-14,-3.406729129345175
2.4,-5.335426088295526e-14,5.748179709996748e-14,-3.490369451974697
2.45,-4.971723452047593e-14,6.963873921961294e-14,-3.578721766876148
2.5,-4.827908096097868e-14,7.191469642009451e-14,-3.669363614547132
2.55,-4.6644407640801646e-14,7.968625759247061e-14,-3.7631426526672502
2.6,-4.414853416126651e-14,5.5094817597023393e-14,-3.8627469966182595
2.65,-4.212138885875598e-14,5.992428775414282e-14,-3.9589099120110856
2.7,-4.0509550106751953e-14,4.465872116554692e-14,-4.051658501472085
2.75,-3.8765556926931115e-14,5.842548667089886e-14,-4.138755277835864
2.8,-3.788032178599008e-14,3.294586825575152e-14,-4.22061838629922
2.85,-3.63065777917184e-14,2.99482660892636e-14,-4.302645033497408
2.9,-3.622186102662415e-14,-5.800915303666443e-15,-4.377891064884793
2.95,-3.599887679456342e-14,-7.466249840604178e-15,-4.442870334048756
3.0,-3.39111640175225e-14,9.853229343548264e-15,-4.494475038656075
3.05,-3.18643745574789e-14,-4.524158825347513e-15,-4.533477203131222
3.1,-2.88522614387721e-14,-1.1129985821867194e-14,-4.566249453123433
3.15,-2.772851647344603e-14,-4.704570066849101e-14,-4.590233788021639
3.2,-2.822345344870048e-14,-3.147482274812319e-14,-4.605553461133788
3.25,-2.5420568864199853e-14,-4.6102011097559625e-14,-4.609220639366281
3.3,-2.354375135714382e-14,-3.4888758548845544e-14,-4.602921951305083
3.35,-2.058295687567892e-14,-4.8627768478581856e-14,-4.5939984213622065
3.4,-2.0182901870049886e-14,-7.946421298754558e-14,-4.581813185224945
3.45,-1.974085331825469e-14,-8.520961713998076e-14,-4.572751260087005
3.5,-1.8423977664384986e-14,-1.1005085731596864e-13,-4.563056720080144
3.55,-1.8729941931021198e-14,-9.653389199115736e-14,-4.549108240048078
3.6,-1.6349922752470584e-14,-1.124100812432971e-13,-4.536282069346882
3.65,-1.7365974093437222e-14,-1.1973755320582313e-13,-4.52045676938695
3.7,-1.5413847007611993e-14,-1.2168044349891716e-13,-4.511393835925459
3.75,-1.315795393553115e-14,-1.1521339438047562e-13,-4.50700588882756
3.8,-1.1723184953854995e-14,-1.2542744620702706e-13,-4.4970286332864475
3.85,-1.0058229050416587e-14,-1.216249323476859e-13,-4.485008006842129
3.9,-1.1349658282257028e-14,-1.1018963519404679e-13,-4.464117349724976
3.95,-9.737090709156367e-15,-1.1592116155867416e-13,-4.444172047077217
4.0,-8.125994237303207e-15,-1.351696532481128e-13,-4.42804454634439
4.05,-1.0274923175320708e-14,-1.2639889135357407e-13,-4.405051759743975
