# Time-dependent hole occupations (neutral MO basis, closed-shell P (0–1, Nascimento)) for MO indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]

Timestamps (au),MO index 0,MO index 1,MO index 2,MO index 3,MO index 4,MO index 5,MO index 6,MO index 7,MO index 8,MO index 9,MO index 10,MO index 11,MO index 12,MO index 13,MO index 14,MO index 15,MO index 16,MO index 17,MO index 18,MO index 19,MO index 20,MO index 21,MO index 22,MO index 23,MO index 24,MO index 25
0.0,0.9991256500407341,7.836754980061755e-06,5.177107690323979e-07,5.422946560695863e-07,2.868200505989904e-07,2.8810505592336e-07,0.0033317334944679144,0.00032842634872765064,1.2435045537939615e-05,9.964194919054314e-05,1.7342345047355323e-05,0.001014870635982712,0.00042649900132185614,0.000261840887693765,1.0498244358503328e-05,0.0019859891618030368,0.0001389953614082673,0.0011891085457094164,8.57291760945067e-05,0.0005978709374988567,0.00042637155447167174,0.0018400157602568301,7.0252631597655935e-06,0.0028366355459715775,-0.0010730454582202423,-4.441586235471885e-05
0.05,0.9974195351973124,2.8255197133453258e-05,1.8680311704155628e-06,1.959693567088472e-06,1.0342589825684811e-06,1.0391871549941811e-06,0.01138845253041798,0.001118459557416629,4.916102804897182e-05,0.0003425122822845461,6.864785092286496e-05,0.0036576843925874014,0.0016816703948172584,0.0010339049967280634,4.1905679516451855e-05,0.007630203306945527,0.0005479036023930961,0.004693271237756758,0.0003384432802332471,0.002338712225272044,0.0016812634310696684,0.007262610362414268,2.803748805702e-05,0.011179209980884952,-0.00425077761857141,-0.00017509764272508432
0.1,0.9966979133852741,5.34256833208957e-05,3.536291156791549e-06,3.7198005344851737e-06,1.95610792608214e-06,1.966376023454508e-06,0.0227259001598622,0.002229708049029777,0.00010835550807675176,0.0006885933548094192,0.0001516814824341628,0.007595575311340141,0.0036898020336745274,0.002274252200013205,9.396687066298703e-05,0.01649717184152777,0.0012047893763631468,0.010317827571221794,0.0007443788818276564,0.005112484830574471,0.0036900008264432183,0.015968368483673223,6.28508951163731e-05,0.024513913457502312,-0.009406309476189492,-0.00038534593493453224
0.15,0.9978025613476257,7.418056417474173e-05,4.918633143113915e-06,5.195464203744393e-06,2.7183056375834624e-06,2.7345006700096874e-06,0.03609083603503882,0.0035516154236973074,0.00018684379880418156,0.0011061622038032182,0.00026263447188590305,0.012506211148441637,0.006321003347535492,0.003910816328912214,0.0001662829982701508,0.027970673800621904,0.002072706686092496,0.01773368464694125,0.0012803005610819707,0.008743473789845746,0.006326171459066443,0.02745338492766569,0.00011117503767210657,0.04197581288424179,-0.016329069041559497,-0.0006712275224039006
0.2,0.9995300497032867,8.352767163699593e-05,5.550918369179314e-06,5.899787073881946e-06,3.0666708715765267e-06,3.0879702499486683e-06,0.05122197738943879,0.005062747343869134,0.0002806841201107302,0.001587514532101486,0.0003967786693794828,0.018189295663962657,0.009415024634120694,0.005853922948692358,0.0002583525760687655,0.041405962752220526,0.0031068661781273876,0.02653320009903215,0.0019176131157915277,0.013026646884580884,0.009434180603513975,0.041094205514868976,0.00017264171926956173,0.06250273389299132,-0.024753867859421984,-0.0010248802422895456
0.25,0.9998639151236013,7.8801176763732e-05,5.252745469475073e-06,5.635321486452405e-06,2.905305500733313e-06,2.929464434142659e-06,0.06885618320049935,0.006840269924089815,0.0003857789457408778,0.0021532995757765905,0.0005491564577387864,0.02463172341035469,0.012806224553533085,0.0080096548285713,0.000369609197959031,0.05625476191262124,0.0042614103230514955,0.03628970694024103,0.002626653156157177,0.017761459201156127,0.012852846931420414,0.05623821962565678,0.00024682926729868715,0.08499557202424046,-0.03439554527344777,-0.0014355092016030135
0.3,0.9983517462676131,6.225755701594338e-05,4.166146010176064e-06,4.536350776129794e-06,2.314489646382256e-06,2.3382162990248645e-06,0.08701629857391113,0.008680283849011317,0.000498744482376301,0.002743381544264345,0.0007155298476708705,0.0312965913583233,0.016358888289834117,0.010300133891694596,0.0004994415946616426,0.07175338245358254,0.005496027415963223,0.04664407688378114,0.0033825732480275983,0.022749691455878573,0.01644802615856389,0.07233335241554162,0.00033327458431164914,0.10853814519926974,-0.045000360737737,-0.0018891913157210543
0.35,0.9967030856590257,4.020573412777395e-05,2.6985333477780316e-06,3.013237726334772e-06,1.5156729670229296e-06,1.5354331704964252e-06,0.10456270488356068,0.010467120794889984,0.0006166479027150951,0.0033237824325191845,0.000892163190037154,0.03785070284333136,0.019957945144168154,0.012658527016517485,0.0006471692089399239,0.0873293388439591,0.006776505615695982,0.057286945389266264,0.004164015805894539,0.027830110577124367,0.020105252152293085,0.08890306471311094,0.0004314569185775996,0.13235045557633152,-0.05634162615367344,-0.002371946921975416
0.4,0.9968361492297587,2.078095465485319e-05,1.3781334509133103e-06,1.6072690008916979e-06,7.908820200963618e-07,8.040097304595761e-07,0.11980390237482808,0.012055099809987091,0.0007367389299369753,0.0038536674145812633,0.0010755524430954289,0.04394234659130114,0.023497726500748994,0.015021729925734917,0.0008120158787970899,0.10241081458081991,0.008070074215085765,0.06793000233280189,0.004951313209839325,0.03284780576739288,0.0237198506314088,0.10550460989351285,0.000540782194934808,0.15572253216782128,-0.06820157740115566,-0.002881144991310285
0.45,0.9985525057433389,1.0787716409610404e-05,6.529802399901641e-07,7.870643170537761e-07,3.7505217198585683e-07,3.807752846363144e-07,0.13280127202645864,0.01345110501404112,0.0008570721623558653,0.004334450113596011,0.001263080436916586,0.0495145986133021,0.02690507683981702,0.017343947951430017,0.0009931273467305157,0.1167100375641601,0.009353856705073604,0.07836125857544685,0.005730188036487394,0.03770377146321324,0.02721749753442515,0.12181072242388302,0.0006605933187544544,0.178150182595319,-0.08040513672917236,-0.003409851254418109
