# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.025,1.3418269089506112e-15,-7.716050021144838e-15,-0.0009447859304518857
0.05,4.477786141895735e-15,-1.1657341758564144e-15,-0.0037106371307586983
0.075,3.9552383666392e-15,1.709743457922741e-14,-0.008196129330034552
0.1,6.332090794319317e-15,1.63202784619898e-14,-0.014397265489471067
0.125,8.016494534510428e-15,2.7727820040013285e-14,-0.022323572174505202
0.15,1.0519361118557158e-14,3.6887159993170826e-14,-0.03179860930170619
0.175,1.272899412351568e-14,3.11972669919669e-14,-0.04245218471874779
0.2,1.451834638590763e-14,4.879430193227563e-14,-0.05400658773658762
0.225,1.5537947441956406e-14,3.524958103184872e-14,-0.06660373225839855
0.25,1.7893600626001993e-14,4.363176486776865e-14,-0.08079901731522732
0.275,1.7993543975068992e-14,4.529709940470639e-14,-0.09712498235780131
0.3,2.0111903545162757e-14,5.2235993308613615e-14,-0.11560950394921043
0.325,2.0501305897953073e-14,3.9218628344883655e-14,-0.13578941989380056
0.35,2.25803595323185e-14,6.625255899450622e-14,-0.1572632334077717
0.375,2.3490196729658092e-14,6.286637876939949e-14,-0.18017795132231562
0.4,2.4231790639652075e-14,6.980527267330672e-14,-0.20509831180762994
0.425,2.535340057295761e-14,7.058242879054433e-14,-0.23242669452918996
0.45,2.6671957558614592e-14,8.970602038971265e-14,-0.2620329112944546
0.475,2.7332915409196194e-14,7.277511926417901e-14,-0.2934996807253132
0.5,2.8411473034178385e-14,8.540390616929017e-14,-0.32672611731423196
0.525,2.977753524159333e-14,1.0169642905566434e-13,-0.36223039424752557
0.55,3.108291871538531e-14,1.0041967257734541e-13,-0.400756636188893
0.575,3.2893494220655037e-14,1.0152989560197057e-13,-0.44251788560810645
0.6,3.482667531887405e-14,1.1249334797014399e-13,-0.48685939321191185
0.625,3.6791478376583326e-14,1.0960676810611858e-13,-0.5327225127832858
0.65,3.796540200151706e-14,1.099120794378905e-13,-0.5794333665224212
0.675,3.7749156265879236e-14,1.0710876630071198e-13,-0.6270387652108891
0.7,4.1124213829942e-14,1.0541567618815861e-13,-0.6759474093223616
0.725,4.1302339958470165e-14,1.2290168882600483e-13,-0.7263292174008669
0.75,4.065530042374706e-14,1.2390088954816747e-13,-0.7778865603593825
0.775,4.152051770544068e-14,1.183636522128495e-13,-0.8301838094373135
0.8,4.21156175806194e-14,1.0849654508149342e-13,-0.8831441025341906
0.825,4.1862578352361385e-14,1.1640688413194766e-13,-0.9371339850462928
0.85,4.2510489030763474e-14,1.2101430968414206e-13,-0.9924979591828116
0.875,4.299287337245873e-14,1.3979095658811502e-13,-1.0490436365855942
0.9,4.5046056577356516e-14,1.226796442210798e-13,-1.1060443769332817
0.925,4.524786228849093e-14,1.284528039491306e-13,-1.1627492710550964
0.95,4.6382881031869734e-14,1.3491985306757215e-13,-1.2188852540445225
0.975,4.6840546548359084e-14,1.3299084056228594e-13,-1.2747074216590022
1.0,4.5664825464078073e-14,1.458139164967065e-13,-1.3306180076750387
1.025,4.699476320868524e-14,1.4011014570769476e-13,-1.386742424186039
1.05,4.701561359741683e-14,1.759564716152795e-13,-1.4428430487040593
1.075,4.8480136315720385e-14,1.6794898805017056e-13,-1.4986007674658666
1.1,4.9601833671542095e-14,1.7552626019323725e-13,-1.5539077752705275
1.125,4.9011311799523056e-14,1.7863488466218769e-13,-1.608831171883061
1.15,4.8840864658821987e-14,1.834504770314993e-13,-1.6633239915952363
1.175,4.8863818514353163e-14,1.7505441540777156e-13,-1.7170283774315287
1.2,4.875677116874769e-14,1.857541898075965e-13,-1.7693711527279525
1.225,4.766008645132658e-14,1.7152945730458669e-13,-1.819867621037023
1.25,4.811667793677188e-14,1.8010593016981602e-13,-1.868391058781862
1.275,4.930822364768544e-14,1.944971961265196e-13,-1.9151940355616333
1.3,4.86829714213165e-14,1.917910275039958e-13,-1.9606571010173184
1.325,4.881866125661473e-14,1.8846035843012032e-13,-2.004999295957683
1.35,4.816706864043551e-14,1.8937629242543608e-13,-2.0482392952912285
1.375,4.875111052118832e-14,1.9542700790964318e-13,-2.0903945718465096
1.4,5.009551454554227e-14,2.0602963779481342e-13,-2.1316166761518005
1.425,4.8806029591435726e-14,2.108035968007016e-13,-2.172060829703664
1.45,4.929528139322685e-14,2.086941730539138e-13,-2.2116107684865423
