# Time-dependent hole occupations (neutral MO basis, closed-shell P (0–1, Nascimento)) for MO indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]

Timestamps (au),MO index 0,MO index 1,MO index 2,MO index 3,MO index 4,MO index 5,MO index 6,MO index 7,MO index 8,MO index 9,MO index 10,MO index 11,MO index 12,MO index 13,MO index 14,MO index 15,MO index 16,MO index 17,MO index 18,MO index 19,MO index 20,MO index 21,MO index 22,MO index 23,MO index 24,MO index 25
0.0,0.9997683030899122,1.982453966542508e-06,1.306263559541776e-07,1.3644513441324335e-07,7.234128740485346e-08,7.265299439840334e-08,0.0008079502498126168,7.95208625968824e-05,3.111114639575696e-06,2.420482331977336e-05,4.347748145394625e-06,0.00024868097867225547,0.00010696940335341854,6.556278526259618e-05,2.625874743866774e-06,0.0004961635279243648,3.521401159234383e-05,0.0002970724215707321,2.141155695944974e-05,0.00015079822023889022,0.00010706091074697,0.0004641200923274358,1.7581195899118995e-06,0.0007131784710405764,-0.0002693789553110622,-1.1119065755373761e-05
0.025,0.9991119577247897,7.728256447459003e-06,5.093353130369849e-07,5.322731739809683e-07,2.820383629975609e-07,2.8326953893653695e-07,0.00295117832680869,0.0002900697847001421,1.2398746456310228e-05,8.874460297048081e-05,1.7336514066101927e-05,0.000939197033353989,0.00042599162084744346,0.00026121487755659256,1.0497615943960703e-05,0.0019466073026817021,0.00014014387009364526,0.0011835590275907082,8.531007083090181e-05,0.0005978269640261047,0.00042640569558338726,0.0018491650529921522,7.028208833692595e-06,0.002840092168261976,-0.0010746538235941103,-4.443500250655329e-05
0.05,0.9982240963802254,1.665758433266884e-05,1.098208938010714e-06,1.1485998882010406e-06,6.080270829045276e-07,6.107473849992218e-07,0.005856032650880194,0.0005741091782592855,2.775633467322347e-05,0.00017703029823024075,3.883331650000876e-05,0.0019567421643086336,0.000952601669231834,0.0005845167475756474,2.3597977255374047e-05,0.004270772278152757,0.0003131377549053793,0.0026480144218274937,0.00019087721749622144,0.001329193136068496,0.0009535834331623194,0.00413728966999749,1.579770683923787e-05,0.00634995589881604,-0.002408621691020369,-9.958462261269659e-05
0.075,0.9974397311571074,2.7882613030105752e-05,1.8391241476400921e-06,1.925804194224945e-06,1.0180845989582465e-06,1.0228151356983517e-06,0.009168026944140983,0.00089558063992623,4.9050923218385556e-05,0.0002786561914548402,6.866129401916776e-05,0.003226243068971568,0.0016811133332363948,0.001032402432511903,4.1899275460610674e-05,0.007406750767691261,0.0005522979561480845,0.004675495204521263,0.0003370310648106445,0.002333489167000269,0.0016827491669948458,0.007304932920558338,2.8046361378875062e-05,0.011201969651082,-0.004261384123788669,-0.00017560016852505373
0.1,0.9970016009276823,4.031140055205107e-05,2.660529473397233e-06,2.7903868222711736e-06,1.4726152959276817e-06,1.479812490212673e-06,0.012953701896908032,0.0012610040132166045,7.609052723378529e-05,0.00039552059023051367,0.00010656816565213223,0.004752668793762349,0.0026033843526160894,0.0016004626091612462,6.536423572711669e-05,0.01133026993000863,0.0008552987387415723,0.007244713446141193,0.0005222361533432363,0.003600640654039533,0.002605593172560927,0.011318610718439759,4.374684370722637e-05,0.017338293310183772,-0.0066188985738798445,-0.0002712126822950661
0.125,0.9969698501185872,5.2768988405560435e-05,3.4853500678888594e-06,3.662927414604944e-06,1.929035016945413e-06,1.9390562793208943e-06,0.017419548592900513,0.0016926285541388753,0.0001085570211500908,0.000534107415297802,0.0001521611049029037,0.006568083382594514,0.00370624819016685,0.002281494831165465,9.394647504046283e-05,0.016015606921605974,0.001218528784569961,0.010322242982110486,0.0007441051746207572,0.0051160568367746295,0.0037091004400309213,0.016126344394554626,6.286516487419291e-05,0.02466930316818372,-0.009459951794694945,-0.00038556984639193527
0.15,0.9973552645226573,6.411815121321052e-05,4.2388355592226645e-06,4.4659976556893355e-06,2.3461313352068913e-06,2.359195037215933e-06,0.022536029120391765,0.002190551768418203,0.00014600182029078645,0.0006944952297219809,0.00020490479805734818,0.008658033261188969,0.0049713870031099505,0.003065409851719103,0.00012759110597659884,0.021392745219467768,0.0016367987352712277,0.013862307798097384,0.0009993902626320716,0.006856413594331534,0.004975489367864294,0.021657435294195504,8.536110894330484e-05,0.0330733617003105,-0.012756125018024521,-0.0005184842644221921
0.175,0.9981121386405472,7.3364684622379e-05,4.8554273954781735e-06,5.131140318526128e-06,2.6878787566797513e-06,2.704038808087894e-06,0.028020675534961126,0.0027288480269310744,0.00018793720562815253,0.0008691202027061307,0.000264214986675948,0.0109551507352732,0.006378924251437934,0.003941205643164025,0.00016623620450717524,0.02735593276433823,0.0021042712067200764,0.017815008396788845,0.001284563783022108,0.008793484142835095,0.006385452170403427,0.027834811755722555,0.0001111891356725403,0.04241849777616247,-0.016476334430429125,-0.0006697705696169089
0.2,0.9990029608835272,7.97380096142497e-05,5.28411144828933e-06,5.6043678380302e-06,2.9263714828031695e-06,2.945507737051045e-06,0.033690450077429435,0.003288738167705585,0.00023393247388203697,0.0010522695502758195,0.0003295566796368554,0.01340444505532401,0.007911208733755726,0.004899122006290724,0.0002098151699435613,0.033814425297011175,0.002615721695351958,0.022135226593466006,0.0015964266788469628,0.010902260790050189,0.007921553614243848,0.034588358868652636,0.00014029986760366597,0.05258507390761802,-0.020591655304888004,-0.0008383264132528494
0.225,0.9996952542590062,8.274488689108406e-05,5.4920324283891375e-06,5.849933721657763e-06,3.043749579600963e-06,3.065558747739061e-06,0.03974215931798175,0.0038872935057961966,0.000283605026447864,0.0012484613745774586,0.00040043740808248796,0.016019156830746062,0.009552494971597714,0.0059304129901023295,0.0002582590285031827,0.040723748046503916,0.003166674897484678,0.026781769304608516,0.0019320638761152198,0.013163760165077587,0.009567975772128312,0.041853690227322105,0.0001726416509165718,0.06346412878423513,-0.02507458118943895,-0.001022020327158042
