# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.05,1.5136897115783068e-15,1.1657341758564144e-15,-0.003706427841416726
0.1,3.770883304459558e-15,1.149080830487037e-14,-0.014389833350053394
0.15,4.726480745006801e-15,-6.13398221105399e-15,-0.03179528628299089
0.2,8.424292970990474e-15,-9.159339953157541e-16,-0.05398061093610629
0.25,9.824518509449361e-15,9.103828801926284e-15,-0.08076068690666993
0.3,1.1400029076854207e-14,5.717648576819556e-15,-0.11555527799785992
0.35,1.3018695220607103e-14,1.2351231148954867e-14,-0.1571149080130123
0.4,1.471795526440816e-14,-2.6367796834847468e-15,-0.2049641811234899
0.45,1.7980671958049357e-14,6.050715484207103e-15,-0.26195048918729746
0.5,1.8584031036690585e-14,8.743006318923108e-15,-0.32654149443753155
0.55,2.0692534295371557e-14,1.0630385460785874e-14,-0.40056961018624015
0.6,2.3496809674306123e-14,1.734723475976807e-14,-0.4866638935112668
0.65,2.5616827481856908e-14,1.1324274851176597e-14,-0.5791260549930826
0.7,2.8003022997812797e-14,9.769962616701378e-15,-0.6757535313032772
0.75,3.0504780076296626e-14,-2.1566082253343666e-14,-0.7777334202907102
0.8,3.1436366080000316e-14,-2.1621593404574924e-14,-0.8828063751394222
0.85,3.2854272203374445e-14,-1.9734214262712158e-14,-0.9921734739577879
0.9,3.5034600217955814e-14,-3.2432390106862385e-14,-1.1057293289686836
0.95,3.568542903060415e-14,-2.1635471192382738e-14,-1.2185304344166514
1.0,3.6851070159050425e-14,-3.294586825575152e-14,-1.3304269121676935
1.05,3.8017826260857746e-14,-1.709743457922741e-14,-1.4426723989098615
1.1,3.822938295826852e-14,-7.105427357601002e-15,-1.5535815673190392
1.15,4.0350574639837643e-14,-2.843558721821182e-14,-1.6630240650470185
1.2,4.4657913273055026e-14,-1.815214645262131e-14,-1.7691124957860431
1.25,4.73748153437952e-14,-2.90878432451791e-14,-1.8681574846528601
1.3,5.007092869659136e-14,-1.4349632593280148e-14,-1.9605829334709508
1.35,5.140653160008122e-14,-2.0872192862952943e-14,-2.0481335347877483
1.4,5.26607113401981e-14,-2.4646951146678475e-14,-2.1313796909448524
1.45,5.4396839435736353e-14,-2.3148150063434514e-14,-2.2114561262394847
1.5,5.5892366622625464e-14,-1.8512968935624485e-14,-2.2859041208657516
1.55,5.742618064208796e-14,-3.1336044870045043e-14,-2.3524017040915
1.6,5.890307335553557e-14,-9.020562075079397e-15,-2.413598962068047
1.65,6.093364508423433e-14,-2.8699265186560297e-14,-2.470827219143141
1.7,6.287889775251663e-14,1.099120794378905e-14,-2.527512239174534
1.75,6.587854569592886e-14,3.58046925441613e-15,-2.5847814124222612
1.8,6.651258869994866e-14,1.6292522886374172e-14,-2.637838538890117
1.85,6.707945635833007e-14,2.2870594307278225e-14,-2.6903413165793193
1.9,6.834340240606596e-14,2.503552920529728e-14,-2.74517122552783
1.95,6.850094583157757e-14,4.1217029789208937e-14,-2.8024959462947585
2.0,7.073549236475992e-14,2.4980018054066022e-14,-2.868382742518417
2.05,7.177974421945032e-14,3.039235529911366e-14,-2.937229643464123
2.1,7.305844248235257e-14,2.1371793224034263e-14,-3.004548667190047
2.15,7.41731275681449e-14,4.1772141301521515e-14,-3.0765913723273197
2.2,7.606652916439678e-14,4.315992008230296e-14,-3.1501533971454787
2.25,7.531251290325085e-14,2.78388423424758e-14,-3.228179027269954
2.3,7.491222377770946e-14,1.482147737874584e-14,-3.3161245544897664
2.35,7.580158010326479e-14,3.3861802251067274e-15,-3.4045032430022992
2.4,7.564687417809925e-14,3.219646771412954e-15,-3.493769500219054
2.45,7.639809845467187e-14,-1.5459855617905305e-14,-3.5864619560675326
2.5,7.77183562412797e-14,-3.6887159993170826e-14,-3.6761585852695777
2.55,7.990000920281186e-14,-5.3734794391857577e-14,-3.7689181388012347
2.6,7.980150631479851e-14,-6.292188992063075e-14,-3.8630950919717844
2.65,8.185425863628322e-14,-7.505107646466058e-14,-3.9482129196197366
2.7,8.335185090871856e-14,-9.14823772291129e-14,-4.0276381074111125
2.75,8.386570281485081e-14,-7.438494264988549e-14,-4.099045370185097
2.8,8.312022180336156e-14,-9.076073226310655e-14,-4.163007253866189
2.85,8.392913703876576e-14,-9.20652443170411e-14,-4.2275344693070895
2.9,8.452440722969663e-14,-9.46465128492946e-14,-4.284495787586216
2.95,8.400725973716397e-14,-1.0638712133470563e-13,-4.331477889851694
3.0,8.466070634783195e-14,-1.2337353361147052e-13,-4.371418517414156
3.05,8.706451515551257e-14,-1.2884138200774942e-13,-4.399869498096898
3.1,8.698616775989593e-14,-1.195155086008981e-13,-4.425491081407413
3.15,8.828788370251586e-14,-1.3428147482841268e-13,-4.449519819678539
3.2,8.906011470008575e-14,-1.1457501614131615e-13,-4.463703414980655
3.25,8.828029733753992e-14,-1.2212453270876722e-13,-4.473400216781021
3.3,8.632107609505147e-14,-1.0996759058912176e-13,-4.475910551175154
3.35,8.182851153687481e-14,-1.4327428132787645e-13,-4.470707296770037
3.4,7.985517769747371e-14,-1.3572476476042539e-13,-4.469309398183411
3.45,7.925751622220922e-14,-1.5595857938421887e-13,-4.467022490271567
3.5,7.667753638252145e-14,-1.6170398353665405e-13,-4.459346318898975
3.55,7.612164247427951e-14,-1.563749130184533e-13,-4.4495593681689005
3.6,7.411366714328357e-14,-1.4721557306529576e-13,-4.432422549025436
3.65,6.855530658379636e-14,-1.5143442055887135e-13,-4.412995064399471
3.7,6.489633337707875e-14,-1.417754802446325e-13,-4.399982863611859
3.75,6.237161013824298e-14,-1.2967404927621828e-13,-4.386910543629444
3.8,6.261100043799854e-14,-1.3566925360919413e-13,-4.36912074333028
3.85,6.138550705160048e-14,-1.199873533863638e-13,-4.347151393629632
3.9,6.2745103377099e-14,-1.3281042932078435e-13,-4.321141014512946
3.95,5.971677462719893e-14,-1.0710876630071198e-13,-4.296462504249629
4.0,6.198322335373453e-14,-1.1832201884942606e-13,-4.276878530843915
4.05,5.966558723050897e-14,-1.1246559239452836e-13,-4.2557584078407515
4.1,5.6569872091946677e-14,-1.1890488593735427e-13,-4.227121841766174
4.15,5.6663179048535315e-14,-1.067479438177088e-13,-4.1949089535581106
4.2,4.8984009001300914e-14,-1.1585177261963508e-13,-4.162688839994939
4.25,4.6353037402793894e-14,-1.2218004385999848e-13,-4.132930979070016
4.3,5.000178033517652e-14,-1.4960255256823984e-13,-4.108324565340006
4.35,4.953190856142186e-14,-1.5124013152956195e-13,-4.080744660895052
4.4,4.8122650224248105e-14,-1.4757639554829893e-13,-4.045577033381292
4.45,4.5499021074956706e-14,-1.1987633108390128e-13,-4.008959273076526
4.5,4.3020070255614715e-14,-1.3886114480499145e-13,-3.9722884529698543
4.55,4.093914838157427e-14,-1.4049872376631356e-13,-3.939776905669655
4.6,4.0722490912288527e-14,-1.2534417948018017e-13,-3.9117363012133044
4.65,3.76095763082409e-14,-1.481315070606115e-13,-3.8784216211508546
4.7,3.394557976342825e-14,-1.6858736628933002e-13,-3.8415355819306978
4.75,2.5119904204483112e-14,-1.7083556791419596e-13,-3.805376497974498
4.8,2.443781735201155e-14,-1.8227086506783508e-13,-3.7726497475276037
4.85,2.2838178398132514e-14,-2.0272672429655358e-13,-3.749510905183767
4.9,2.282042816169674e-14,-1.96787031114809e-13,-3.7267687613690033
4.95,1.9597884618100504e-14,-1.9628743075372768e-13,-3.697945538946902
5.0,1.6310131843737696e-14,-1.788291736914971e-13,-3.668548647331301
5.05,1.4485736034467423e-14,-1.4915846335838978e-13,-3.6376157057420055
5.1,1.3580196331286713e-14,-1.33060229501325e-13,-3.6132004797914075
5.15,1.172235992535175e-14,-1.2964629370060266e-13,-3.596327122269214
5.2,1.0504269325376662e-14,-1.53405066427581e-13,-3.5725354714465123
5.25,1.1400309975308315e-14,-1.566524687746096e-13,-3.545754353101062
5.3,1.3798064873611372e-14,-1.4838130724115217e-13,-3.5179460263889073
5.35,1.489201673167194e-14,-1.4230283618132944e-13,-3.487422926419539
5.4,1.6266492008291588e-14,-1.2967404927621828e-13,-3.4658156064930754
5.45,1.5597167247814447e-14,-1.1832201884942606e-13,-3.444122604340647
5.5,1.3960117432216356e-14,-1.438849039914203e-13,-3.413003564120727
