# Time-dependent hole occupations (neutral MO basis, closed-shell P (0–1, Nascimento)) for MO indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]

Timestamps (au),MO index 0,MO index 1,MO index 2,MO index 3,MO index 4,MO index 5,MO index 6,MO index 7,MO index 8,MO index 9,MO index 10,MO index 11,MO index 12,MO index 13,MO index 14,MO index 15,MO index 16,MO index 17,MO index 18,MO index 19,MO index 20,MO index 21,MO index 22,MO index 23,MO index 24,MO index 25
0.0,0.9991158322641469,7.738417259428587e-06,5.099833358945816e-07,5.329481627125432e-07,2.8233780535735775e-07,2.83569748904533e-07,0.0029475102491169913,0.0002897348184542903,1.2388325491219376e-05,8.865468258212328e-05,1.7324151017961142e-05,0.0009381784492638046,0.00042554085526425034,0.0002609027122194574,1.0495879237293337e-05,0.0019445717005535101,0.0001399748498994713,0.0011822388010994667,8.521659619553645e-05,0.0005972093001274104,0.000425992030920086,0.0018470203596039347,7.0272026081452665e-06,0.0028371878761921376,-0.0010734094602440779,-4.439130615364887e-05
0.05,0.997449952379311,2.7913922122424495e-05,1.8411098835491302e-06,1.9278869050065595e-06,1.018986719225623e-06,1.0237201181206856e-06,0.009149684013346926,0.0008938060580168106,4.903321939708771e-05,0.0002781667530697973,6.863570432669164e-05,0.0032220859323051076,0.0016802548233588732,0.0010317083867230625,4.189304389046189e-05,0.00740133477892102,0.000551857816185275,0.004672490815076924,0.00033680899424337607,0.002332017909331352,0.0016819365035644074,0.0072997567784189865,2.804278961676676e-05,0.011195966010418501,-0.004257612252728984,-0.00017546541165262277
0.1,0.9969711947006774,5.2812844700600436e-05,3.488084545977266e-06,3.6658432203129365e-06,1.930150411832976e-06,1.9401772737293044e-06,0.017406273107504866,0.0016914927799385193,0.00010845799847913895,0.0005337921321038053,0.0001520457304309275,0.006561974417959249,0.0037020639162739233,0.0022787027111116354,9.39334909725309e-05,0.01599865184335303,0.0012170205347966645,0.01031053727523601,0.0007432581746080746,0.00511060208987113,0.0037052971206379404,0.01610738571875192,6.285787302839907e-05,0.02464279417117321,-0.00944909130082788,-0.00038521926757992725
0.15,0.9980986952517458,7.339601338351986e-05,4.857143378611539e-06,5.133078041286154e-06,2.688225096525443e-06,2.7043906883905677e-06,0.028005692112704206,0.0027277033108323856,0.00018777382108392526,0.0008688135375475303,0.000264027088755614,0.010946733238983208,0.006372121582478019,0.00393668207771547,0.00016621563030472242,0.02732957616223408,0.002101810473123744,0.01779621154865152,0.001283185608519033,0.008784814134283114,0.006379331577125558,0.02780427155163967,0.00011117777903768555,0.042375955006660804,-0.01645927256726644,-0.000669231648543365
0.2,0.9996840483022431,8.27339264669602e-05,5.490699146126765e-06,5.8487721187328034e-06,3.042234938743782e-06,3.064045034695262e-06,0.03970211922944822,0.0038836270922372185,0.00028343143340914256,0.0012474461934495196,0.0004002317662925581,0.016005354505579383,0.009545200150002708,0.005925315016268029,0.00025823313773576384,0.04069246439658425,0.003163721234123895,0.026760664890569608,0.00193047686438097,0.01315391840649649,0.009561452595583275,0.04181853181126238,0.00017262789445848803,0.06341819334349486,-0.025053623161597944,-0.0010212768582111417
0.25,0.9998462040544398,7.815421317702853e-05,5.2090312505637115e-06,5.611472967514963e-06,2.8948763362013352e-06,2.920336271805546e-06,0.05429062799003992,0.0053269631505090675,0.00039186161823023813,0.0017155149692050786,0.0005562066750983696,0.0218952891655535,0.013075520581375066,0.008163013878993985,0.00036942848354959423,0.05569742412081202,0.004362111989265838,0.03682695657616064,0.0026586538569661755,0.01804679178336288,0.013107443089259596,0.057564553929963735,0.0002467889873454254,0.08678035725481281,-0.03498124382205068,-0.001425523739139224
0.3,0.9984395626360292,6.182739508797663e-05,4.147457349001904e-06,4.542301040522112e-06,2.320835930991194e-06,2.3466269891692093e-06,0.07094308294033558,0.006983966401973407,0.0005093640578179848,0.0022513763459103275,0.0007273628996192771,0.028336265030613927,0.01681333174527433,0.010564822220125114,0.000499204800164299,0.07167882547376314,0.005653211449192619,0.04760552630786974,0.0034406046514983135,0.023261120819532244,0.016869741394802684,0.07443851263905055,0.0003332048729285386,0.1114531028595861,-0.04597358879993335,-0.001871926735115647
0.35,0.9971509795195824,3.994289234077186e-05,2.7016510874000588e-06,3.035565584008637e-06,1.533894756433618e-06,1.5561743421654839e-06,0.08673442901884232,0.008557090900519482,0.0006330669462529803,0.0027682349398540085,0.000909992908671664,0.03464271759288451,0.020644576024921535,0.013065810068747297,0.0006469002848805694,0.08785790902058077,0.0070012197877783455,0.058792741596580766,0.004255076536985425,0.0286143725692396,0.020733879363501462,0.09196651505555631,0.00043136416082178997,0.13665311492940968,-0.05781087162252214,-0.002347285077763733
0.4,0.9972734875476681,2.0546405354315844e-05,1.3885034703120525e-06,1.6214113420787157e-06,8.097909717230678e-07,8.25223713585288e-07,0.10207376292909887,0.01009822070089128,0.0007598593449342772,0.003281429938398306,0.001100194023808787,0.040812476169557965,0.02444790254232887,0.015593932709118241,0.0008117705967621847,0.10382805445358367,0.008370921059303815,0.07006162782948655,0.005079855872431982,0.03395514920648579,0.02458036166326827,0.10964270005953847,0.0005406913770124033,0.16156899244424805,-0.07024583237093471,-0.002842576957987153
0.45,0.9987811249874875,1.0453449057479247e-05,6.510875677490091e-07,7.695446090361102e-07,3.818973236535683e-07,3.8891497655679785e-07,0.11602431367198895,0.011548814815858566,0.0008869675445460912,0.003776138122252304,0.0012944626204272058,0.04667143359275738,0.028114781357630236,0.01808115691936496,0.0009929891256658108,0.11910394242121825,0.00972871347460913,0.08110783301072955,0.00589497030813213,0.039132711497955275,0.02830245316692881,0.12699842270344242,0.000660547548450463,0.18547771074121533,-0.0830298992775349,-0.0033607806578093338
