# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.05,1.987205605715844e-15,-2.942091015256665e-15,-0.00369894455930897
0.1,3.210089152437761e-15,7.438494264988549e-15,-0.01438480191649738
0.15,5.882123620159024e-15,1.7458257062230587e-14,-0.0318001407234938
0.2,6.227377153574887e-15,1.6958656701149266e-14,-0.053982246741067996
0.25,8.741155334090415e-15,1.454392162258955e-14,-0.08078738141574249
0.3,9.725384026367062e-15,3.544387006115812e-14,-0.11559274203267655
0.35,1.0910233973015299e-14,2.8005375796169574e-14,-0.15712563243049615
0.4,1.2459321820190037e-14,4.746203430272544e-14,-0.20505093397643925
0.45,1.2567691653841728e-14,6.011857678345223e-14,-0.26214463081404027
0.5,1.2392078576413522e-14,7.341349750333848e-14,-0.32679980599343317
0.55,1.3201296231643745e-14,8.887335312124378e-14,-0.40097069006273856
0.6,1.3891197864260493e-14,8.626432901337466e-14,-0.48716477202010466
0.65,1.4265930692899686e-14,1.0066947275788607e-13,-0.5797073388156164
0.7,1.5165412775988733e-14,9.323097849289752e-14,-0.6765637109382485
0.75,1.580688321296879e-14,7.982503547054876e-14,-0.7786976891163899
0.8,1.524792239039529e-14,1.086630785351872e-13,-0.8838456450037366
0.85,1.4342264099533308e-14,1.0841327835464654e-13,-0.993409182042452
0.9,1.4973207773014515e-14,1.2298495555285172e-13,-1.1071638476066479
0.95,1.5632823571938275e-14,1.3858358904883517e-13,-1.2202253403307726
1.0,1.5263047068636064e-14,1.4288570326925765e-13,-1.3324807797514069
1.05,1.4628344018872587e-14,1.7444379274422772e-13,-1.4449375215729798
1.1,1.566687637970158e-14,1.7290335829756032e-13,-1.5559903881166175
1.15,1.3739314857934157e-14,1.78163039876722e-13,-1.6656664876029073
1.2,1.4110529593060784e-14,1.792177517501159e-13,-1.7720041393221546
1.25,1.4994766549887934e-14,1.8787749134219212e-13,-1.8713460821060242
1.3,1.415849125627102e-14,1.8215984276537256e-13,-1.964092979657897
1.35,1.3874203630978564e-14,2.0525248167757582e-13,-2.0518081693910073
1.4,1.1947812350745104e-14,1.9403922912886173e-13,-2.135164462479681
1.45,1.2418610719237427e-14,1.9476087409486809e-13,-2.215435450179667
1.5,1.1462771417467585e-14,2.227940054666533e-13,-2.2900857718844527
1.55,1.162286364937601e-14,2.263467191454538e-13,-2.3568900915246775
1.6,1.0935967846612266e-14,2.3725466036239595e-13,-2.4182543248755497
1.65,1.0929943911500656e-14,2.5146551507759796e-13,-2.47537615265235
1.7,1.09022664836985e-14,2.559064071760986e-13,-2.5321770032456765
1.75,1.191859316579979e-14,2.47274423159638e-13,-2.5896353802084118
1.8,1.1301909526823214e-14,2.435274204515281e-13,-2.64315290040852
1.85,1.1677648979097124e-14,2.623734562945401e-13,-2.6964717037979113
1.9,1.1588406117206808e-14,2.669531262711189e-13,-2.751505798369214
1.95,1.0799501164005669e-14,2.731148640577885e-13,-2.809024471688115
2.0,1.1701323181876247e-14,2.553235400881704e-13,-2.875315822332011
2.05,1.021468249002683e-14,2.6958990595460364e-13,-2.944194052269415
2.1,9.795964786761615e-15,2.5079938126282286e-13,-3.0122040506822714
2.15,1.0045872390935815e-14,2.5393576130738893e-13,-3.08484435200465
