# Time-dependent hole occupations (neutral MO basis, closed-shell P (0–1, Nascimento)) for MO indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]

Timestamps (au),MO index 0,MO index 1,MO index 2,MO index 3,MO index 4,MO index 5,MO index 6,MO index 7,MO index 8,MO index 9,MO index 10,MO index 11,MO index 12,MO index 13,MO index 14,MO index 15,MO index 16,MO index 17,MO index 18,MO index 19,MO index 20,MO index 21,MO index 22,MO index 23,MO index 24,MO index 25
0.0,0.9991474321438077,7.731584492187693e-06,5.099216929815853e-07,5.32589933155414e-07,2.822901222776508e-07,2.8350521219522307e-07,0.0029194355991302157,0.0002862062382272823,1.2519360689910997e-05,8.894999722308672e-05,1.7547710341347944e-05,0.00096221727054846,0.0004414956090934563,0.0002628175187037174,1.0470319651734172e-05,0.0019379075323945338,0.0001271896032130071,0.0011656045051179342,9.807694691044144e-05,0.0005722729300338125,0.0004311743384399769,0.001851020859563457,7.03630129328392e-06,0.00279372425540092,-0.0010546678769369684,-4.3321423254893706e-05
0.05,0.9975377290345162,2.7875660066567498e-05,1.8400712417099285e-06,1.925724897655634e-06,1.018353711246256e-06,1.0230267953881267e-06,0.009068966807807777,0.0008835890265184165,4.9543794372608474e-05,0.00027967754778346343,6.951497221852065e-05,0.0033192178945207207,0.0017430483027119914,0.0010391952869833743,4.179070355569969e-05,0.007389042829326509,0.0005019555319059066,0.0046065895322472405,0.0003875478701778068,0.002236311771087629,0.001702256924999479,0.007315364328610241,2.80788988580305e-05,0.011024025551411798,-0.004183438235493655,-0.00017128532035188876
0.1,0.9970674487047949,5.269571333088585e-05,3.4834082524026755e-06,3.658824391683524e-06,1.927430694492749e-06,1.937329608292515e-06,0.017306020947998713,0.0016774811145569002,0.00010955716971694507,0.0005387537121649411,0.000153970087778732,0.006786507644845674,0.0038396668207011375,0.0022949510341094825,9.370297256883209e-05,0.01599121278009541,0.0011076920063244344,0.010164649927965952,0.0008549020408523678,0.004903107557183595,0.003749560091990345,0.016141261335979706,6.293814015412291e-05,0.024262884911669058,-0.009285073694393697,-0.0003761330199691596
0.15,0.9981500167299886,7.313972147948711e-05,4.844930934777558e-06,5.117074150517986e-06,2.681236366042228e-06,2.69718927126128e-06,0.027901611839102447,0.002710876993803235,0.00018960872559126152,0.0008788883286704463,0.0002673142631890446,0.011342540444042815,0.006607414799690847,0.003964121611471194,0.0001658054735108605,0.02733102570125745,0.0019140701649200675,0.017543440516471165,0.0014751063580299428,0.008429994787607198,0.006454496021174871,0.0278615690138454,0.00011131826611743278,0.04172051662189824,-0.016175006748029897,-0.0006535372603641353
0.2,0.9996846032502174,8.22938156647135e-05,5.467612658627274e-06,5.820364608166706e-06,3.029069991944411e-06,3.0505717213413774e-06,0.03957470399238583,0.0038615547347545798,0.00028608238067195924,0.0012627389595881722,0.00040511960416145243,0.016597901532533377,0.009895176807592665,0.005965608879784812,0.00025759203642716777,0.04070620967583449,0.002883137284816928,0.02637942911761293,0.0022176394535616817,0.012624910412530332,0.009672493432433149,0.04190347128699523,0.00017284338233769514,0.06243583914202344,-0.024623710016812683,-0.0009973151020234393
0.25,0.9998604589034097,7.753248589492667e-05,5.174417988307312e-06,5.570090153006468e-06,2.875049803341412e-06,2.900098838964915e-06,0.05410948606742716,0.00529608620549038,0.00039533480081466177,0.0017360753670206952,0.0005628457819329968,0.022701933683492048,0.013550980061122209,0.008216931251274318,0.0003685050904790321,0.05571594873553709,0.0039779883135019345,0.03630071171803184,0.00305151911113144,0.017322496162289647,0.01325710299869487,0.0576798128417223,0.0002470926568787224,0.08543456013611206,-0.03438533182822975,-0.0013921729679174496
0.3,0.998521600428643,6.10937771865494e-05,4.104833837059729e-06,4.491778980986183e-06,2.2961319690040227e-06,2.321422709061771e-06,0.07065679678562553,0.006939309728987486,0.0005136127675267055,0.0022764663761679627,0.0007358350954373982,0.029362009098818476,0.017419562888765783,0.010632638332866429,0.0004979471200137198,0.07169584882565394,0.005159499857528171,0.0469245309735713,0.003945165863629252,0.022329557101809505,0.017059160704591236,0.07458753751129976,0.00033360777921898066,0.10972668188747592,-0.04519761098038141,-0.001828571317816224
0.35,0.9972703305963061,3.9231485320700976e-05,2.658759250317999e-06,2.9842659179379893e-06,1.508443998710085e-06,1.530168461827408e-06,0.08637966145223275,0.008502584178092354,0.0006380077469281265,0.002798628281449611,0.0009203322995831043,0.03589665383901941,0.021382858153799478,0.013147581418657683,0.0006452557358155309,0.08788948743649605,0.006396133486309963,0.05795335036974647,0.004873907546783962,0.027474289597448354,0.020963167313398867,0.09215458071853455,0.00043187506260444763,0.13454512058989299,-0.05684630462757618,-0.0022935075938899543
0.4,0.997358180029422,2.0016118592258714e-05,1.3551927362520644e-06,1.580159960212768e-06,7.889791739934537e-07,8.038767937978974e-07,0.1017061486146087,0.010039568429907164,0.0007653591807452731,0.003318435493865013,0.0011123698099468893,0.04230082994384465,0.02531471239649319,0.015689127081026877,0.0008096860485727886,0.10388798790372589,0.007656085803819379,0.06906506724414119,0.005811847769004008,0.03261134969491397,0.02484799285046102,0.10987437508268705,0.0005413166198710018,0.15909139019930396,-0.06908909215223297,-0.0027782369330881344
0.45,0.9987944273933631,1.0223452776569886e-05,6.353555968008351e-07,7.476007020112974e-07,3.7028295973851044e-07,3.768920679991794e-07,0.11562021407656964,0.011483592953328792,0.0008928851209684119,0.0038184413234890746,0.0013084174077299116,0.04837805573777332,0.029103576976148626,0.01818940778989031,0.0009904100968435303,0.11920167623206324,0.0089094507556845,0.07996241850360652,0.006735936869709969,0.03759683570747441,0.02860645425470465,0.12728135881331315,0.0006612904906462269,0.18266019513447362,-0.08168361181107865,-0.0032855615738675526
