# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.05,-5.1872818271811726e-17,3.969047313034935e-15,-0.0050321005221984905
0.1,2.6446273051835595e-15,-1.4155343563970746e-15,-0.017540514152688758
0.15,4.483151572302321e-15,1.970645868709653e-15,-0.03653129781657505
0.2,6.757454087593782e-15,-1.0547118733938987e-15,-0.06054179309354524
0.25,7.111885621955017e-15,1.657007864253046e-14,-0.08996114595842819
0.3,8.111942648867472e-15,1.5487611193520934e-14,-0.1261016991726862
0.35,9.348608132186131e-15,2.7755575615628914e-14,-0.16956017093836628
0.4,9.504842283944825e-15,3.0531133177191805e-14,-0.22055618441741487
0.45,1.1656765235233065e-14,3.394506897791416e-14,-0.2791404992491415
0.5,1.2382724060258354e-14,4.2521541843143495e-14,-0.34631276554744517
0.55,1.2510511199725197e-14,5.079270337660091e-14,-0.4235557943483528
0.6,1.4472685520433984e-14,4.879430193227563e-14,-0.5107867973828508
0.65,1.5280356920191805e-14,4.576894419017208e-14,-0.6058377764110023
0.7,1.755017331841377e-14,4.1494585545365226e-14,-0.7059813899827709
0.75,1.7068890522584915e-14,3.8163916471489756e-14,-0.8098886535581062
0.8,1.821346270261468e-14,2.2426505097428162e-14,-0.9178149844609376
0.85,1.952046505299175e-14,3.565203687827534e-14,-1.0299160496131066
0.9,1.9658604731816758e-14,4.3645642655576466e-14,-1.1449563308287551
0.95,1.9661340619202168e-14,4.4478309924045334e-14,-1.260847359749171
1.0,1.8438235537149745e-14,5.00155472593633e-14,-1.3760949175092048
1.05,1.9574470848726084e-14,5.312417172831374e-14,-1.4903682576200694
1.1,2.0962000884417772e-14,4.424238753131249e-14,-1.6036499373336142
1.15,2.0169122419648958e-14,4.5977111007289295e-14,-1.7150657828719122
1.2,1.945953576462989e-14,6.40321129452559e-14,-1.822704897020417
1.25,1.890317410862935e-14,6.833422716567839e-14,-1.924588805286227
1.3,1.765455698124143e-14,7.28583859910259e-14,-2.0198878735271837
1.35,1.8033098881245388e-14,6.677991493120317e-14,-2.1093133275295823
1.4,1.8296065128233622e-14,5.648259637780484e-14,-2.194212320392092
1.45,1.8209745254527038e-14,6.22002449546244e-14,-2.2750253402014984
1.5,1.5584925442203678e-14,8.013034680232067e-14,-2.3506678118876945
1.55,1.2782035530630446e-14,8.715250743307479e-14,-2.4197352301751796
