material	wavelength_nm	qabs	cabs_nm2
Ag	300.0	7.18744393e-01	9.03200842e+02
Ag	300.5	7.10778231e-01	8.93190267e+02
Ag	301.0	7.03142236e-01	8.83594593e+02
Ag	301.5	6.95824538e-01	8.74398903e+02
Ag	302.0	6.88813806e-01	8.65588957e+02
Ag	302.5	6.82099220e-01	8.57151159e+02
Ag	303.0	6.75670459e-01	8.49072540e+02
Ag	303.5	6.69517674e-01	8.41340722e+02
Ag	304.0	6.63631472e-01	8.33943903e+02
Ag	304.5	6.58002896e-01	8.26870825e+02
Ag	305.0	6.52623405e-01	8.20110757e+02
Ag	305.5	6.47484857e-01	8.13653468e+02
Ag	306.0	6.42579491e-01	8.07489204e+02
Ag	306.5	6.37899913e-01	8.01608672e+02
Ag	307.0	6.33439073e-01	7.96003015e+02
Ag	307.5	6.29190258e-01	7.90663797e+02
Ag	308.0	6.25147072e-01	7.85582979e+02
Ag	308.5	6.21303421e-01	7.80752905e+02
Ag	309.0	6.17653503e-01	7.76166284e+02
Ag	309.5	6.14191795e-01	7.71816173e+02
Ag	310.0	6.10913037e-01	7.67695963e+02
Ag	310.5	6.07812222e-01	7.63799365e+02
Ag	311.0	6.04884588e-01	7.60120392e+02
Ag	311.5	6.02125604e-01	7.56653349e+02
Ag	312.0	5.99530958e-01	7.53392821e+02
Ag	312.5	5.97096554e-01	7.50333659e+02
Ag	313.0	5.94818497e-01	7.47470969e+02
Ag	313.5	5.92693088e-01	7.44800100e+02
Ag	314.0	5.90716812e-01	7.42316638e+02
Ag	314.5	5.88886335e-01	7.40016393e+02
Ag	315.0	5.87198493e-01	7.37895388e+02
Ag	315.5	5.85650287e-01	7.35949856e+02
Ag	316.0	5.84238877e-01	7.34176225e+02
Ag	316.5	5.82961572e-01	7.32571116e+02
Ag	317.0	5.81815828e-01	7.31131333e+02
Ag	317.5	5.80799243e-01	7.29853855e+02
Ag	318.0	5.79909549e-01	7.28735831e+02
Ag	318.5	5.79144605e-01	7.27774575e+02
Ag	319.0	5.78502401e-01	7.26967557e+02
Ag	319.5	5.77981043e-01	7.26312399e+02
Ag	320.0	5.77578757e-01	7.25806872e+02
Ag	320.5	5.77293881e-01	7.25448886e+02
Ag	321.0	5.77124862e-01	7.25236490e+02
Ag	321.5	5.77070253e-01	7.25167867e+02
Ag	322.0	5.77128710e-01	7.25241327e+02
Ag	322.5	5.77298989e-01	7.25455305e+02
Ag	323.0	5.77579941e-01	7.25808360e+02
Ag	323.5	5.77970513e-01	7.26299167e+02
Ag	324.0	5.78469742e-01	7.26926517e+02
Ag	324.5	5.79076755e-01	7.27689312e+02
Ag	325.0	5.79790767e-01	7.28586566e+02
Ag	325.5	5.80611077e-01	7.29617397e+02
Ag	326.0	5.81537066e-01	7.30781030e+02
Ag	326.5	5.82568200e-01	7.32076792e+02
Ag	327.0	5.83704023e-01	7.33504108e+02
Ag	327.5	5.84944156e-01	7.35062506e+02
Ag	328.0	5.86288301e-01	7.36751608e+02
Ag	328.5	5.87736234e-01	7.38571133e+02
Ag	329.0	5.89287805e-01	7.40520895e+02
Ag	329.5	5.90942940e-01	7.42600800e+02
Ag	330.0	5.92701639e-01	7.44810845e+02
Ag	330.5	5.94563972e-01	7.47151123e+02
Ag	331.0	5.96530085e-01	7.49621813e+02
Ag	331.5	5.98600192e-01	7.52223186e+02
Ag	332.0	6.00774580e-01	7.54955602e+02
Ag	332.5	6.03053607e-01	7.57819513e+02
Ag	333.0	6.05437703e-01	7.60815456e+02
Ag	333.5	6.07927367e-01	7.63944060e+02
Ag	334.0	6.10523170e-01	7.67206042e+02
Ag	334.5	6.13225754e-01	7.70602210e+02
Ag	335.0	6.16035834e-01	7.74133460e+02
Ag	335.5	6.18954194e-01	7.77800780e+02
Ag	336.0	6.21981693e-01	7.81605247e+02
Ag	336.5	6.25119262e-01	7.85548032e+02
Ag	337.0	6.28367904e-01	7.89630397e+02
Ag	337.5	6.31728700e-01	7.93853698e+02
Ag	338.0	6.35202804e-01	7.98219385e+02
Ag	338.5	6.38791447e-01	8.02729007e+02
Ag	339.0	6.42495937e-01	8.07384206e+02
Ag	339.5	6.46317662e-01	8.12186728e+02
Ag	340.0	6.50258090e-01	8.17138415e+02
Ag	340.5	6.54318769e-01	8.22241216e+02
Ag	341.0	6.58501334e-01	8.27497181e+02
Ag	341.5	6.62807501e-01	8.32908470e+02
Ag	342.0	6.67239075e-01	8.38477350e+02
Ag	342.5	6.71797950e-01	8.44206202e+02
Ag	343.0	6.76486111e-01	8.50097519e+02
Ag	343.5	6.81305636e-01	8.56153913e+02
Ag	344.0	6.86258699e-01	8.62378115e+02
