# uniform Lorentzian, HWHM 0.15 eV, area of each line = oscillator strength
energy_eV	wavelength_nm	intensity
1.500000	826.5613	1.18785496e-02
1.502251	825.3227	1.19037449e-02
1.504502	824.0878	1.19290365e-02
1.506753	822.8566	1.19544249e-02
1.509005	821.6290	1.19799106e-02
1.511256	820.4052	1.20054943e-02
1.513507	819.1849	1.20311765e-02
1.515758	817.9683	1.20569577e-02
1.518009	816.7553	1.20828386e-02
1.520260	815.5459	1.21088195e-02
1.522511	814.3401	1.21349012e-02
1.524762	813.1378	1.21610842e-02
1.527014	811.9391	1.21873691e-02
1.529265	810.7439	1.22137564e-02
1.531516	809.5522	1.22402468e-02
1.533767	808.3640	1.22668408e-02
1.536018	807.1793	1.22935390e-02
1.538269	805.9981	1.23203420e-02
1.540520	804.8203	1.23472505e-02
1.542771	803.6459	1.23742650e-02
1.545023	802.4750	1.24013861e-02
1.547274	801.3075	1.24286145e-02
1.549525	800.1433	1.24559508e-02
1.551776	798.9826	1.24833955e-02
1.554027	797.8252	1.25109494e-02
1.556278	796.6712	1.25386131e-02
1.558529	795.5205	1.25663872e-02
1.560780	794.3731	1.25942724e-02
1.563032	793.2290	1.26222692e-02
1.565283	792.0882	1.26503784e-02
1.567534	790.9507	1.26786007e-02
1.569785	789.8164	1.27069366e-02
1.572036	788.6854	1.27353868e-02
1.574287	787.5577	1.27639521e-02
1.576538	786.4331	1.27926331e-02
1.578789	785.3118	1.28214305e-02
1.581041	784.1936	1.28503450e-02
1.583292	783.0787	1.28793772e-02
1.585543	781.9669	1.29085280e-02
1.587794	780.8582	1.29377979e-02
1.590045	779.7527	1.29671877e-02
1.592296	778.6503	1.29966981e-02
1.594547	777.5511	1.30263299e-02
1.596798	776.4549	1.30560837e-02
1.599050	775.3618	1.30859603e-02
1.601301	774.2718	1.31159605e-02
1.603552	773.1848	1.31460850e-02
1.605803	772.1009	1.31763345e-02
1.608054	771.0201	1.32067098e-02
1.610305	769.9422	1.32372116e-02
1.612556	768.8674	1.32678408e-02
1.614807	767.7955	1.32985981e-02
1.617059	766.7267	1.33294842e-02
1.619310	765.6608	1.33605000e-02
1.621561	764.5979	1.33916463e-02
1.623812	763.5379	1.34229239e-02
1.626063	762.4809	1.34543336e-02
1.628314	761.4267	1.34858761e-02
1.630565	760.3755	1.35175523e-02
1.632816	759.3272	1.35493631e-02
1.635068	758.2818	1.35813092e-02
1.637319	757.2392	1.36133916e-02
1.639570	756.1995	1.36456109e-02
1.641821	755.1627	1.36779682e-02
1.644072	754.1287	1.37104643e-02
1.646323	753.0975	1.37431000e-02
1.648574	752.0692	1.37758762e-02
1.650825	751.0436	1.38087937e-02
1.653077	750.0209	1.38418536e-02
1.655328	749.0009	1.38750566e-02
1.657579	747.9837	1.39084037e-02
1.659830	746.9693	1.39418957e-02
1.662081	745.9576	1.39755337e-02
1.664332	744.9486	1.40093185e-02
1.666583	743.9424	1.40432510e-02
1.668834	742.9389	1.40773322e-02
1.671086	741.9380	1.41115631e-02
1.673337	740.9399	1.41459446e-02
1.675588	739.9445	1.41804776e-02
1.677839	738.9517	1.42151631e-02
1.680090	737.9616	1.42500022e-02
1.682341	736.9741	1.42849958e-02
1.684592	735.9893	1.43201448e-02
1.686843	735.0071	1.43554504e-02
1.689095	734.0275	1.43909135e-02
1.691346	733.0506	1.44265351e-02
1.693597	732.0762	1.44623162e-02
1.695848	731.1044	1.44982580e-02
1.698099	730.1352	1.45343614e-02
1.700350	729.1686	1.45706275e-02
1.702601	728.2045	1.46070574e-02
1.704852	727.2430	1.46436521e-02
1.707104	726.2840	1.46804127e-02
1.709355	725.3275	1.47173404e-02
1.711606	724.3735	1.47544362e-02
1.713857	723.4221	1.47917011e-02
1.716108	722.4731	1.48291365e-02
1.718359	721.5266	1.48667433e-02
1.720610	720.5826	1.49045227e-02
1.722861	719.6411	1.49424758e-02
1.725113	718.7020	1.49806039e-02
1.727364	717.7654	1.50189081e-02
1.729615	716.8312	1.50573896e-02
1.731866	715.8995	1.50960494e-02
1.734117	714.9701	1.51348890e-02
1.736368	714.0432	1.51739094e-02
1.738619	713.1187	1.52131119e-02
1.740870	712.1966	1.52524977e-02
1.743122	711.2768	1.52920681e-02
1.745373	710.3594	1.53318242e-02
1.747624	709.4444	1.53717675e-02
1.749875	708.5317	1.54118990e-02
1.752126	707.6214	1.54522202e-02
1.754377	706.7134	1.54927324e-02
1.756628	705.8078	1.55334367e-02
