# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,2.005118250575366e-06,3.5897413510704097e-17,-5.637293321036907e-08
0.2,7.274589420958044e-06,7.063159685925664e-17,-1.2414036087982083e-07
0.3,1.3077797152011295e-05,8.750223716949167e-17,-2.002394042799338e-07
0.4,1.7757162738968324e-05,1.6277095014214397e-16,-2.8906629989666754e-07
0.5,2.1361542012626744e-05,2.551832830456568e-16,-3.8532650570299865e-07
0.6,2.374591765591516e-05,3.06178307331174e-16,-4.854172470647455e-07
0.7,2.5400511019207928e-05,3.8361796957474883e-16,-5.939794233134066e-07
0.8,2.6513159458035895e-05,4.747591259915327e-16,-7.092702926092542e-07
0.9,2.6924805132721996e-05,5.143469578683069e-16,-8.276581667798766e-07
1.0,2.695481451567283e-05,5.509958293891168e-16,-9.528451532236915e-07
1.1,2.682934517031499e-05,6.149753042713817e-16,-1.0854930464487822e-06
1.2,2.6387041038689052e-05,6.604846202643347e-16,-1.2222450012089325e-06
1.3,2.5777501903051503e-05,6.642159764313293e-16,-1.3650583923219273e-06
1.4,2.521491501064621e-05,6.608631898925268e-16,-1.5157329396053854e-06
1.5,2.4566790168878416e-05,6.32426952512169e-16,-1.671501078326365e-06
1.6,2.385367300761221e-05,5.535133335434188e-16,-1.832426622327965e-06
1.7,2.325059680235997e-05,4.52533893670683e-16,-2.0003983602912e-06
1.8,2.2676149941724955e-05,3.5694805968914223e-16,-2.1735222671681598e-06
1.9,2.2074487750295413e-05,2.514022396804779e-16,-2.3504118373818272e-06
2.0,2.156712657219728e-05,1.4061130421199135e-16,-2.532348243433624e-06
2.1,2.1127405651827358e-05,6.287679584439882e-17,-2.718428087966629e-06
2.2,2.067203028913167e-05,1.456214846592546e-17,-2.906583506434579e-06
2.3,2.0265359320564835e-05,-2.876211815755354e-17,-3.0971627787979017e-06
2.4,1.992247857388052e-05,-3.212695295761678e-17,-3.290115829446272e-06
2.5,1.9569440701527885e-05,-2.22478818297821e-18,-3.4834810546113815e-06
2.6,1.9220246965351295e-05,1.2421608607229014e-17,-3.676683343334375e-06
2.7,1.8909502114611287e-05,1.271441679942659e-17,-3.870162577968017e-06
2.8,1.859366996193046e-05,3.5326483543550926e-17,-4.062630897694319e-06
2.9,1.8251944811087384e-05,6.809602268648434e-17,-4.252861490416926e-06
3.0,1.7915699230736104e-05,7.612199921440318e-17,-4.44131986143681e-06
3.1,1.7577218193287614e-05,9.928962930914732e-17,-4.627620027064516e-06
3.2,1.720140355868094e-05,1.2483073332766967e-16,-4.810315306080781e-06
3.3,1.6800184294230025e-05,1.2956159267585858e-16,-4.989502023211578e-06
3.4,1.6394238169015196e-05,1.3137146181376057e-16,-5.165575896137753e-06
3.5,1.595417810862365e-05,1.496577727099902e-16,-5.337323362275548e-06
3.6,1.5466789651807922e-05,1.5053047606068898e-16,-5.504276398227148e-06
3.7,1.4966016863626752e-05,1.41520343952083e-16,-5.667254822760981e-06
3.8,1.4442629556521425e-05,1.5727376433047245e-16,-5.825626211319879e-06
3.9,1.3862907822931314e-05,1.7344388404859944e-16,-5.978413775697966e-06
4.0,1.3257112107006863e-05,1.703878626061992e-16,-6.126412730567132e-06
4.1,1.2641858279927032e-05,1.5779902330974965e-16,-6.2697197852346065e-06
4.2,1.1974907367845455e-05,1.5814665978881664e-16,-6.407117016160591e-06
4.3,1.1269368665439705e-05,1.1579637131481487e-16,-6.538991880522538e-06
4.4,1.0564087346592865e-05,6.625017276349355e-17,-6.666085310857994e-06
4.5,9.822924091018592e-06,2.679535597732294e-17,-6.787310547373693e-06
4.6,9.035471141505269e-06,-3.242423606614341e-17,-6.902446492706993e-06
4.7,8.251974347422975e-06,-1.2761916423981029e-16,-7.012598237987611e-06
4.8,7.454751060481657e-06,-2.2507137720800913e-16,-7.117152111990599e-06
4.9,6.6118052994001975e-06,-3.4054050193773674e-16,-7.215309348218568e-06
5.0,5.77067718682267e-06,-4.970395004680848e-16,-7.308159600039055e-06
5.1,4.938535997617288e-06,-6.541525306740589e-16,-7.395757241179801e-06
5.2,4.070716044218825e-06,-7.892638592755336e-16,-7.476962275876353e-06
5.3,3.199172572576625e-06,-9.541974096358769e-16,-7.5524923287551005e-06
5.4,2.3547537013612896e-06,-1.1378934870004227e-15,-7.623055911953891e-06
5.5,1.4928239478462224e-06,-1.3134796937416531e-15,-7.687525847455134e-06
