# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,-1.0269562977782698e-15,2.087102528943646e-06,-5.63767621475364e-08
0.2,-2.1094237467877974e-15,7.363281978944685e-06,-1.241565269483047e-07
0.3,-3.3861802251067274e-15,1.2660705207744848e-05,-2.002566124037486e-07
0.4,-4.912736883966318e-15,1.6145541240582953e-05,-2.8908340987676695e-07
0.5,-6.522560269672795e-15,1.8050585693539307e-05,-3.853427161804035e-07
0.6,-8.049116928532385e-15,1.8467416732598602e-05,-4.854322709357817e-07
0.7,-9.797718192317006e-15,1.797300562330849e-05,-5.939931079224081e-07
0.8,-1.1685097334179773e-14,1.6871505694314404e-05,-7.092824633181394e-07
0.9,-1.3322676295501878e-14,1.5177450830094724e-05,-8.276689281716543e-07
1.0,-1.529332216421153e-14,1.3265711762793534e-05,-9.528545269477107e-07
1.1,-1.7263968032921184e-14,1.1379194523282094e-05,-1.085500731190514e-06
1.2,-1.9845236565174673e-14,9.432347074779553e-06,-1.2222508948278588e-06
1.3,-2.1510571102112408e-14,7.5980394469799045e-06,-1.3650623864602807e-06
1.4,-2.3925306180672123e-14,6.044559553731996e-06,-1.5157344793736982e-06
1.5,-2.6506574712925612e-14,4.635743390311185e-06,-1.6714997412847765e-06
1.6,-2.911559882079473e-14,3.404684887869675e-06,-1.8324296708893684e-06
1.7,-3.214095656289828e-14,2.4707716667343463e-06,-2.0003991544337296e-06
1.8,-3.5388358909926865e-14,1.7023096010092282e-06,-2.1735208688422603e-06
1.9,-3.852473895449293e-14,1.0572163150664633e-06,-2.3504102140137206e-06
2.0,-4.188316360398403e-14,6.293548855497988e-07,-2.5323388960218907e-06
2.1,-4.515832152662824e-14,3.232952940115972e-07,-2.7184078617015217e-06
2.2,-4.8655524054197485e-14,6.69414756371545e-08,-2.9065581393927786e-06
2.3,-5.2235993308613615e-14,-6.13967617452523e-08,-3.0971283289105145e-06
2.4,-5.5816462563029745e-14,-1.1282237007751663e-07,-3.290065795691355e-06
2.5,-5.953570969552402e-14,-1.6484757172176916e-07,-3.4834219294621604e-06
2.6,-6.34492458573277e-14,-1.5440062028162787e-07,-3.676617132852833e-06
2.7,-6.7390537594747e-14,-9.494522347918804e-08,-3.870081295209715e-06
2.8,-7.133182933216631e-14,-5.810255621672271e-08,-4.06253810569801e-06
2.9,-7.538414337204813e-14,1.4352105243616734e-09,-4.252764668200015e-06
3.0,-7.954747971439247e-14,9.582823180627254e-08,-4.441215119554975e-06
3.1,-8.343326030058051e-14,1.6406884333308117e-07,-4.627506393073411e-06
3.2,-8.765210779415611e-14,2.327768642451266e-07,-4.8101996117377865e-06
3.3,-9.192646643896296e-14,3.2824824475715833e-07,-4.989382867637282e-06
3.4,-9.559020242022598e-14,4.020519560563442e-07,-5.165449588950821e-06
3.5,-9.933720512833588e-14,4.640206115463862e-07,-5.33719479089978e-06
3.6,-1.0261236305098009e-13,5.459115611398895e-07,-5.504147549739713e-06
3.7,-1.0558220964185239e-13,6.12482744514579e-07,-5.667121489527638e-06
3.8,-1.0860756738395594e-13,6.607134872080871e-07,-5.825490224431462e-06
3.9,-1.113553693699032e-13,7.2209837947116e-07,-5.978279263962882e-06
4.0,-1.1438072711200675e-13,7.740990547797387e-07,-6.126276896223359e-06
4.1,-1.1710077352233839e-13,8.054280361261955e-07,-6.269581459217299e-06
4.2,-1.2020939799128882e-13,8.438835272156443e-07,-6.406980684658947e-06
4.3,-1.2223555501122974e-13,8.781037634579618e-07,-6.5388572713098725e-06
4.4,-1.2481682354348322e-13,8.926810649382482e-07,-6.665949299544671e-06
4.5,-1.2692624729027102e-13,9.098879799253081e-07,-6.7871762787774514e-06
4.6,-1.2867484855405564e-13,9.272213225186071e-07,-6.902316279311371e-06
4.7,-1.3070100557399655e-13,9.283242564112934e-07,-7.012468569267405e-06
4.8,-1.3214429550600926e-13,9.292477121807833e-07,-7.117023721026072e-06
4.9,-1.3342105198432819e-13,9.336728798909622e-07,-7.215186241693594e-06
5.0,-1.3464229731141586e-13,9.264101178353564e-07,-7.308039417508461e-06
5.1,-1.352529199749597e-13,9.174308225696168e-07,-7.395638165319518e-06
5.2,-1.3594680936535042e-13,9.140251588295512e-07,-7.476848557286253e-06
5.3,-1.3614109839465982e-13,9.03394859451933e-07,-7.5523837619329015e-06
5.4,-1.360300760921973e-13,8.90185776831421e-07,-7.622948875907198e-06
5.5,-1.361133428190442e-13,8.831537701162286e-07,-7.687423371094404e-06
5.6,-1.362243651215067e-13,8.724511405276325e-07,-7.745929077263014e-06
5.7,-1.3553047573111598e-13,8.58540577823738e-07,-7.79960858565687e-06
5.8,-1.3514189767249718e-13,8.500887245982926e-07,-7.847705039920605e-06
5.9,-1.345867861601846e-13,8.40292313240625e-07,-7.889725009202486e-06
6.0,-1.3378187446733136e-13,8.267332963962381e-07,-7.9269096917578e-06
6.1,-1.329492071988625e-13,8.170225355299123e-07,-7.95910308992731e-06
6.2,-1.3178347302300608e-13,8.071788373673391e-07,-7.985370482854748e-06
6.3,-1.3011813848606835e-13,7.931598511057592e-07,-8.006696037288208e-06
6.4,-1.2895240431021193e-13,7.81044441175213e-07,-8.023577601767862e-06
6.5,-1.2739809207573671e-13,7.692449206879017e-07,-8.034950080060277e-06
6.6,-1.260380688705709e-13,7.531525053181001e-07,-8.041278678372343e-06
6.7,-1.2437273433363316e-13,7.371926963748679e-07,-8.043572906291097e-06
6.8,-1.2276291094792668e-13,7.216251937596809e-07,-8.04098404072473e-06
6.9,-1.2126410986468272e-13,7.020513964744718e-07,-8.033367058568608e-06
7.0,-1.195155086008981e-13,6.813471135567441e-07,-8.021955529957658e-06
7.1,-1.1829426327381043e-13,6.61033411960922e-07,-8.00639132503278e-06
7.2,-1.163513729807164e-13,6.374017809433212e-07,-7.986019702421743e-06
7.3,-1.1474154959500993e-13,6.120044415349178e-07,-7.961957769087036e-06
7.4,-1.1282641487753153e-13,5.870655327954593e-07,-7.934457861735744e-06
7.5,-1.1105005803813128e-13,5.597849790777375e-07,-7.902609062693244e-06
7.6,-1.0921819004749977e-13,5.306690111931592e-07,-7.867123515081786e-06
7.7,-1.0752509993494641e-13,5.021674493654309e-07,-7.82879835703465e-06
7.8,-1.0544343176377424e-13,4.7240889051652924e-07,-7.786789045005627e-06
7.9,-1.0377809722683651e-13,4.41138257838769e-07,-7.741250967363555e-06
8.0,-1.0139111772389242e-13,4.1066842507971217e-07,-7.69330172500915e-06
8.1,-9.903189379656396e-14,3.799497864162558e-07,-7.642453156764262e-06
8.2,-9.692247004977617e-14,3.4823164316929337e-07,-7.58832819813815e-06
8.3,-9.445222381998519e-14,3.174545850778496e-07,-7.532056019221578e-06
8.4,-9.192646643896296e-14,2.8722034652176323e-07,-7.473675104008315e-06
8.5,-8.987255384340642e-14,2.565143062474271e-07,-7.4124603527403465e-06
8.6,-8.795741912592803e-14,2.2678981079089076e-07,-7.349255664923504e-06
8.7,-8.612555113529652e-14,1.981139509392995e-07,-7.284629814252597e-06
8.8,-8.443246102274315e-14,1.6939732902786574e-07,-7.217790214286701e-06
8.9,-8.229528170033973e-14,1.415901924267194e-07,-7.149099284897709e-06
9.0,-8.051892486093948e-14,1.1505412296241964e-07,-7.079499013129542e-06
9.1,-7.838174553853605e-14,8.876720972105974e-08,-7.0084157433036864e-06
9.2,-7.652212197228891e-14,6.323084795184418e-08,-6.935688774856175e-06
9.3,-7.482903185973555e-14,3.896077930488329e-08,-6.862369995253026e-06
9.4,-7.302491944471967e-14,1.509726227362297e-08,-6.788309110716817e-06
9.5,-7.158162951270697e-14,-8.213046136310294e-09,-6.712939754516256e-06
9.6,-7.002731727823175e-14,-3.040569018091571e-08,-6.63713842963265e-06
9.7,-6.888933867799096e-14,-5.2128252204020316e-08,-6.561241906677395e-06
9.8,-6.722400414105323e-14,-7.34812460543739e-08,-6.4845107569100335e-06
9.9,-6.59472476627343e-14,-9.392434426707492e-08,-6.4074259599200545e-06
10.0,-6.45039577307216e-14,-1.1388144010307889e-07,-6.330721205261014e-06
10.1,-6.358802373540584e-14,-1.3359879669032445e-07,-6.253755054141941e-06
10.2,-6.217248937900877e-14,-1.5260574536505067e-07,-6.176521311407335e-06
10.3,-6.11455330812305e-14,-1.711206011089549e-07,-6.0999410677053945e-06
10.4,-6.04793992664554e-14,-1.8945197503729574e-07,-6.0236957400983115e-06
10.5,-5.950795411990839e-14,-2.072229898075614e-07,-5.9473502748152995e-06
10.6,-5.898059818321144e-14,-2.2448396416440424e-07,-5.871753612218811e-06
10.7,-5.83699755196676e-14,-2.4154535816238785e-07,-5.7970223399372856e-06
10.8,-5.773159728050814e-14,-2.581321552537979e-07,-5.72247582286689e-06
10.9,-5.750955267558311e-14,-2.741736470061624e-07,-5.648662777191227e-06
11.0,-5.709321904134868e-14,-2.8994415887899453e-07,-5.5761059224446186e-06
11.1,-5.687117443642364e-14,-3.0526695614456693e-07,-5.504125578315033e-06
11.2,-5.6621374255882984e-14,-3.199979593144562e-07,-5.432841887142992e-06
11.3,-5.6593618680267355e-14,-3.3435628809984895e-07,-5.363029125016183e-06
11.4,-5.698219673888616e-14,-3.482518783375119e-07,-5.294240383091342e-06
11.5,-5.737077479750496e-14,-3.615092001475035e-07,-5.2261733823888434e-06
11.6,-5.787037515858628e-14,-3.742870564966911e-07,-5.159627315509674e-06
11.7,-5.803690861228006e-14,-3.865654774388865e-07,-5.094535426630742e-06
11.8,-5.853650897336138e-14,-3.981698838474607e-07,-5.030305826547732e-06
11.9,-5.94246873930615e-14,-4.092026887114034e-07,-4.967536956113072e-06
12.0,-6.000755448098971e-14,-4.1969516508292687e-07,-4.906564517237477e-06
12.1,-6.039613253960852e-14,-4.29495271848583e-07,-4.846720354945155e-06
12.2,-6.15341111398493e-14,-4.386579045882564e-07,-4.788246768638871e-06
12.3,-6.236677840831817e-14,-4.4724679299439063e-07,-4.731778608824122e-06
12.4,-6.336597913048081e-14,-4.5514387993248573e-07,-4.6767967326610815e-06
12.5,-6.439293542825908e-14,-4.6236739332631134e-07,-4.623146712678938e-06
12.6,-6.550315845288424e-14,-4.689966983739267e-07,-4.5715714224181525e-06
12.7,-6.619704784327496e-14,-4.7495095631911567e-07,-4.521868817497499e-06
12.8,-6.755707104844078e-14,-4.802226485740029e-07,-4.473569222285256e-06
12.9,-6.861178292183467e-14,-4.848932547545834e-07,-4.427307308874084e-06
13.0,-6.961098364399732e-14,-4.889166516103739e-07,-4.38326053053828e-06
13.1,-7.124856260531942e-14,-4.922694852794502e-07,-4.340816967873806e-06
13.2,-7.241429678117584e-14,-4.950258145910585e-07,-4.300329047968177e-06
13.3,-7.341349750333848e-14,-4.971684283145567e-07,-4.262296348978012e-06
13.4,-7.435718707426986e-14,-4.986665060412693e-07,-4.226172043764187e-06
13.5,-7.53563877964325e-14,-4.995811817692424e-07,-4.191945482401316e-06
13.6,-7.635558851859514e-14,-4.999170699147253e-07,-4.160284216125909e-06
13.7,-7.704947790898586e-14,-4.996425007970165e-07,-4.130883044961564e-06
13.8,-7.777112287499222e-14,-4.98803722583564e-07,-4.10340062939607e-06
13.9,-7.877032359715486e-14,-4.974202317848044e-07,-4.078472815471912e-06
14.0,-7.885359032400174e-14,-4.954643453906793e-07,-4.056128997897979e-06
14.1,-7.921441280700492e-14,-4.929681689663437e-07,-4.035827111059653e-06
14.2,-7.965850201685498e-14,-4.899601105794548e-07,-4.017988688875818e-06
14.3,-7.963074644123935e-14,-4.864196074227641e-07,-4.002962192828363e-06
