# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,-8.326672684688674e-17,-2.8037611874242e-17,1.9634622722142225e-06
0.2,-1.6653345369377348e-16,-6.508510567987477e-17,7.109718024533862e-06
0.3,2.220446049250313e-16,-1.4120654321195566e-16,1.253912219711939e-05
0.4,5.828670879282072e-16,-1.6809880657517372e-16,1.652548571928758e-05
0.5,1.0547118733938987e-15,-1.8938603370775436e-16,1.9204061248001558e-05
0.6,1.7208456881689926e-15,-2.534044584468091e-16,2.0533405851064224e-05
0.7,2.609024107869118e-15,-2.900453391287064e-16,2.1038824540853263e-05
0.8,3.164135620181696e-15,-2.8842106796391003e-16,2.0972945458663794e-05
0.9,3.635980405647388e-15,-3.083337780675536e-16,2.0255518810130546e-05
1.0,4.3298697960381105e-15,-3.1599431008883347e-16,1.9230253082924698e-05
1.1,5.023759186428833e-15,-2.838202643787743e-16,1.814448947490277e-05
1.2,5.412337245047638e-15,-2.7332122222017965e-16,1.6869123039442435e-05
1.3,6.161737786669619e-15,-2.9661682413366256e-16,1.5559103586859635e-05
1.4,6.716849298982197e-15,-3.0132860390771e-16,1.4417536399635722e-05
1.5,6.938893903907228e-15,-3.055828594889901e-16,1.330449751402174e-05
1.6,8.049116928532385e-15,-3.598073269795446e-16,1.2235825000428413e-05
1.7,8.271161533457416e-15,-4.1870192068331204e-16,1.1367604583756297e-05
1.8,8.493206138382448e-15,-4.693995151534352e-16,1.0588886676488052e-05
1.9,8.68749516769185e-15,-5.422023540391205e-16,9.83788449548939e-06
2.0,9.242606680004428e-15,-6.319031185282862e-16,9.229285258927078e-06
2.1,9.908740494779522e-15,-7.069064131404238e-16,8.701017972567726e-06
2.2,9.797718192317006e-15,-7.903219153751683e-16,8.164132473287289e-06
2.3,1.0519363158323358e-14,-8.994285966050306e-16,7.696437965498681e-06
2.4,1.0269562977782698e-14,-1.0001620341364293e-15,7.282847749201515e-06
2.5,1.0685896612017132e-14,-1.077694142142746e-15,6.839748136089341e-06
2.6,1.0574874309554616e-14,-1.1698750781944197e-15,6.41234287301895e-06
2.7,1.1102230246251565e-14,-1.285552590187003e-15,6.016888693061162e-06
2.8,1.1407541578023483e-14,-1.378733862643453e-15,5.590833540680684e-06
2.9,1.1601830607332886e-14,-1.4589143829413216e-15,5.153335537078085e-06
3.0,1.1712852909795402e-14,-1.544182491020813e-15,4.732842851740138e-06
3.1,1.201816424156732e-14,-1.6011884909491363e-15,4.291351293095325e-06
3.2,1.1796119636642288e-14,-1.6166367690217336e-15,3.831240611429365e-06
3.3,1.1796119636642288e-14,-1.64523601450615e-15,3.3783057524772175e-06
3.4,1.1851630787873546e-14,-1.6535916853643299e-15,2.914576888168874e-06
3.5,1.2323475573339238e-14,-1.6333256510629834e-15,2.4360169365023054e-06
3.6,1.2850831510036187e-14,-1.6244306879892615e-15,1.958501827936665e-06
3.7,1.329492071988625e-14,-1.6352056260148972e-15,1.4757547077692834e-06
3.8,1.3433698597964394e-14,-1.6079818275837899e-15,9.857887364184137e-07
3.9,1.3877787807814457e-14,-1.577487057579493e-15,4.947231356799975e-07
4.0,1.4682699500667695e-14,-1.6019180367464053e-15,-7.788131251018626e-10
4.1,1.5376588891058418e-14,-1.612605110995888e-15,-4.964175199795307e-07
4.2,1.6237011735142914e-14,-1.5991999941858512e-15,-9.907481101079085e-07
4.3,1.687538997430238e-14,-1.619249344352502e-15,-1.4906498461142448e-06
4.4,1.759703494030873e-14,-1.6613675374468162e-15,-1.986216119020945e-06
4.5,1.8568480086855743e-14,-1.6767044636832833e-15,-2.4740690752755867e-06
4.6,1.9512169657787126e-14,-1.7214589895166452e-15,-2.967226639061238e-06
4.7,2.067790383364354e-14,-1.803679513041047e-15,-3.454640733591141e-06
4.8,2.1871393585115584e-14,-1.84836146022296e-15,-3.9259524673429524e-06
4.9,2.300937218535637e-14,-1.9080750356210163e-15,-4.3987554817492835e-06
5.0,2.4119595209981526e-14,-2.010915299931236e-15,-4.866757669086397e-06
5.1,2.5673907444456745e-14,-2.1081632233039054e-15,-5.311086141435162e-06
5.2,2.7033930649622562e-14,-2.1896771034628117e-15,-5.749251133391198e-06
5.3,2.839395385478838e-14,-2.3034048949333553e-15,-6.1844260826893205e-06
5.4,3.0059288391726113e-14,-2.414407356304567e-15,-6.591659099219882e-06
5.5,3.194666753358888e-14,-2.5030597156351618e-15,-6.98262629028612e-06
5.6,3.366751322175787e-14,-2.6004042761708173e-15,-7.371532693034588e-06
5.7,3.58046925441613e-14,-2.721112701276239e-15,-7.732774053414992e-06
5.8,3.749778265671466e-14,-2.818007910502013e-15,-8.067612659812262e-06
5.9,3.913536161803677e-14,-2.8793708907199597e-15,-8.399016950488836e-06
6.0,4.0273340218277554e-14,-2.96474466563203e-15,-8.707199996904613e-06
6.1,4.196643033083092e-14,-3.0378633198450277e-15,-8.981374163385958e-06
6.2,4.3270942384765476e-14,-3.1044653697610333e-15,-9.247870664030877e-06
6.3,4.446443213623752e-14,-3.188847333202667e-15,-9.498005071995053e-06
