# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,1.2212453270876722e-15,5.829641217064173e-18,3.16625614615873e-11
0.01,2.3314683517128287e-15,6.425557665007021e-18,5.247879908409914e-11
0.02,3.497202527569243e-15,1.3636396507072531e-17,6.32119911969653e-11
0.03,4.773959005888173e-15,1.6018490364883557e-17,6.483369396903527e-11
0.04,5.773159728050814e-15,2.6477663472854246e-17,5.849976059124629e-11
0.05,1.0700818675601909e-08,2.6571076263779684e-17,4.551348187220583e-11
0.06,4.252885316136101e-08,2.724226706902252e-17,2.728406389707061e-11
0.07,8.436307963322065e-08,2.3358779150033803e-17,5.251465928779453e-12
0.08,1.2531870496879094e-07,2.475097981341633e-17,-1.909439273362068e-11
0.09,1.6532444624406395e-07,2.1896669292538426e-17,-4.4310222158117085e-11
0.1,2.043203435886376e-07,2.2231958957292047e-17,-6.903544402803163e-11
0.11,2.4225996236859615e-07,2.4410708854056184e-17,-9.203515727307376e-11
0.12,2.7911206684771983e-07,2.610493203995897e-17,-1.1223300067086939e-10
0.13,3.148617035986234e-07,2.8234330234643596e-17,-1.2874645793914397e-10
0.14,3.4951066502086903e-07,2.7445080606716946e-17,-1.409115046868692e-10
0.15,3.8307731453635085e-07,2.348418872804647e-17,-1.4829482086753387e-10
0.16,4.155957966656132e-07,2.3357839376285097e-17,-1.5070344971945815e-10
0.17,4.471146621276567e-07,2.4592666445453685e-17,-1.481842426542812e-10
0.18,4.776949710239009e-07,2.1662587602275095e-17,-1.4101109169217807e-10
0.19,5.074079509337359e-07,2.5132858040904128e-17,-1.29667498960373e-10
0.2,5.363323051232882e-07,2.682540319896155e-17,-1.14819820318246e-10
0.21,5.645512773377881e-07,2.4882232879795716e-17,-9.728584604573598e-11
0.22,5.921495901395346e-07,2.419097213696683e-17,-7.799549894826896e-11
0.23,6.19210367980294e-07,2.1916950937444953e-17,-5.7951532461686384e-11
0.24,6.458121746266698e-07,2.5376538252604032e-17,-3.818390048593301e-11
0.25,6.720262623050033e-07,2.3975729877023317e-17,-1.970745788781869e-11
0.26,6.979141448093529e-07,2.0483989825584e-17,-3.4835467843663537e-12
0.27,7.235255769511006e-07,2.8251480614535114e-17,9.626410779617345e-12
0.28,7.488970182323307e-07,3.121362557298942e-17,1.8891666009324126e-11
0.29,7.740506234310551e-07,3.304154456967328e-17,2.3737234400300622e-11
0.3,7.989938031749411e-07,3.156313378768703e-17,2.3777202429187128e-11
0.31,8.237193525051367e-07,3.30193946568604e-17,1.8818280267396403e-11
0.32,8.482061456538403e-07,3.4342449499177785e-17,8.873901613526414e-12
0.33,8.724203526266905e-07,3.405379584330211e-17,-5.840106176435711e-12
0.34,8.96317133125546e-07,2.6511554586086682e-17,-2.491329365028605e-11
0.35000000000000003,9.198427330936454e-07,1.892103377686114e-17,-4.775724260497327e-11
0.36,9.429368957314388e-07,2.0832802669651513e-17,-7.36287697478133e-11
0.37,9.65535497554626e-07,1.8400713450301322e-17,-1.0165979169585171e-10
0.38,9.875732997488562e-07,1.6348610480026213e-17,-1.308916308673247e-10
0.39,1.0089867110152362e-06,1.3890906964421968e-17,-1.6031165284147164e-10
0.4,1.0297164566019923e-06,1.76645605538228e-17,-1.8889245723130443e-10
0.41000000000000003,1.04971005093768e-06,1.662130736608684e-17,-2.1563073548946932e-10
0.42,1.0689239837713416e-06,1.254512461613108e-17,-2.395866838256211e-10
0.43,1.0873255399390658e-06,5.538636042747836e-18,-2.5991919727630375e-10
0.44,1.1048941856439676e-06,-2.919787291804022e-18,-2.759168449273375e-10
0.45,1.1216224773402672e-06,-5.314338623803741e-18,-2.87025070377922e-10
0.46,1.1375164618576683e-06,-6.848467647477529e-18,-2.928679521119193e-10
0.47000000000000003,1.152595558606695e-06,-1.3510132410338338e-17,-2.932594167504021e-10
0.48,1.1668919407403777e-06,-1.598274571237484e-17,-2.88209900389802e-10
0.49,1.180449432924835e-06,-2.2517373752424168e-17,-2.779304564271001e-10
