# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,1.27675647831893e-15,-2.9145817453295543e-19,3.1662228394679914e-11
0.01,2.6645352591003757e-15,1.5338582861378983e-18,5.2478243972586824e-11
0.02,3.9968028886505635e-15,-2.5653424704751656e-18,6.321165813005791e-11
0.03,5.329070518200751e-15,-6.460219198875089e-18,6.483302783522049e-11
0.04,6.2727600891321345e-15,-5.462259302414326e-18,5.849776218980196e-11
0.05,7.16093850883226e-15,1.1395336832646275e-08,4.5504044976496516e-11
0.06,8.43769498715119e-15,4.516229166581987e-08,2.7249758005609692e-11
0.07,9.603429163007604e-15,8.92865853916996e-08,5.216604925806223e-12
0.08,1.0602629885170245e-14,1.3214485456098497e-07,-1.9129142714291447e-11
0.09,1.1657341758564144e-14,1.7368492178500064e-07,-4.434530520569524e-11
0.1,1.27675647831893e-14,2.1386376720809346e-07,-6.907230343244919e-11
0.11,1.3822276656583199e-14,2.526492402623539e-07,-9.207123952137408e-11
0.12,1.509903313490213e-14,2.9002135997507665e-07,-1.1226930496377463e-10
0.13,1.6431300764452317e-14,3.2597315744088273e-07,-1.287839834773763e-10
0.14,1.759703494030873e-14,3.60511032276232e-07,-1.409488081804966e-10
0.15,1.8762769116165146e-14,3.9365461386104953e-07,-1.483317912942539e-10
0.16,2.020605904817785e-14,4.2543613726454935e-07,-1.5074008707927078e-10
0.17,2.1538326677728037e-14,4.5589936232541345e-07,-1.4822032490258152e-10
0.18,2.298161660974074e-14,4.85098081542425e-07,-1.4104706291817593e-10
0.19,2.3869795029440866e-14,5.130942778241187e-07,-1.2970313711946346e-10
0.2,2.4868995751603507e-14,5.39956005831279e-07,-1.1485512541042908e-10
0.21,2.6478819137309983e-14,5.657550805577739e-07,-9.732248340554861e-11
0.22,2.7478019859472624e-14,5.905646631430068e-07,-7.803280244189637e-11
0.23,2.853273173286652e-14,6.144568371230891e-07,-5.798894697761625e-11
0.24,2.992051051364797e-14,6.375002673762174e-07,-3.8221203979560414e-11
0.25,3.108624468950438e-14,6.597580301530699e-07,-1.9746093649075647e-11
0.26,3.2307490016592055e-14,6.812856947752422e-07,-3.521960501018384e-12
0.27,3.341771304121721e-14,7.021297272509642e-07,9.587441951453002e-12
0.28,3.4583447217073626e-14,7.223262728035729e-07,1.8851142868925308e-11
0.29,3.574918139293004e-14,7.419003592991988e-07,2.369837659443874e-11
0.3,3.702593787124897e-14,7.608655466919711e-07,2.3738122578720322e-11
0.31,3.808064974464287e-14,7.7922403057768e-07,1.8779422461534523e-11
0.32,3.93574062229618e-14,7.969671900257544e-07,8.83448869615222e-12
0.33,4.0523140398818214e-14,8.14076553238974e-07,-5.880185227624679e-12
0.34,4.2021941482062175e-14,8.305251387177972e-07,-2.4953150656870093e-11
0.35000000000000003,4.340972026284362e-14,8.462791157073506e-07,-4.7796322455440077e-11
0.36,4.424238753131249e-14,8.612997159115932e-07,-7.36669614198604e-11
0.37,4.5852210917018965e-14,8.755453199465852e-07,-1.0169709518947911e-10
0.38,4.6851411639181606e-14,8.889736356755968e-07,-1.309294894724644e-10
0.39,4.807265696626928e-14,9.015438833920312e-07,-1.603481791789818e-10
0.4,4.929390229335695e-14,9.132189031139068e-07,-1.889280953903949e-10
0.41000000000000003,5.040412531798211e-14,9.239671036321152e-07,-2.1566592955934993e-10
0.42,5.1958437552457326e-14,9.337641794492159e-07,-2.396207676724771e-10
0.43,5.268008251846368e-14,9.425945318892363e-07,-2.599531701008573e-10
0.44,5.42343947529389e-14,9.504523424412578e-07,-2.759497075288664e-10
0.45,5.523359547510154e-14,9.573422605678046e-07,-2.8705815502405585e-10
0.46,5.623279619726418e-14,9.632796832390535e-07,-2.9290059266884327e-10
0.47000000000000003,5.745404152435185e-14,9.68290619571256e-07,-2.9329216832962857e-10
0.48,5.856426454897701e-14,9.724111498240882e-07,-2.882427629913309e-10
0.49,5.950795411990839e-14,9.756865036220742e-07,-2.7796243085020933e-10
0.5,6.039613253960852e-14,9.78169796503587e-07,-2.6284663334763536e-10
0.51,6.145084441300241e-14,9.799204767449524e-07,-2.4346535898445154e-10
0.52,6.27831120425526e-14,9.810025448318953e-07,-2.20540918860479e-10
0.53,6.400435736964027e-14,9.8148261613561e-07,-1.949189698535747e-10
0.54,6.517009154549669e-14,9.814279024997044e-07,-1.675422023339479e-10
0.55,6.622480341889059e-14,9.80904190852303e-07,-1.3940903986764397e-10
0.56,6.7390537594747e-14,9.799738961008803e-07,-1.115469938639535e-10
0.5700000000000001,6.84452494681409e-14,9.786942619620787e-07,-8.496769954291494e-11
0.58,6.944445019030354e-14,9.771157769258381e-07,-6.063705093595217e-11
0.59,7.016609515630989e-14,9.75280863487277e-07,-3.9442449306648086e-11
0.6,7.133182933216631e-14,9.732228876394194e-07,-2.2159052370795962e-11
0.61,7.19979631469414e-14,9.709655230076132e-07,-9.428346992024217e-12
0.62,7.288614156664153e-14,9.6852248969295e-07,-1.7408297026122455e-12
0.63,7.399636459126668e-14,9.658976736825282e-07,5.837552663479073e-13
0.64,7.51620987671231e-14,9.630856176868139e-07,-2.6063595726100175e-12
0.65,7.605027718682322e-14,9.600723603121632e-07,-1.1285639089919641e-11
0.66,7.66053886991358e-14,9.56836587236338e-07,-2.5265789460604537e-11
0.67,7.793765632868599e-14,9.533510466180371e-07,-4.420397381466046e-11
0.68,7.888134589961737e-14,9.495841712527856e-07,-6.762412851912813e-11
0.6900000000000001,7.97695243193175e-14,9.45501842707568e-07,-9.493872354937594e-11
0.7000000000000001,8.065770273901762e-14,9.410692279790736e-07,-1.2547951566688198e-10
0.71,8.132383655379272e-14,9.362526171644351e-07,-1.5852619217326946e-10
0.72,8.254508188088039e-14,9.310211914826934e-07,-1.9333756817729864e-10
0.73,8.337774914934926e-14,9.253486542192347e-07,-2.2918755782086464e-10
0.74,8.454348332520567e-14,9.192146635104315e-07,-2.653940400776378e-10
0.75,8.554268404736831e-14,9.12606013844899e-07,-3.013500560200555e-10
0.76,8.626432901337466e-14,9.05517523688185e-07,-3.365514533726355e-10
0.77,8.731904088676856e-14,8.979525981497842e-07,-3.706157603033944e-10
0.78,8.787415239908114e-14,8.899234486155036e-07,-4.0330527806275995e-10
0.79,8.926193117986259e-14,8.814509646107087e-07,-4.3453451947783606e-10
0.8,8.998357614586894e-14,8.725642464737362e-07,-4.643772033574578e-10
0.81,9.126033262418787e-14,8.632998205013671e-07,-4.930701402727777e-10
0.8200000000000001,9.209299989265674e-14,8.537005701470028e-07,-5.210005760147851e-10
0.8300000000000001,9.281464485866309e-14,8.438144272697058e-07,-5.487008625237877e-10
0.84,9.381384558082573e-14,8.336928763803079e-07,-5.768289179641783e-10
0.85,9.497957975668214e-14,8.233893313038532e-07,-6.061444679517081e-10
0.86,9.60898027813073e-14,8.129574479219437e-07,-6.374882843829255e-10
0.87,9.71445146547012e-14,8.024494385232225e-07,-6.717512102127898e-10
0.88,9.831024883055761e-14,7.919144523627246e-07,-7.098461818344504e-10
0.89,9.908740494779522e-14,7.813970839832549e-07,-7.526774759014643e-10
0.9,9.997558336749535e-14,7.709360650675603e-07,-8.011123986406687e-10
0.91,1.0058620603103918e-13,7.605631880710286e-07,-8.559543074326825e-10
0.92,1.0164091790443308e-13,7.50302500469752e-07,-9.179164095485248e-10
0.93,1.0247358517290195e-13,7.401697974885489e-07,-9.876035544920114e-10
0.9400000000000001,1.0352829704629585e-13,7.301724296075182e-07,-1.065492361007614e-09
0.9500000000000001,1.042499420123022e-13,7.203094288037402e-07,-1.1519224463185651e-09
0.96,1.0558220964185239e-13,7.105719451299448e-07,-1.2470884325210818e-09
0.97,1.0663692151524629e-13,7.009439735282906e-07,-1.3510403906735746e-09
0.98,1.0752509993494641e-13,6.914033398234542e-07,-1.463689836000981e-09
0.99,1.0796918914479647e-13,6.819229051717621e-07,-1.5848173884336347e-09
1.0,1.0896838986695911e-13,6.724719404129165e-07,-1.714087205506587e-09
1.01,1.0963452368173421e-13,6.630176156788849e-07,-1.8510699639762151e-09
1.02,1.1046719095020308e-13,6.535265468690294e-07,-1.9952635099684812e-09
1.03,1.1068923555512811e-13,6.439663390028658e-07,-2.1461127319710727e-09
1.04,1.11743947428522e-13,6.343070673101851e-07,-2.303042867524141e-09
1.05,1.1285417045314716e-13,6.245226399074388e-07,-2.465484927327566e-09
1.06,1.1357581541915351e-13,6.145919910933933e-07,-2.632898787879867e-09
1.07,1.1407541578023483e-13,6.045000613954344e-07,-2.804799836830796e-09
1.08,1.1496359419993496e-13,5.942385290725464e-07,-2.9807835089101786e-09
1.09,1.1590728377086634e-13,5.838062679128418e-07,-3.1605410510948673e-09
1.1,1.1679546219056647e-13,5.732095166746887e-07,-3.3438748436864785e-09
1.11,1.1751710715657282e-13,5.624617570612246e-07,-3.5307133883222264e-09
1.12,1.1840528557627295e-13,5.515833080799234e-07,-3.72111119695262e-09
1.1300000000000001,1.1907141939104804e-13,5.406006556252296e-07,-3.915256341358031e-09
1.1400000000000001,1.1968204205459188e-13,5.295455460135519e-07,-4.113458462740027e-09
1.1500000000000001,1.20570220474292e-13,5.184538809520959e-07,-4.316147328431441e-09
1.16,1.216249323476859e-13,5.073644586583419e-07,-4.523857288774025e-09
1.17,1.2195799925507345e-13,4.963176112096564e-07,-4.737208514349334e-09
1.18,1.2262413306984854e-13,4.853537917857531e-07,-4.956889121388031e-09
1.19,1.2317924458216112e-13,4.7451216656997424e-07,-5.18363285628709e-09
1.2,1.2395640069939873e-13,4.6382926551846635e-07,-5.418193227413326e-09
1.21,1.249000902703301e-13,4.5333774326317724e-07,-5.661321966776711e-09
1.22,1.255662240851052e-13,4.430652965285157e-07,-5.9137446051238385e-09
1.23,1.2612133559741778e-13,4.3303377811192185e-07,-6.176137934410519e-09
1.24,1.2706502516834917e-13,4.232585393777706e-07,-6.44910680414057e-09
