# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,9.992007221626409e-16,-6.078698834880723e-18,3.166300555079715e-11
0.01,2.1094237467877974e-15,-1.3649692184203194e-17,5.247902112870406e-11
0.02,3.219646771412954e-15,-2.055682068617386e-17,6.321243528617515e-11
0.03,4.440892098500626e-15,-3.2481748150228924e-17,6.483513725896728e-11
0.04,5.495603971894525e-15,-3.826429917032577e-17,5.850064876966599e-11
0.05,6.6058269965196814e-15,-4.6949712548728684e-17,1.093030410626028e-08
0.06,7.66053886991358e-15,-5.25055570782048e-17,4.323424174224044e-08
0.07,8.770761894538737e-15,-6.31322399292086e-17,8.55877281269457e-08
0.08,1.0103029524088925e-14,-7.146916751755423e-17,1.2690662620773452e-07
0.09,1.1324274851176597e-14,-9.136444257991058e-17,1.671293777816274e-07
0.1,1.2434497875801753e-14,-1.0552115404541133e-16,2.062045028061732e-07
0.11,1.3877787807814457e-14,-1.1738737895940332e-16,2.4409254095747457e-07
0.12,1.4932499681208355e-14,-1.2499452332016849e-16,2.80767530891346e-07
0.13,1.6209256159527285e-14,-1.3711209161394856e-16,3.162179785798358e-07
0.14,1.7930101847696278e-14,-1.480952613575427e-16,3.504472739779274e-07
0.15,1.892930256985892e-14,-1.5854132682343617e-16,3.8347355635348634e-07
0.16,1.9984014443252818e-14,-1.6813984270411424e-16,4.1532903238827856e-07
0.17,2.1038726316646716e-14,-1.7756144461996636e-16,4.460587789134607e-07
0.18,2.2537527399890678e-14,-1.8607875835461294e-16,4.757190827930913e-07
0.19,2.3703261575747092e-14,-1.9314591675149883e-16,5.04375388010736e-07
0.2,2.4924506902834764e-14,-2.0318890800123793e-16,5.320999260094439e-07
0.21,2.609024107869118e-14,-2.119469837015233e-16,5.58969122654851e-07
0.22,2.736699755701011e-14,-2.2270251303312353e-16,5.850609022806097e-07
0.23,2.8310687127941492e-14,-2.3013708734418455e-16,6.104519526539676e-07
0.24,2.964295475749168e-14,-2.3308416740010385e-16,6.352150943023105e-07
0.25,3.097522238704187e-14,-2.374799544863476e-16,6.594168345808171e-07
0.26,3.247402347028583e-14,-2.415501925112044e-16,6.831151942998659e-07
0.27,3.352873534367973e-14,-2.4800805411388055e-16,7.063578923993674e-07
0.28,3.4638958368304884e-14,-2.5393690289993996e-16,7.291809583920283e-07
0.29,3.624878175401136e-14,-2.549532277634703e-16,7.51607806881438e-07
0.3,3.758104938356155e-14,-2.6688402955406963e-16,7.73648812679717e-07
0.31,3.8746783559417963e-14,-2.7606525240780093e-16,7.95301395295489e-07
0.32,4.0023540037736893e-14,-2.845326619687165e-16,8.165506029111924e-07
0.33,4.1022740759899534e-14,-2.922875499013067e-16,8.37370169315399e-07
0.34,4.241051954068098e-14,-3.0207135168133036e-16,8.577239924978386e-07
0.35000000000000003,4.374278717023117e-14,-3.0747035141492516e-16,8.775679762873523e-07
0.36,4.468647674116255e-14,-3.162342142346268e-16,8.968521693075715e-07
0.37,4.6129766673175254e-14,-3.2629046692230014e-16,9.155230965562922e-07
0.38,4.729550084903167e-14,-3.324053225353281e-16,9.335262111109799e-07
0.39,4.846123502488808e-14,-3.4025436093209266e-16,9.508083591569516e-07
0.4,4.951594689828198e-14,-3.495430097044298e-16,9.673201764037742e-07
0.41000000000000003,5.051514762044462e-14,-3.571414897618451e-16,9.83018305311667e-07
0.42,5.168088179630104e-14,-3.6421588070058775e-16,9.978673661814597e-07
0.43,5.240252676230739e-14,-3.6907846873595764e-16,1.0118416148285903e-06
0.44,5.3512749786932545e-14,-3.815902035638376e-16,1.024926202575216e-06
0.45,5.4289905904170155e-14,-3.903290679664455e-16,1.037118022684247e-06
0.46,5.5344617777564054e-14,-3.929819792197125e-16,1.0484260933862899e-06
0.47000000000000003,5.6343818499726694e-14,-3.9781224903403227e-16,1.0588714841608393e-06
0.48,5.756506382681437e-14,-4.015814457485418e-16,1.0684867798316233e-06
0.49,5.81756864903582e-14,-4.051794478482263e-16,1.0773151221110666e-06
0.5,5.939693181744587e-14,-4.0573272432066296e-16,1.0854088534628659e-06
0.51,6.039613253960852e-14,-4.107677377795793e-16,1.0928278287858362e-06
0.52,6.183942247162122e-14,-4.146619689384964e-16,1.0996374689709043e-06
0.53,6.245004513516506e-14,-4.1951101145403444e-16,1.1059066093999093e-06
0.54,6.328271240363392e-14,-4.232318871833638e-16,1.1117052607367839e-06
0.55,6.428191312579656e-14,-4.1977950166625526e-16,1.1171023340805775e-06
0.56,6.52811138479592e-14,-4.2060507514626e-16,1.1221634458324914e-06
0.5700000000000001,6.628031457012185e-14,-4.2203438760439615e-16,1.126948859897503e-06
0.58,6.750155989720952e-14,-4.230032592550725e-16,1.1315116653642932e-06
0.59,6.84452494681409e-14,-4.26785527408246e-16,1.135896239290446e-06
0.6,6.966649479522857e-14,-4.316587127343422e-16,1.140137057764612e-06
0.61,7.105427357601002e-14,-4.3887054471745475e-16,1.144257895657752e-06
0.62,7.194245199571014e-14,-4.425058158196771e-16,1.1482714368238334e-06
0.63,7.283063041541027e-14,-4.447449093460341e-16,1.1521793096269661e-06
0.64,7.382983113757291e-14,-4.512732665090216e-16,1.1559725362486617e-06
0.65,7.471800955727304e-14,-4.561291749968791e-16,1.1596323813423126e-06
0.66,7.582823258189819e-14,-4.616641173740156e-16,1.1631315500748585e-06
0.67,7.66053886991358e-14,-4.649485871137061e-16,1.166435699695434e-06
0.68,7.760458942129844e-14,-4.719643949033051e-16,1.1695051952420599e-06
0.6900000000000001,7.877032359715486e-14,-4.78242742679788e-16,1.1722970442162861e-06
0.7000000000000001,7.960299086562372e-14,-4.837704360328586e-16,1.1747669318440401e-06
0.71,8.08242361927114e-14,-4.883743469442619e-16,1.176871271435509e-06
0.72,8.154588115871775e-14,-5.006396079534627e-16,1.1785692115573454e-06
0.73,8.237854842718662e-14,-5.06556859753766e-16,1.1798245059813084e-06
0.74,8.315570454442422e-14,-5.12608120154127e-16,1.1806071789077777e-06
0.75,8.432143872028064e-14,-5.165928412180168e-16,1.1808949383906864e-06
0.76,8.520961713998076e-14,-5.271361039012863e-16,1.1806742656883529e-06
0.77,8.609779555968089e-14,-5.368600599945346e-16,1.17994116599629e-06
0.78,8.676392937445598e-14,-5.409940475125297e-16,1.1787015419262303e-06
0.79,8.776313009661862e-14,-5.515509087924492e-16,1.1769711746323352e-06
0.8,8.876233081878127e-14,-5.521429113232688e-16,1.1747753392299387e-06
0.81,8.965050923848139e-14,-5.566348088420343e-16,1.1721480482895785e-06
0.8200000000000001,9.070522111187529e-14,-5.62491232847002e-16,1.169130982803246e-06
0.8300000000000001,9.181544413650045e-14,-5.667750371690664e-16,1.1657721240565522e-06
0.84,9.25370891025068e-14,-5.734345957890315e-16,1.1621241710058072e-06
0.85,9.348077867343818e-14,-5.796010552670297e-16,1.1582427840162168e-06
0.86,9.447997939560082e-14,-5.827765812964698e-16,1.1541847424467733e-06
0.87,9.520162436160717e-14,-5.815182490320727e-16,1.1500060667080092e-06
0.88,9.636735853746359e-14,-5.828009269597239e-16,1.1457601925002336e-06
0.89,9.681144774731365e-14,-5.8700516556628245e-16,1.1414962564071374e-06
0.9,9.786615962070755e-14,-5.879214966898723e-16,1.1372575646761973e-06
0.91,9.886536034287019e-14,-5.847596650757071e-16,1.133080288817645e-06
0.92,9.969802761133906e-14,-5.852341814593279e-16,1.1289924458646183e-06
0.93,1.0047518372857667e-13,-5.908496773981103e-16,1.1250131949358533e-06
0.9400000000000001,1.0147438445073931e-13,-5.953021861934385e-16,1.1211524694187958e-06
0.9500000000000001,1.0202949596305189e-13,-6.02871258577661e-16,1.1174109608713678e-06
0.96,1.0336176359260207e-13,-6.065047258813618e-16,1.1137804415417563e-06
0.97,1.0408340855860843e-13,-6.093644505548886e-16,1.1102444228416886e-06
0.98,1.0502709812953981e-13,-6.143523995983254e-16,1.1067791051422304e-06
0.99,1.0580425424677742e-13,-6.156649234460122e-16,1.1033545930239086e-06
1.0,1.0669243266647754e-13,-6.191709014952693e-16,1.0999363198038736e-06
1.01,1.0735856648125264e-13,-6.218873205821669e-16,1.0964866193896583e-06
1.02,1.0835776720341528e-13,-6.306277443342831e-16,1.0929664023828778e-06
1.03,1.0880185641326534e-13,-6.334389738838503e-16,1.0893368510567214e-06
1.04,1.0980105713542798e-13,-6.400539760662693e-16,1.0855610792503967e-06
1.05,1.103006574965093e-13,-6.469801239233742e-16,1.0816056990048395e-06
1.06,1.1146639167236572e-13,-6.514593102022218e-16,1.077442220887015e-06
1.07,1.1213252548714081e-13,-6.548777320351476e-16,1.0730482604692781e-06
1.08,1.1329825966299722e-13,-6.636251393273387e-16,1.0684084780221426e-06
1.09,1.142419492339286e-13,-6.671359686754599e-16,1.0635152465354736e-06
