# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,2.115180510270376e-06,4.001328609359889e-17,-1.1682516398714426e-08
0.2,8.162309304088344e-06,7.722249845122233e-17,-3.998192599219408e-08
0.3,1.5783627301230174e-05,6.002918111323386e-17,-8.283604446823745e-08
0.4,2.3106212429180317e-05,8.6663737568527e-17,-1.4644844315014893e-07
0.5,2.9772994482146764e-05,1.2127574689769587e-16,-2.2451928272104738e-07
0.6,3.5200745735347594e-05,9.840537210878534e-17,-3.114583693175632e-07
0.7,3.968050675301482e-05,1.213503741344636e-16,-4.1255538441031803e-07
0.8,4.314139505370851e-05,1.9153577594386017e-16,-5.233004457538826e-07
0.9,4.5079329753366926e-05,2.0806498312176593e-16,-6.362173442520103e-07
1.0,4.5842191288142375e-05,2.1814657945935776e-16,-7.558040960864432e-07
1.1,4.566321195409451e-05,2.7364402145038537e-16,-8.805073302697863e-07
1.2,4.417541729492824e-05,2.741698869766952e-16,-1.0029268190381302e-06
1.3,4.173560102854745e-05,2.3575864580863524e-16,-1.1270526620865695e-06
1.4,3.880849017742771e-05,2.1657746704978537e-16,-1.2547244044869288e-06
1.5,3.515236713583225e-05,1.598043778687163e-16,-1.3801381396616463e-06
1.6,3.104841061390973e-05,5.28532106729854e-17,-1.5068330690981568e-06
1.7,2.7064342622229454e-05,-5.266157878950878e-17,-1.6394458804969148e-06
1.8,2.3030226080883454e-05,-1.9583325172289162e-16,-1.7743170812600795e-06
1.9,1.9072004059872416e-05,-3.9726740672504584e-16,-1.914186458451539e-06
2.0,1.5731358776110982e-05,-6.227545747206392e-16,-2.0649959295848674e-06
2.1,1.2856714954295745e-05,-8.704899011483295e-16,-2.2247470348180087e-06
2.2,1.038231655126065e-05,-1.1595925969023009e-15,-2.3947599527840424e-06
2.3,8.740792077716053e-06,-1.4669524459543638e-15,-2.5804477484792088e-06
2.4,7.775596329140377e-06,-1.7906893555302818e-15,-2.7803713592566837e-06
2.5,7.249394882696825e-06,-2.137808043325617e-15,-2.9939103580733928e-06
2.6,7.465584857202501e-06,-2.4783791347371973e-15,-3.2245105163752896e-06
2.7,8.274273667174814e-06,-2.808448088243972e-15,-3.470230347413228e-06
2.8,9.327246409424061e-06,-3.140501147393243e-15,-3.728471647868048e-06
2.9,1.082681140907038e-05,-3.445675616022515e-15,-4.000246024982168e-06
3.0,1.2660453416218909e-05,-3.738617678312446e-15,-4.282650774567465e-06
