# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,-1.1102230246251565e-16,2.262275960310948e-06,-1.1686149714584815e-08
0.2,3.0531133177191805e-16,8.765521699731209e-06,-3.999580944213932e-08
0.3,5.551115123125783e-16,1.690313432382984e-05,-8.284782715417549e-08
0.4,9.159339953157541e-16,2.44020824791155e-05,-1.464572921827667e-07
0.5,1.3600232051658168e-15,3.081275421815442e-05,-2.2452448400489544e-07
0.6,1.6375789613221059e-15,3.5546882494455104e-05,-3.114597518782958e-07
0.7,2.3037127760972e-15,3.874143445883652e-05,-4.125531147813888e-07
0.8,2.581268532253489e-15,4.029795615071053e-05,-5.232948000477577e-07
0.9,3.1363800445660672e-15,3.9828582959219335e-05,-6.362091665712555e-07
1.0,3.858025010572419e-15,3.767543967677363e-05,-7.557945629343976e-07
1.1,4.3021142204224816e-15,3.41360101755174e-05,-8.804974206411131e-07
1.2,5.051514762044462e-15,2.9058460017313164e-05,-1.002917768722078e-06
1.3,5.745404152435185e-15,2.2916513542577544e-05,-1.1270459330248173e-06
1.4,6.38378239159465e-15,1.6299998902526735e-05,-1.254720919718899e-06
1.5,6.772360450213455e-15,9.204265137646342e-06,-1.3801385893019713e-06
1.6,7.577272143066693e-15,2.0611654198272957e-06,-1.506838267828492e-06
1.7,8.465450562766819e-15,-4.4470374891833774e-06,-1.639455979196569e-06
1.8,9.270362255620057e-15,-1.0325286710957663e-05,-1.774331544801555e-06
1.9,1.021405182655144e-14,-1.5371267243293415e-05,-1.9142047925635453e-06
2.0,1.1296519275560968e-14,-1.9011077002372084e-05,-2.0650171512759385e-06
2.1,1.2156942119645464e-14,-2.1363517988264906e-05,-2.2247692151866616e-06
2.2,1.3572476476042539e-14,-2.256381816950969e-05,-2.394781102310617e-06
2.3,1.459943277382081e-14,-2.226030520466912e-05,-2.5804657955985633e-06
2.4,1.5487611193520934e-14,-2.0697603439448582e-05,-2.7803832939321538e-06
2.5,1.684763439868675e-14,-1.832457836967038e-05,-2.9939130015144144e-06
2.6,1.837419105754634e-14,-1.5003185537393987e-05,-3.2245011249987243e-06
2.7,2.0095036745715333e-14,-1.1007262262374024e-05,-3.4702055786706154e-06
2.8,2.19824158875781e-14,-6.958623539048251e-06,-3.728427949156732e-06
2.9,2.353672812205332e-14,-2.832799750897623e-06,-4.0001808453427046e-06
3.0,2.5396351688300456e-14,1.2174986273801325e-06,-4.28256162476881e-06
3.1,2.7505775435088253e-14,4.583841453519826e-06,-4.571594741764606e-06
3.2,2.9282132274488504e-14,7.293463294269372e-06,-4.866494063393567e-06
3.3,3.0808688933348094e-14,9.435048250778678e-06,-5.163735233071343e-06
