# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,-2.220446049250313e-16,1.6516135020863424e-17,2.1459313787053347e-06
0.2,-4.163336342344337e-16,-9.63247544274549e-18,8.303508581830599e-06
0.3,-3.885780586188048e-16,-8.809057627318375e-17,1.6032833125234625e-05
0.4,-1.3322676295501878e-15,-1.1862214829964577e-16,2.329925713018266e-05
0.5,-1.915134717478395e-15,-1.4524059861419844e-16,2.972009282931065e-05
0.6,-2.4980018054066022e-15,-2.350107693174047e-16,3.471438342728117e-05
0.7,-2.9976021664879227e-15,-2.992853435288401e-16,3.848687110319382e-05
0.8,-3.9968028886505635e-15,-3.2069691174590186e-16,4.096276941611965e-05
0.9,-4.912736883966318e-15,-3.784875630290918e-16,4.168546108607174e-05
1.0,-6.050715484207103e-15,-4.300136300961592e-16,4.096872308156918e-05
1.1,-7.188694084447889e-15,-4.323969593566384e-16,3.907738290021001e-05
1.2,-8.715250743307479e-15,-4.438436150349977e-16,3.5735863055719186e-05
1.3,-1.0158540675320182e-14,-4.576172507473986e-16,3.131659352040295e-05
1.4,-1.226796442210798e-14,-4.1550507331355306e-16,2.6348699348921478e-05
1.5,-1.4460654895742664e-14,-3.7248387346797e-16,2.0708130087698784e-05
1.6,-1.712519015484304e-14,-3.3681393448824397e-16,1.4716286574234516e-05
1.7,-1.9623191960249642e-14,-2.5408483113053106e-16,9.017780688291843e-06
1.8,-2.2426505097428162e-14,-1.5831071450199514e-16,3.5582695898650485e-06
1.9,-2.5979218776228663e-14,-9.049364706858711e-17,-1.5115166313028894e-06
2.0,-2.9254376698872875e-14,-1.5200110644358065e-17,-5.592685133115616e-06
2.1,-3.2862601528904634e-14,7.385042130330326e-17,-8.751182095978471e-06
2.2,-3.6914915568786455e-14,1.5350388430281649e-16,-1.1082861064437566e-05
2.3,-4.141131881851834e-14,2.2953953800445354e-16,-1.2149874179301356e-05
2.4,-4.5352610555937645e-14,3.016453568969136e-16,-1.2067242925462018e-05
2.5,-5.034861416675085e-14,3.622820708230561e-16,-1.1177835026354721e-05
2.6,-5.4789506265251475e-14,4.0076156155836074e-16,-9.243842958195359e-06
2.7,-5.970224314921779e-14,3.987602241038167e-16,-6.408189973217127e-06
2.8,-6.453171330633722e-14,3.5950128199180495e-16,-3.187909837554237e-06
2.9,-6.963873921961294e-14,3.0071797432190173e-16,4.868757967901871e-07
3.0,-7.466249840604178e-14,2.0502959036733168e-16,4.509844699573939e-06
3.1,-7.954747971439247e-14,5.5202850814306076e-17,8.305801868835339e-06
3.2,-8.451572774959004e-14,-1.1037217029456762e-16,1.184876363347076e-05
3.3,-8.89843754237063e-14,-3.2039741442716147e-16,1.5144151027435271e-05
3.4,-9.342526752220692e-14,-5.722429847934635e-16,1.7677014007011493e-05
3.5,-9.775513731824503e-14,-8.032862606992664e-16,1.9398873297382657e-05
3.6,-1.021405182655144e-13,-1.0399579695927876e-15,2.0479652614202593e-05
3.7,-1.0594303212485556e-13,-1.3252176348520968e-15,2.055140383938614e-05
3.8,-1.0977330155981235e-13,-1.5755790636694926e-15,1.9587820225375197e-05
3.9,-1.136590821460004e-13,-1.785197323108416e-15,1.7932420101285373e-05
4.0,-1.1715628467356964e-13,-2.0436545439243155e-15,1.540156533919035e-05
4.1,-1.2015388684005757e-13,-2.287239972158881e-15,1.1993638157292708e-05
4.2,-1.2329026688462363e-13,-2.443148772993491e-15,8.185584921549527e-06
4.3,-1.266209359584991e-13,-2.6144988628555e-15,3.9652886002494725e-06
4.4,-1.2898015988582756e-13,-2.780322473849974e-15,-6.804593492004685e-07
4.5,-1.3167245072054357e-13,-2.851003495093536e-15,-5.222151179373746e-06
4.6,-1.3378187446733136e-13,-2.9075044864450938e-15,-9.55053075857304e-06
4.7,-1.3572476476042539e-13,-2.979521986216727e-15,-1.3748735924634659e-05
4.8,-1.3758438832667252e-13,-2.9776571622763765e-15,-1.7336716144567e-05
4.9,-1.3913870056114774e-13,-2.9213169954731987e-15,-2.014985219300769e-05
5.0,-1.4033219031261979e-13,-2.8869982028193574e-15,-2.2396103295463377e-05
5.1,-1.414979244884762e-13,-2.807107531457596e-15,-2.374117529135855e-05
5.2,-1.4263590308871699e-13,-2.6466169741461584e-15,-2.402169898785278e-05
5.3,-1.4319101460102956e-13,-2.5124572062484405e-15,-2.3594007217409008e-05
