# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,1.925223293513781e-06,-2.294046909489753e-16,1.1457468862552389e-08
0.2,6.924401624608054e-06,-3.4178315716021673e-16,2.3769027079900695e-08
0.3,1.2662955493489748e-05,-2.568543584486153e-16,3.9562903952905515e-08
0.4,1.7817306442878725e-05,-7.831480458387371e-17,6.018643905481014e-08
0.5,2.2354229569413687e-05,2.667894121661401e-16,8.404631668401663e-08
0.6,2.610128368376724e-05,9.161343051218681e-16,1.1035490177224716e-07
0.7,2.938582161253395e-05,1.821685007581526e-15,1.401346289009453e-07
0.8,3.228834776585287e-05,2.757281141601753e-15,1.7272582131244718e-07
0.9,3.462575998012247e-05,3.683801563538483e-15,2.0709323311773886e-07
1.0,3.6570514220467345e-05,4.3390419212086414e-15,2.4392438657816484e-07
1.1,3.826877626791638e-05,4.783335380727792e-15,2.832517230766385e-07
1.2,3.9564858580966024e-05,5.27314690231497e-15,3.2408553185536704e-07
1.3,4.0507569347937675e-05,5.904659167077943e-15,3.66694091646913e-07
1.4,4.126621798185366e-05,6.353709772823477e-15,4.1155532504166814e-07
1.5,4.1746845827531614e-05,6.71119582897121e-15,4.579233735535482e-07
1.6,4.1911431286817714e-05,7.131748042256897e-15,5.056478401543885e-07
1.7,4.1917038117126465e-05,7.790224603422673e-15,5.553639675914823e-07
1.8,4.174448368791678e-05,8.585848530498843e-15,6.066678562843819e-07
1.9,4.130901840121167e-05,9.674464229228895e-15,6.59079008147323e-07
2.0,4.0726116088183563e-05,1.0972183770847002e-14,7.13132501162228e-07
2.1,4.004245265497143e-05,1.22927731643516e-14,7.68770212267178e-07
2.2,3.916440513699338e-05,1.3491026900322577e-14,8.253442077554851e-07
2.3,3.814968633710966e-05,1.467623955392005e-14,8.831218291094345e-07
2.4,3.708701264686736e-05,1.6038459147766705e-14,9.423141603681628e-07
2.5,3.59043430964449e-05,1.773586796067923e-14,1.0022935547082668e-06
2.6,3.4601881235502095e-05,1.9749426869397097e-14,1.0630047332371717e-06
2.7,3.3280481526917454e-05,2.1988098447587578e-14,1.1247959544880004e-06
2.8,3.190809836032197e-05,2.434629519674881e-14,1.1872146102875902e-06
2.9,3.0441988913564212e-05,2.7039874478289738e-14,1.2499312768143866e-06
3.0,2.8967513060276978e-05,3.0308556970164145e-14,1.3132815160910027e-06
3.1,2.749672512967782e-05,3.38960832525309e-14,1.37706745839683e-06
3.2,2.596692511332951e-05,3.762253425493193e-14,1.440805471486506e-06
3.3,2.442907018514929e-05,4.142098209410288e-14,1.5046929903173023e-06
3.4,2.2930295404342412e-05,4.543927092163662e-14,1.5687781790285626e-06
3.5,2.1412008869688212e-05,4.963571960263119e-14,1.6325703308117667e-06
3.6,1.9884029671959593e-05,5.406757395839372e-14,1.696061662337378e-06
3.7,1.8410765186740886e-05,5.876828429265088e-14,1.7594646323226826e-06
3.8,1.6956256405078205e-05,6.350607826989651e-14,1.8224105359232468e-06
3.9,1.549457424576063e-05,6.81560188696207e-14,1.8846920369908204e-06
4.0,1.408692470515683e-05,7.294622765160899e-14,1.94656647500846e-06
4.1,1.2728739035820545e-05,7.804698634662733e-14,2.007863317277092e-06
4.2,1.1372678008934773e-05,8.313099510569948e-14,2.0682451703502025e-06
4.3,1.0059708074040491e-05,8.816369182865867e-14,2.1278993630469145e-06
4.4,8.814630317801467e-06,9.299428791966607e-14,2.1868608822694924e-06
4.5,7.586822197130117e-06,9.750987670383644e-14,2.2447676429893093e-06
4.6,6.38782696656577e-06,1.0168966396129942e-13,2.3016622111571294e-06
4.7,5.2611104691573974e-06,1.0555899900433075e-13,2.3577296003329806e-06
4.8,4.169126485936032e-06,1.089464023484325e-13,2.412687535202629e-06
4.9,3.0943634941262997e-06,1.1183798626452357e-13,2.4664182317613026e-06
5.0,2.083824748404642e-06,1.1474405013696482e-13,2.519162700775901e-06
5.1,1.1232364488825708e-06,1.1734976776458138e-13,2.5707888858805816e-06
5.2,1.7474620960801932e-07,1.196031787267715e-13,2.621060482987936e-06
5.3,-7.25653807181345e-07,1.2160255988395424e-13,2.6701756229430273e-06
5.4,-1.567073766064336e-06,1.2340766499996088e-13,2.718169296200834e-06
5.5,-2.3941088643555976e-06,1.2509182128916555e-13,2.7647660424401366e-06
5.6,-3.1914984993031417e-06,1.264224813674749e-13,2.8100492536209387e-06
5.7,-3.929125546740063e-06,1.2755643624765317e-13,2.8541835545015104e-06
5.8,-4.6443385920067135e-06,1.2856696258442118e-13,2.896941087127125e-06
5.9,-5.345134753755426e-06,1.2952698486751116e-13,2.938265893814851e-06
6.0,-5.993248600612786e-06,1.3043438540798398e-13,2.978377386164688e-06
6.1,-6.6085319646929295e-06,1.3141993474598568e-13,3.017159576956807e-06
6.2,-7.217548828123697e-06,1.3210200559456282e-13,3.0544432864099136e-06
6.3,-7.786253065082408e-06,1.3263447361061836e-13,3.0904176712143183e-06
6.4,-8.313074921271044e-06,1.334515924024085e-13,3.12510090549889e-06
6.5,-8.833397514528593e-06,1.3424072873548035e-13,3.158273174430626e-06
6.6,-9.327123366289071e-06,1.3536049157455348e-13,3.1900272136065055e-06
6.7,-9.774190337748951e-06,1.368748198914978e-13,3.2204913203992547e-06
6.8,-1.0207395746680657e-05,1.3838496441034636e-13,3.249469550437034e-06
6.9,-1.0625075862068395e-05,1.399214957367562e-13,3.276931803575245e-06
7.0,-1.0996813848736607e-05,1.416437705120763e-13,3.303056618553235e-06
7.1,-1.1343424090464665e-05,1.4360087363431846e-13,3.327732493896285e-06
7.2,-1.168001244622197e-05,1.4553025278308303e-13,3.3508241960023e-06
7.3,-1.197613976648708e-05,1.4737182988863535e-13,3.3724893205855366e-06
7.4,-1.2235872202373524e-05,1.4935286666658115e-13,3.392726900419696e-06
7.5,-1.2484535718932195e-05,1.5133394533185254e-13,3.411349212112391e-06
7.6,-1.2700812016968015e-05,1.5302779864269663e-13,3.4284348947588583e-06
7.7,-1.2872840968342572e-05,1.5471890754664605e-13,3.444079179737436e-06
7.8,-1.3027231343725615e-05,1.5643479317829482e-13,3.458108634224466e-06
7.9,-1.315711885097045e-05,1.5809495272148552e-13,3.4704971759724756e-06
8.0,-1.3240311126317572e-05,1.5952362793351797e-13,3.4813893635687876e-06
8.1,-1.3296377826767915e-05,1.610641521822844e-13,3.490683040952014e-06
8.2,-1.333321718939838e-05,1.6239211884376826e-13,3.498260798040498e-06
8.3,-1.3326482380255031e-05,1.6362122285366449e-13,3.5042557940956343e-06
8.4,-1.3283519857485298e-05,1.6497800012378338e-13,3.508665320173243e-06
8.5,-1.3222718558853728e-05,1.6627467007964318e-13,3.51132633913398e-06
8.6,-1.3125566153168157e-05,1.6748126925983208e-13,3.512308448194723e-06
8.7,-1.2986451097224696e-05,1.6903878067977757e-13,3.511699878777641e-06
8.8,-1.2827213233177051e-05,1.7057847821291035e-13,3.5093523181872754e-06
8.9,-1.2640518517625542e-05,1.7251909581954464e-13,3.505246511381621e-06
9.0,-1.2411314641834133e-05,1.7455205274214086e-13,3.4995217116362554e-06
9.1,-1.2157582149354783e-05,1.7644584917655154e-13,3.4920975667818155e-06
9.2,-1.1884451861531279e-05,1.7837949675701933e-13,3.4828755491878027e-06
9.3,-1.1573685436500001e-05,1.801231994853256e-13,3.4719906484292906e-06
9.4,-1.1234170982374043e-05,1.8193116350110248e-13,3.4594582368763227e-06
9.5,-1.0880713512616221e-05,1.840073485888399e-13,3.4451403468915842e-06
9.6,-1.0498632223953052e-05,1.8628233087787947e-13,3.4291177489764735e-06
9.7,-1.0086044570392048e-05,1.8888262176768164e-13,3.4114951911190516e-06
9.8,-9.661823544481084e-06,1.919666132677738e-13,3.392150230596691e-06
9.9,-9.219860761980523e-06,1.9541862031784982e-13,3.3710827170851942e-06
10.0,-8.749596716824343e-06,1.9889710190967588e-13,3.348449965634437e-06
10.1,-8.267594685931555e-06,2.0253298143523605e-13,3.3241951681306503e-06
10.2,-7.778115172607415e-06,2.0624610583144533e-13,3.298242844063104e-06
10.3,-7.266776652108938e-06,2.100325923524532e-13,3.270749826644881e-06
10.4,-6.742804812123522e-06,2.139590866404755e-13,3.241752523863717e-06
10.5,-6.219061811627202e-06,2.1783449557540281e-13,3.2111352822328243e-06
10.6,-5.683137990395696e-06,2.21725992275097e-13,3.179004583242495e-06
10.7,-5.1347651024766155e-06,2.2550789681653313e-13,3.1454858481216874e-06
10.8,-4.590901667458711e-06,2.2936571427953965e-13,3.110474857126455e-06
10.9,-4.045850131242288e-06,2.3300188267481395e-13,3.073998771196962e-06
11.0,-3.4910463107988924e-06,2.3682821066472103e-13,3.0362381716608766e-06
11.1,-2.9419533107398555e-06,2.4044287711947955e-13,2.997149706529534e-06
11.2,-2.401759594024012e-06,2.436665416179732e-13,2.956683046062558e-06
11.3,-1.8575206139512253e-06,2.4672655894671096e-13,2.9150228429974945e-06
11.4,-1.318420264266218e-06,2.4934966761581356e-13,2.872216477656231e-06
