# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,6.803175737983791e-16,1.90779951210486e-06,1.1456479986904355e-08
0.2,2.2273154481590914e-15,6.7456320910786715e-06,2.3765485135385234e-08
0.3,2.732356756255009e-15,1.208564107070046e-05,3.956054661635733e-08
0.4,2.6953652610429833e-15,1.658657881523882e-05,6.018509446370501e-08
0.5,2.9709020288563937e-15,2.0279968878588416e-05,8.404589424415576e-08
0.6,1.825024880203769e-15,2.313649633731592e-05,1.1035518276969469e-07
0.7,1.2047347595569348e-15,2.5460021631976504e-05,1.4013551186131679e-07
0.8,3.141021905695155e-16,2.7338098337134305e-05,1.727274090423947e-07
0.9,-1.0101153678465706e-15,2.869975885684115e-05,2.0709542503105638e-07
1.0,-3.302973307391665e-15,2.9700130583494864e-05,2.439270894161183e-07
1.1,-5.37700357669404e-15,3.046074223966742e-05,2.8325513845572914e-07
1.2,-8.075678417419182e-15,3.090089233312983e-05,3.24089618697343e-07
1.3,-1.1329134123797575e-14,3.108284001813832e-05,3.6669858705096203e-07
1.4,-1.4407978486096124e-14,3.113153000619392e-05,4.115603406962265e-07
1.5,-1.832419865642785e-14,3.098384113874707e-05,4.5792894987073396e-07
1.6,-2.2017844115515566e-14,3.063767881522269e-05,5.056535927749906e-07
1.7,-2.6855936586243558e-14,3.0205073840324524e-05,5.553698663174345e-07
1.8,-3.402446948237043e-14,2.9657191220993684e-05,6.066741127241926e-07
1.9,-4.164123634796684e-14,2.8955541987837158e-05,6.590873249390228e-07
2.0,-4.960511775960241e-14,2.81881537862117e-05,7.131415420413845e-07
2.1,-5.903025080261964e-14,2.7362553921440258e-05,7.687797101141314e-07
2.2,-6.950474222418844e-14,2.6427863880635625e-05,8.253555057180506e-07
2.3,-8.06849108646849e-14,2.544128925033493e-05,8.831337585668564e-07
2.4,-9.351872129893005e-14,2.4437387947333875e-05,9.423252369522572e-07
2.5,-1.0780165442563726e-13,2.3370708165122393e-05,1.002305746400367e-06
2.6,-1.210882878134523e-13,2.2267118826495774e-05,1.0630180886650464e-06
2.7,-1.3655987626695888e-13,2.1173752739698947e-05,1.124807926800031e-06
2.8,-1.5147495002444372e-13,2.0061289778182627e-05,1.1872267136059378e-06
2.9,-1.6491833702161245e-13,1.8930005473028857e-05,1.2499452466396832e-06
3.0,-1.7884039697408022e-13,1.782524716955596e-05,1.3132945473337543e-06
3.1,-1.9287003604649744e-13,1.6737223065378874e-05,1.377079650310975e-06
3.2,-2.0717185323903377e-13,1.5650560053847554e-05,1.4408199162652124e-06
3.3,-2.2116126999923232e-13,1.4598266805512738e-05,1.5047077468466341e-06
3.4,-2.348899317293166e-13,1.358712497639777e-05,1.568791521133761e-06
3.5,-2.482013926461813e-13,1.2597114249334067e-05,1.6325857070675909e-06
3.6,-2.6105882990295115e-13,1.164409542082956e-05,1.6960789133158016e-06
3.7,-2.746321398516913e-13,1.0744248848833483e-05,1.759480584562212e-06
3.8,-2.8669565862260693e-13,9.881930496452805e-06,1.8224277205103334e-06
3.9,-3.0005520983834837e-13,9.056909935422639e-06,1.8847123779419661e-06
4.0,-3.1115265251192604e-13,8.286192990440035e-06,1.946586385193072e-06
4.1,-3.2345555661650723e-13,7.563500261557364e-06,2.0078833762315895e-06
4.2,-3.333817604778384e-13,6.878006822564752e-06,2.0682688905981905e-06
4.3,-3.4311745229711085e-13,6.2403355656341434e-06,2.1279240633997887e-06
4.4,-3.5378680355244813e-13,5.653892154218617e-06,2.1868848216755055e-06
