# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,9.092071916453542e-16,2.0757961444426298e-15,1.9287685270041877e-06
0.2,1.0795588735626275e-15,4.151946044899921e-15,6.870835047023682e-06
0.3,1.6894459005888616e-15,6.164209436159669e-15,1.2463565914111463e-05
0.4,2.526877535540216e-15,7.969154250286914e-15,1.7378865412198685e-05
0.5,2.3292898800567566e-15,1.0003923059970003e-14,2.159813318935999e-05
0.6,2.820455268349005e-15,1.2385454217535409e-14,2.4997602217191606e-05
0.7,2.040124833663118e-15,1.495317600793595e-14,2.7894444551646025e-05
0.8,7.687665214006453e-16,1.7433045645219566e-14,3.037158922369887e-05
0.9,8.717999366335468e-16,1.9859429173064596e-14,3.229139002935977e-05
1.0,-2.1068009075742465e-15,2.2324214356826007e-14,3.382468129908833e-05
1.1,-2.5940348885544558e-15,2.477292724533303e-14,3.510461064515358e-05
1.2,-4.544832685652087e-15,2.7138900940129585e-14,3.600746394860632e-05
1.3,-6.058295530619613e-15,2.926101332245484e-14,3.659025879210187e-05
1.4,-5.899362772513038e-15,3.100448440437358e-14,3.7000585087043625e-05
1.5,-6.964582290376138e-15,3.262754219266203e-14,3.716000480202819e-05
1.6,-7.895544971790243e-15,3.4274291048622665e-14,3.704702202045329e-05
1.7,-7.300247317536448e-15,3.610363663153543e-14,3.679762658104213e-05
1.8,-5.674761862700189e-15,3.80885849796523e-14,3.6392896025527754e-05
1.9,-3.9916927146143664e-15,4.0638749313285855e-14,3.57692550930766e-05
2.0,-2.1284407171867352e-15,4.3558158189109734e-14,3.5029025524546675e-05
2.1,5.17098278216208e-16,4.670055233638402e-14,3.4207317370360535e-05
2.2,3.892226915988768e-15,4.997555315793027e-14,3.3230941426487526e-05
2.3,7.648808367119695e-15,5.370719541304291e-14,3.21557695784902e-05
2.4,1.1560550415087065e-14,5.789251375422397e-14,3.105198556296873e-05
2.5,1.6459701980712796e-14,6.247661922834382e-14,2.98618950217433e-05
2.6,2.263657184494456e-14,6.739071758497279e-14,2.8594777265245064e-05
2.7,2.938627577154566e-14,7.279329698508012e-14,2.7331515681017216e-05
2.8,3.611244042743432e-14,7.84608215526655e-14,2.604469635658635e-05
2.9,4.328146651671376e-14,8.434824549191907e-14,2.4708289432129327e-05
3.0,5.082308793767744e-14,9.049711327829978e-14,2.3391425219343454e-05
3.1,5.822318596042094e-14,9.682838851720772e-14,2.2100076750963815e-05
3.2,6.666696652023189e-14,1.0299475769970048e-13,2.0790976103524095e-05
3.3,7.572809468885568e-14,1.0909504806558596e-13,1.950639057601844e-05
3.4,8.413495303006002e-14,1.1514770190794055e-13,1.8278353982936757e-05
3.5,9.384904918234399e-14,1.211690109045483e-13,1.7065224887979902e-05
3.6,1.0294360829212821e-13,1.2725102186481102e-13,1.5877367757100025e-05
3.7,1.1351909451335057e-13,1.3331434991194162e-13,1.4758828040251082e-05
3.8,1.225917563741505e-13,1.3933383198413725e-13,1.3683864421465408e-05
3.9,1.3240279553972341e-13,1.4536091425350998e-13,1.2635703640406781e-05
4.0,1.420078111764293e-13,1.5144206200772448e-13,1.165469863184665e-05
4.1,1.5099243841415397e-13,1.5742325996973384e-13,1.0737351961220831e-05
4.2,1.600683003222581e-13,1.6306373105780228e-13,9.851455501475037e-06
4.3,1.683373104098879e-13,1.6848082059414498e-13,9.021215872206945e-06
4.4,1.7546077915697384e-13,1.7347560428385532e-13,8.26318148805516e-06
4.5,1.8375555867322487e-13,1.781090949873515e-13,7.543925070074842e-06
4.6,1.8990135759031088e-13,1.826439606737265e-13,6.865670035938187e-06
4.7,1.9559974195199435e-13,1.8694249974389045e-13,6.256238796242819e-06
4.8,2.0073243477622954e-13,1.909100706133623e-13,5.69313017362294e-06
4.9,2.0468540466560741e-13,1.9438603097170767e-13,5.158376274239096e-06
5.0,2.079453631767556e-13,1.9764353687633079e-13,4.679415274044807e-06
5.1,2.1147852865422422e-13,2.0048533917339746e-13,4.251336577554277e-06
5.2,2.1413416066548122e-13,2.0278352630263179e-13,3.844000518893331e-06
5.3,2.145906658767557e-13,2.0472858838420965e-13,3.474048875351521e-06
