# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,2.1644154813565455e-06,-2.8273210700287305e-16,5.131566838123547e-09
0.2,8.000040528684908e-06,-8.903159264661254e-16,1.4710925921868068e-08
0.3,1.513798143713338e-05,-1.851256368347266e-15,2.860480530220144e-08
0.4,2.1915481904506408e-05,-3.2926248462278913e-15,4.8040918465552807e-08
0.5,2.771752304858411e-05,-5.038952204534829e-15,6.86824367379657e-08
0.6,3.2580346239879666e-05,-6.887425979250389e-15,9.142015355845245e-08
0.7,3.7112867447766917e-05,-9.113085116384314e-15,1.171862055171502e-07
0.8,4.11733447603729e-05,-1.1510307549983847e-14,1.4565944306266232e-07
0.9,4.477856946129407e-05,-1.3731052070893802e-14,1.7756939707513908e-07
1.0,4.7902258643445043e-05,-1.5735617273492994e-14,2.1242068604099273e-07
1.1,5.047613386938644e-05,-1.720353583578439e-14,2.4975603973853566e-07
1.2,5.230650357297489e-05,-1.8415420267723062e-14,2.8852789635269716e-07
1.3,5.3391611634464156e-05,-1.9589627260206002e-14,3.2742063404977984e-07
1.4,5.411160134142764e-05,-2.0901251922082044e-14,3.6764537603151126e-07
1.5,5.442822200167973e-05,-2.2037472945859953e-14,4.067317070921561e-07
1.6,5.435062709292478e-05,-2.264783526931964e-14,4.458231709358884e-07
1.7,5.426136413330169e-05,-2.256583670406716e-14,4.863153878487125e-07
1.8,5.395334575650797e-05,-2.1762681903968803e-14,5.265831367617935e-07
1.9,5.3253484899234873e-05,-1.980185983416303e-14,5.679011997328232e-07
2.0,5.2522040045011404e-05,-1.7209160496407306e-14,6.116737029104868e-07
2.1,5.15963313152893e-05,-1.4561397544320674e-14,6.571501350860487e-07
2.2,5.050871995111091e-05,-1.2165041039569052e-14,7.044986279902687e-07
2.3,4.954207419751243e-05,-1.0566620789039581e-14,7.5304765057016e-07
2.4,4.851109155566911e-05,-1.0012284011294966e-14,8.021105833977416e-07
2.5,4.7489765916842284e-05,-1.1197291701086492e-14,8.527767864086044e-07
2.6,4.634176728413752e-05,-1.3932968425293158e-14,9.022518859813644e-07
2.7,4.485706947301203e-05,-1.7987533124101165e-14,9.532430899072963e-07
2.8,4.312204305973139e-05,-2.3909590984259335e-14,1.0067920407363928e-06
2.9,4.081619722972292e-05,-3.1775707686933224e-14,1.061124260348656e-06
3.0,3.806124016612723e-05,-4.159969617808092e-14,1.118197172966795e-06
3.1,3.5118835616638944e-05,-5.4149048561297325e-14,1.1773894242894656e-06
3.2,3.175316610869763e-05,-6.950524286454764e-14,1.2376170898109606e-06
3.3,2.8402192524520398e-05,-8.767939345832992e-14,1.3013557910168672e-06
3.4,2.5295405654254458e-05,-1.0823880156848122e-13,1.369215593016726e-06
3.5,2.2155635939000618e-05,-1.3090914423921403e-13,1.4413893937303968e-06
3.6,1.930376233180535e-05,-1.556708909598999e-13,1.5214572505195534e-06
3.7,1.66457439764796e-05,-1.8255403028219108e-13,1.6079725032591696e-06
3.8,1.3923267112358513e-05,-2.1131011669368413e-13,1.698624627510803e-06
3.9,1.1271498798225631e-05,-2.419331063428228e-13,1.7914810023222927e-06
4.0,8.549967969654262e-06,-2.7440487911812757e-13,1.8846315136267222e-06
4.1,5.867010593797449e-06,-3.0829747259217747e-13,1.9755137053989458e-06
4.2,3.2883034176462865e-06,-3.4331305101764e-13,2.063307699695649e-06
4.3,8.629198043404065e-07,-3.784455474547179e-13,2.1494155478807286e-06
4.4,-1.158743066079016e-06,-4.134048146613218e-13,2.2349051033154765e-06
4.5,-2.979478044401251e-06,-4.4762832621572157e-13,2.320075998984983e-06
4.6,-4.48471376281133e-06,-4.806013734365414e-13,2.405177312536644e-06
4.7,-5.67239793863675e-06,-5.119156653615545e-13,2.4903188416969257e-06
4.8,-6.898562416148024e-06,-5.418386663430769e-13,2.5743180086523765e-06
4.9,-7.998124565645308e-06,-5.703976147985178e-13,2.6582089579507695e-06
5.0,-9.106601826797182e-06,-5.974367416577027e-13,2.739884972124962e-06
5.1,-1.0353978885789058e-05,-6.228785430441023e-13,2.8200105618436666e-06
5.2,-1.1568041277491823e-05,-6.468544965613329e-13,2.899224841201864e-06
5.3,-1.2842782352540753e-05,-6.692639784010618e-13,2.974956384682592e-06
5.4,-1.4104743256385975e-05,-6.896843604558165e-13,3.0468276480677403e-06
5.5,-1.5282540641354053e-05,-7.078285539867259e-13,3.1144377082847896e-06
5.6,-1.6443236066319275e-05,-7.239444738414236e-13,3.176655825165575e-06
5.7,-1.7475651448913332e-05,-7.37916222488991e-13,3.234108607252928e-06
5.8,-1.830688593408599e-05,-7.491405967566782e-13,3.287228659165642e-06
5.9,-1.900195099986168e-05,-7.577523586926534e-13,3.335738226195595e-06
6.0,-1.942719858839087e-05,-7.634378697343606e-13,3.382216046010633e-06
6.1,-1.953232792569722e-05,-7.662497233574936e-13,3.42647150397557e-06
6.2,-1.945680136257705e-05,-7.6650069741969e-13,3.468340554868554e-06
6.3,-1.912369120506414e-05,-7.63677406470619e-13,3.5093040963163347e-06
6.4,-1.8643987939975864e-05,-7.580836327486422e-13,3.5505271150926276e-06
6.5,-1.816462909540565e-05,-7.509260380867929e-13,3.58980148640331e-06
6.6,-1.7656535070586168e-05,-7.420924700906861e-13,3.6271514419761175e-06
6.7,-1.719902810410045e-05,-7.317973870114139e-13,3.661735557991541e-06
6.8,-1.6731858570585856e-05,-7.20593591519747e-13,3.6908038497651674e-06
6.9,-1.6208073271242417e-05,-7.092903803652698e-13,3.7144548253875698e-06
7.0,-1.554327308546987e-05,-6.978624948808035e-13,3.7310799160250596e-06
7.1,-1.4568126178617644e-05,-6.86199760188606e-13,3.7426700255638323e-06
7.2,-1.3480953244567252e-05,-6.74627592445511e-13,3.7498201376218177e-06
7.3,-1.2314315419027354e-05,-6.629740431951169e-13,3.753748567203452e-06
7.4,-1.1060619833304602e-05,-6.509260122493715e-13,3.755939529948016e-06
7.5,-1.0185952006140307e-05,-6.383541198765332e-13,3.755367117608266e-06
7.6,-9.613120208653542e-06,-6.250073501808981e-13,3.753405120376918e-06
7.7,-9.202802699261915e-06,-6.113591862981229e-13,3.7493050627501745e-06
7.8,-9.08431408307763e-06,-5.978420453033829e-13,3.7410410594906907e-06
7.9,-8.867141185128553e-06,-5.841393611835151e-13,3.7314345647798675e-06
8.0,-8.431752689515548e-06,-5.70306171504456e-13,3.719283399816753e-06
8.1,-7.820623265512602e-06,-5.564896162647418e-13,3.7042425057309813e-06
8.2,-7.118965776703302e-06,-5.422646269299166e-13,3.688859474881845e-06
8.3,-6.478810689132308e-06,-5.266496996139607e-13,3.6713954051359465e-06
8.4,-5.995860360292083e-06,-5.092704749404084e-13,3.6548924772228375e-06
8.5,-5.984280974485163e-06,-4.901943268754717e-13,3.638975099806707e-06
8.6,-6.147962433657639e-06,-4.695356606374596e-13,3.6239160600137765e-06
8.7,-6.3904902612081475e-06,-4.4714472737565025e-13,3.612462607160971e-06
8.8,-6.912598451668339e-06,-4.231704315023585e-13,3.6030995521629805e-06
8.9,-7.3903249605143575e-06,-3.983538932557904e-13,3.5956441225559743e-06
9.0,-7.981210956317089e-06,-3.731647748167158e-13,3.591209048914301e-06
9.1,-8.967192867486553e-06,-3.476587325054729e-13,3.5877189962230105e-06
9.2,-1.0247653497168867e-05,-3.2261556182902097e-13,3.585407732153989e-06
9.3,-1.1745020608431184e-05,-2.994353987043663e-13,3.58459221827534e-06
9.4,-1.3477674122339134e-05,-2.78531054517309e-13,3.582737569174377e-06
9.5,-1.5170518478553919e-05,-2.606807983326225e-13,3.5820798754970795e-06
9.6,-1.654139362726581e-05,-2.462778949718703e-13,3.580511182765811e-06
9.7,-1.7773826028492183e-05,-2.35489681816156e-13,3.577907919383172e-06
9.8,-1.876995454457924e-05,-2.2807277093066897e-13,3.5752232118158034e-06
9.9,-1.9548744217835913e-05,-2.2287926161131866e-13,3.5708420283997455e-06
10.0,-2.0343634932645866e-05,-2.1911637253795608e-13,3.566131531296257e-06
10.1,-2.107788445187166e-05,-2.163057536940551e-13,3.558928747149359e-06
10.2,-2.168154217289123e-05,-2.1443229509650114e-13,3.548303552647347e-06
10.3,-2.2036096047033e-05,-2.1378978899117463e-13,3.5360693791952613e-06
10.4,-2.2145850066644895e-05,-2.1400994922354487e-13,3.519217400493879e-06
10.5,-2.187520197513962e-05,-2.1532203134963204e-13,3.4999558163884004e-06
10.6,-2.1166375675026413e-05,-2.1814673516351382e-13,3.48161842389505e-06
10.7,-2.0253456336950375e-05,-2.214339582547945e-13,3.462584731273033e-06
10.8,-1.9041284642031377e-05,-2.247480774346752e-13,3.4466198802762804e-06
10.9,-1.7688154949268203e-05,-2.285491822550179e-13,3.4319122866888208e-06
11.0,-1.6374538157860163e-05,-2.325349024565999e-13,3.416795040789289e-06
11.1,-1.5025581054458102e-05,-2.370896691756693e-13,3.4012892583534793e-06
11.2,-1.3810492165380251e-05,-2.4231628333124993e-13,3.3827766424687766e-06
11.3,-1.2655753497506004e-05,-2.4826739186196886e-13,3.361303654636494e-06
11.4,-1.1496949203038108e-05,-2.5456307988229355e-13,3.338678346342938e-06
11.5,-1.0330399090975288e-05,-2.607742025233567e-13,3.31600448000291e-06
11.6,-8.964008392509822e-06,-2.663427153607285e-13,3.29311465108173e-06
11.7,-7.51706385782566e-06,-2.7053296821508946e-13,3.270310650616004e-06
11.8,-5.980702863021135e-06,-2.738339050633139e-13,3.2455120139163185e-06
11.9,-4.261793862430713e-06,-2.770434004989483e-13,3.2174033718357364e-06
12.0,-2.6278032771814527e-06,-2.8014358000851116e-13,3.1825121485917762e-06
12.1,-9.779624069050657e-07,-2.836554296587956e-13,3.140097800558017e-06
12.2,8.085392964827387e-07,-2.882120083738154e-13,3.090912538028512e-06
12.3,2.575792453845445e-06,-2.9384061702324607e-13,3.033721091116881e-06
12.4,4.5338843101965e-06,-2.9973998101992124e-13,2.970115125289219e-06
12.5,6.668511424882842e-06,-3.052684579046688e-13,2.900934919503051e-06
12.6,8.882812302445726e-06,-3.103245400946156e-13,2.8261364540815848e-06
12.7,1.1206094764351355e-05,-3.155033407491687e-13,2.7482427565894696e-06
12.8,1.3479756780605356e-05,-3.2104075882383866e-13,2.6671664165034414e-06
12.9,1.5729919822165536e-05,-3.27128351744451e-13,2.5833130586905284e-06
13.0,1.7778098588224246e-05,-3.344589742262112e-13,2.499516970400073e-06
13.1,1.9702224022407228e-05,-3.4318131745407315e-13,2.4138783506488792e-06
13.2,2.1612710264827973e-05,-3.5304662414520554e-13,2.326526774232285e-06
13.3,2.3219830033326328e-05,-3.630243016882481e-13,2.2358206436257078e-06
13.4,2.4818319260852366e-05,-3.733198572228703e-13,2.1418287495800215e-06
13.5,2.632227060103001e-05,-3.846008399188451e-13,2.04457829211524e-06
13.6,2.741428669805701e-05,-3.969667796204299e-13,1.942542522281876e-06
13.7,2.8321755143631344e-05,-4.102377054059707e-13,1.8384672798577029e-06
13.8,2.8883290731144455e-05,-4.2475367249892953e-13,1.7333505345495936e-06
13.9,2.8962744842597076e-05,-4.409985916789101e-13,1.6269880135366677e-06
14.0,2.884642096176923e-05,-4.581159221844307e-13,1.5206320941318907e-06
14.1,2.8593518459725173e-05,-4.744256787690501e-13,1.4152392479038767e-06
14.2,2.8160112874161476e-05,-4.891184162108615e-13,1.3099211711997683e-06
14.3,2.7803984724593918e-05,-5.018653458605623e-13,1.2062607360752153e-06
14.4,2.7452791384872382e-05,-5.122858346509379e-13,1.1031063947841702e-06
14.5,2.688858411054348e-05,-5.202793945840403e-13,9.992672852510154e-07
14.6,2.6157832145130466e-05,-5.258682180029903e-13,8.952506395099036e-07
14.7,2.5163113560563516e-05,-5.294030621076466e-13,7.898786446025596e-07
14.8,2.3937757387025063e-05,-5.308594444921206e-13,6.814694925028064e-07
14.9,2.252229634423509e-05,-5.290956281934766e-13,5.713515608407604e-07
15.0,2.1152886604535035e-05,-5.236467222045364e-13,4.6126243680166823e-07
15.1,1.9948538228300175e-05,-5.149956280977752e-13,3.511239131670507e-07
15.2,1.8679447008727914e-05,-5.033321906498165e-13,2.427515782832401e-07
15.3,1.7575663368665934e-05,-4.885087123234655e-13,1.3686796906942078e-07
15.4,1.637019868836749e-05,-4.708769935267425e-13,3.449622265616625e-08
15.5,1.479206799468992e-05,-4.510584861424467e-13,-6.492640414190731e-08
15.6,1.3226455895968788e-05,-4.2936201484128924e-13,-1.6083975939995554e-07
15.7,1.1453806668358413e-05,-4.047556868146732e-13,-2.523990351166461e-07
15.8,9.658041738586526e-06,-3.767547895337225e-13,-3.3846757963029717e-07
15.9,8.270443416548054e-06,-3.459319181149817e-13,-4.185757419561398e-07
16.0,7.042278772534101e-06,-3.132736033735934e-13,-4.922128707951501e-07
16.1,6.147293847390289e-06,-2.7919627305634854e-13,-5.587270760498697e-07
16.2,5.460392730911314e-06,-2.440744572858846e-13,-6.182373061269786e-07
16.3,4.672810395013084e-06,-2.0982849053389004e-13,-6.701935771902257e-07
16.4,3.947166144792607e-06,-1.770793734035049e-13,-7.155803604108613e-07
16.5,3.009684950722088e-06,-1.4569702810849797e-13,-7.528978097637307e-07
16.6,2.065681497063197e-06,-1.154978924148848e-13,-7.827944953353594e-07
16.7,1.3711848655630272e-06,-8.709142801347168e-14,-8.050017080707406e-07
16.8,7.238514233575441e-07,-6.096673927917465e-14,-8.195459902937685e-07
16.9,4.005447407469322e-07,-3.736324690864401e-14,-8.276585968802763e-07
17.0,2.038484255923118e-07,-1.638917032680862e-14,-8.274031483290756e-07
17.1,-1.1284677380914024e-07,1.414963767541125e-15,-8.196991790887509e-07
