# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,2.251628051370774e-16,2.159671741466203e-06,5.130495250860179e-09
0.2,-2.9989675447311013e-16,8.045336027008663e-06,1.4706573625566932e-08
0.3,-4.723202841314749e-16,1.5203714979435859e-05,2.8600213197726987e-08
0.4,-1.4253241686072007e-16,2.184900414646831e-05,4.8036186695021854e-08
0.5,2.111196039087404e-15,2.7319698484153177e-05,6.867771029650527e-08
0.6,5.252826155181775e-15,3.162441136866977e-05,9.141605195051028e-08
0.7,8.508870154472592e-15,3.5476253199597496e-05,1.1718328274401557e-07
0.8,1.2635121454809158e-14,3.859143413191893e-05,1.4565851114145545e-07
0.9,1.522235864574604e-14,4.121290986624733e-05,1.7757135706286675e-07
1.0,1.4903207718699063e-14,4.3442721741683035e-05,2.1242528014386863e-07
1.1,1.410097255594369e-14,4.4880581708389564e-05,2.497633012632505e-07
1.2,7.850405284796895e-15,4.5653381125156233e-05,2.8853731059985677e-07
1.3,4.162379503540126e-15,4.562541581678997e-05,3.274311045631251e-07
1.4,-1.2879292015460859e-16,4.4968775995829924e-05,3.6765692990048393e-07
1.5,-4.962583506744083e-15,4.412229464326194e-05,4.0674481127656037e-07
1.6,-6.892424908785536e-15,4.3006552567127553e-05,4.4583866321001864e-07
1.7,-9.507332762750874e-15,4.201809722983669e-05,4.863349200023848e-07
1.8,-1.3387869816785299e-14,4.125593117553213e-05,5.266089969646615e-07
1.9,-1.5849723213157824e-14,4.019358050692388e-05,5.679349152076796e-07
2.0,-1.7651578631712176e-14,3.904958487542218e-05,6.117159109253478e-07
2.1,-1.7238562202733193e-14,3.7778723039356336e-05,6.572015983641322e-07
2.2,-1.4017211535774363e-14,3.605272412770783e-05,7.045594202503835e-07
2.3,-1.0310842025772574e-14,3.44733936248166e-05,7.531162483642717e-07
2.4,-3.0033297580806003e-15,3.324293832203173e-05,8.021859271289955e-07
2.5,5.291556754054462e-15,3.218776284397508e-05,8.528580403011077e-07
2.6,1.1401840988033823e-14,3.172077994056339e-05,9.023367978366892e-07
2.7,1.6780124645661682e-14,3.156568330645538e-05,9.533312582687969e-07
2.8,2.0594984732800817e-14,3.1176532422080654e-05,1.0068828438791755e-06
2.9,2.2583301352635765e-14,3.061191923018452e-05,1.061215601727561e-06
3.0,2.6065894701285938e-14,2.9492910276281725e-05,1.1182894615879846e-06
3.1,2.99047453417425e-14,2.768675411805472e-05,1.1774830127597724e-06
3.2,3.4658853408858074e-14,2.5547427841479843e-05,1.2377123509432764e-06
3.3,4.058343013334654e-14,2.30090706002181e-05,1.3014538030597933e-06
3.4,4.298838825840858e-14,2.0375259183344848e-05,1.369316223631678e-06
3.5,4.5313507760073684e-14,1.776658835374873e-05,1.4414937775653058e-06
3.6,4.692163458338469e-14,1.4924325328821602e-05,1.5215660597034386e-06
3.7,4.7099926383030665e-14,1.2158026890862595e-05,1.6080848449506746e-06
3.8,4.8808463719996076e-14,9.209758770054867e-06,1.6987409080515548e-06
3.9,5.247495567357983e-14,6.048870298581876e-06,1.7916015012664488e-06
4.0,5.5832060117927746e-14,3.2726513660761372e-06,1.8847566937152394e-06
4.1,6.451507268151634e-14,5.56315701069721e-07,1.9756456829389535e-06
4.2,7.383009540607592e-14,-1.7741994050999249e-06,2.063448169331572e-06
4.3,8.298782988706867e-14,-3.364782136613728e-06,2.1495655603276376e-06
4.4,1.0001051829244875e-13,-4.953901111989315e-06,2.2350668386073025e-06
4.5,1.194446192048841e-13,-6.279212438548023e-06,2.3202516347131663e-06
4.6,1.4269953712816507e-13,-7.472433346901265e-06,2.405367186431029e-06
4.7,1.708176909239697e-13,-9.145563086909278e-06,2.490522249209981e-06
4.8,1.963191107428202e-13,-1.0699885065825429e-05,2.5745350241690446e-06
4.9,2.204327158804566e-13,-1.2200056924959323e-05,2.6584385280914447e-06
5.0,2.407048058429695e-13,-1.3651891627694771e-05,2.7401246064373552e-06
5.1,2.602422782174525e-13,-1.4415747042080614e-05,2.8202593148618504e-06
5.2,2.7908569915286943e-13,-1.4809132595704697e-05,2.8994809452287384e-06
5.3,2.993152868771439e-13,-1.4836427690586067e-05,2.9752176037289857e-06
5.4,3.252236820599015e-13,-1.443835425619437e-05,3.047094479513568e-06
5.5,3.4716108972833645e-13,-1.4151878830277662e-05,3.1147100442163733e-06
5.6,3.6868337019214813e-13,-1.38599992478989e-05,3.176932154347334e-06
5.7,3.881655272308637e-13,-1.3629278713683288e-05,3.234389195250209e-06
5.8,4.0058367530867367e-13,-1.3600817673747987e-05,3.2875131389387136e-06
5.9,4.125059025528727e-13,-1.3344996206087786e-05,3.336024437916585e-06
6.0,4.2341446914703505e-13,-1.2991317370885731e-05,3.3825027775380434e-06
6.1,4.3294917138534433e-13,-1.2552642664592117e-05,3.4267568335133447e-06
6.2,4.402000182680234e-13,-1.1745087645742701e-05,3.4686226834113043e-06
6.3,4.459268535903614e-13,-1.0951587697530683e-05,3.5095827809472624e-06
6.4,4.4603041914214006e-13,-1.0149651619894882e-05,3.5508021948293944e-06
6.5,4.4046234276913854e-13,-9.068401355552253e-06,3.5900745661843203e-06
6.6,4.3129382347536725e-13,-8.0077506072836e-06,3.6274238840450224e-06
6.7,4.2027902653311943e-13,-6.71106544218009e-06,3.6620084090666083e-06
6.8,4.066317619592291e-13,-4.8860643573729426e-06,3.691079958678678e-06
6.9,3.961071378728371e-13,-2.9171951194023673e-06,3.714735736459751e-06
7.0,3.834723795838439e-13,-6.661593738695154e-07,3.7313671575889273e-06
7.1,3.675783309440077e-13,1.8526451958595675e-06,3.742965445252544e-06
7.2,3.489389813342397e-13,4.075506963059614e-06,3.7501239847914647e-06
7.3,3.2646752911291417e-13,6.10929485726701e-06,3.7540608933683828e-06
7.4,3.019293975011138e-13,7.880973002715666e-06,3.7562601612473046e-06
7.5,2.719883655382964e-13,9.13482226140055e-06,3.7556951971717822e-06
7.6,2.458699179282122e-13,1.0220670853508863e-05,3.7537383060781693e-06
7.7,2.1792149204926738e-13,1.1057725761342885e-05,3.7496407404580268e-06
7.8,1.8680536340847558e-13,1.1690687741671394e-05,3.7413781345252417e-06
7.9,1.6241185676414856e-13,1.2326805072877572e-05,3.731771455073307e-06
8.0,1.336897013461653e-13,1.2609087277762685e-05,3.7196181307264098e-06
8.1,1.0658546343857369e-13,1.2739549601613336e-05,3.704574967788865e-06
8.2,8.287448140446264e-14,1.2583118483008054e-05,3.6891889289014657e-06
8.3,5.4577785838724255e-14,1.1768396543503054e-05,3.6717206614023112e-06
8.4,2.8030119879135616e-14,1.0805173889222614e-05,3.6552135781464656e-06
8.5,7.22523975762882e-16,9.330683082498243e-06,3.6392895995662755e-06
8.6,-2.7407079817982907e-14,7.232270143393222e-06,3.6242217197335336e-06
8.7,-5.028228822660236e-14,5.1449357612561894e-06,3.6127591388490643e-06
8.8,-7.31953440588123e-14,2.5292659969883515e-06,3.6033859026618487e-06
8.9,-9.160562655175279e-14,-4.335026015539527e-07,3.595920331389557e-06
9.0,-1.0837819585276062e-13,-3.2140749021173616e-06,3.591475422060064e-06
9.1,-1.2453870918330953e-13,-6.255712452084405e-06,3.5879765191149104e-06
9.2,-1.3614068660952054e-13,-9.0702134727645e-06,3.585658154947602e-06
9.3,-1.4721940933067113e-13,-1.1339480300827889e-05,3.584836315684292e-06
9.4,-1.5839068672910492e-13,-1.3307027276235554e-05,3.5829764709616185e-06
9.5,-1.6595288910255315e-13,-1.4546177247880052e-05,3.5823142224833404e-06
9.6,-1.7028598290064374e-13,-1.5180515587776768e-05,3.5807420314393212e-06
9.7,-1.7604096183352373e-13,-1.5393794240559114e-05,3.5781372308418824e-06
9.8,-1.8029574385183542e-13,-1.5090154526351807e-05,3.575452274140467e-06
9.9,-1.8392300475235336e-13,-1.466831206917144e-05,3.5710721292270264e-06
10.0,-1.907774637800556e-13,-1.4049549493171576e-05,3.5663642560246345e-06
10.1,-1.9540019024239006e-13,-1.322281492787413e-05,3.5591647963295614e-06
10.2,-1.9779082186765057e-13,-1.2497567751504829e-05,3.5485430179837962e-06
10.3,-2.016090796949938e-13,-1.1483285674308938e-05,3.5363131686283467e-06
10.4,-1.989909929195344e-13,-1.0238713585323171e-05,3.519465380130704e-06
10.5,-1.9164649120717136e-13,-9.07453034676107e-06,3.5002088148994304e-06
10.6,-1.8439762831212825e-13,-7.602863371764894e-06,3.481878236955005e-06
10.7,-1.7395303733000128e-13,-6.073215668234035e-06,3.4628513957413176e-06
10.8,-1.6201392306721685e-13,-4.824164847811727e-06,3.446894666248035e-06
10.9,-1.541519356105139e-13,-3.4684793947112353e-06,3.4321945835413814e-06
11.0,-1.4805394034197994e-13,-2.284122831771321e-06,3.417083208945293e-06
11.1,-1.4027038202155735e-13,-1.4894765277647795e-06,3.401582650774948e-06
11.2,-1.3618471469217062e-13,-6.622602106203415e-07,3.38307301117613e-06
11.3,-1.305027378383543e-13,-1.086036160630123e-07,3.361603741702801e-06
11.4,-1.2032920067719e-13,4.5648533011779344e-08,3.3389829418029038e-06
11.5,-1.1525628561323973e-13,1.285964815078022e-07,3.316313043177921e-06
11.6,-1.0739579341410441e-13,-1.7606791631804576e-07,3.293428978534685e-06
11.7,-9.463451117133402e-14,-7.355711338925818e-07,3.27063038974007e-06
11.8,-9.209249815463608e-14,-1.2796866976104316e-06,3.2458358057985137e-06
11.9,-8.258538155895793e-14,-1.9635839118322674e-06,3.217729896642929e-06
12.0,-7.372729071491336e-14,-2.3493730275941686e-06,3.182838437365554e-06
12.1,-7.307711424617906e-14,-2.4321227609161063e-06,3.1404221868536197e-06
12.2,-6.62082930034491e-14,-2.315792528462673e-06,3.0912342922073677e-06
12.3,-6.366185430584265e-14,-1.6397821632618576e-06,3.034040192972931e-06
12.4,-6.197679403794455e-14,-8.878999091823045e-07,2.9704328780022493e-06
12.5,-5.296132362507882e-14,-5.371278473706006e-08,2.9012525276650436e-06
12.6,-4.116991108316246e-14,1.0417776815490709e-06,2.826456846682923e-06
12.7,-2.61448066828191e-14,1.7723625996821185e-06,2.748569082666741e-06
12.8,-4.580124593982393e-15,2.5260537764871154e-06,2.6674987759767177e-06
12.9,1.9939560588059825e-14,3.355338571347809e-06,2.5836521638789023e-06
13.0,3.9499842092429405e-14,3.832241414229411e-06,2.4998624622574184e-06
13.1,5.999100174885066e-14,4.558324749402171e-06,2.414227311064998e-06
13.2,8.454541601876257e-14,5.3356381516558095e-06,2.326877586278364e-06
13.3,1.0706830147905376e-13,6.010754256497641e-06,2.2361706982776397e-06
13.4,1.3259636583564013e-13,7.0688517940773346e-06,2.1421755157513545e-06
13.5,1.590453612119388e-13,8.086042639948897e-06,2.044920473731615e-06
13.6,1.7902922822470814e-13,9.151762214133096e-06,1.9428782073172e-06
13.7,1.944401531351145e-13,1.0421400258266896e-05,1.8387945802667005e-06
13.8,2.0422987217880496e-13,1.137516198769448e-05,1.7336665024680897e-06
13.9,2.0750879386031805e-13,1.221481641681766e-05,1.6272903949898776e-06
14.0,2.096140615577426e-13,1.2776639109193191e-05,1.5209195033394352e-06
14.1,2.1684998255227998e-13,1.2727243087454597e-05,1.4155095887646851e-06
14.2,2.2280681320435249e-13,1.2445184214949722e-05,1.3101744579246954e-06
14.3,2.316034363348328e-13,1.1725397136292964e-05,1.206498168149217e-06
14.4,2.40244029917832e-13,1.0604663538623629e-05,1.1033280268302192e-06
14.5,2.425295825497626e-13,9.544323258171017e-06,9.994736526186543e-07
14.6,2.414210011864482e-13,8.277396595824106e-06,8.954422919815741e-07
14.7,2.3756829297252797e-13,6.946070860695778e-06,7.900544268801823e-07
14.8,2.343390221112117e-13,5.8038465734969285e-06,6.816286194366583e-07
14.9,2.3769418748498066e-13,4.477299809011319e-06,5.71494191192734e-07
15.0,2.4134529571963446e-13,3.1725744760840944e-06,4.613884304616178e-07
15.1,2.4626994829595007e-13,2.0353080161173734e-06,3.5123504027456676e-07
15.2,2.552736608449276e-13,7.6974953104742e-07,2.4285078448205155e-07
15.3,2.5460579341276684e-13,-2.91870390173581e-07,1.369573193743534e-07
15.4,2.5705005000109055e-13,-1.1275619977646034e-06,3.4577799845614265e-08
15.5,2.583434261813511e-13,-2.0543847728502394e-06,-6.485046111226467e-08
15.6,2.516015043835115e-13,-2.7769268137341275e-06,-1.6076712816559535e-07
15.7,2.5067712081059905e-13,-3.473377455556917e-06,-2.523280459021393e-07
15.8,2.458850657144105e-13,-4.334745006335742e-06,-3.3839744861818843e-07
15.9,2.328053671974428e-13,-4.9432918826452025e-06,-4.1850534893139724e-07
16.0,2.221017811729826e-13,-5.492275093990783e-06,-4.921416661973765e-07
16.1,2.0873793600253147e-13,-5.840374133569043e-06,-5.586550068104046e-07
16.2,1.9152395565359757e-13,-5.624981692762645e-06,-6.181647237424315e-07
16.3,1.7440870810701696e-13,-5.290114683298666e-06,-6.701222748928259e-07
16.4,1.5767617279714977e-13,-4.669512070203143e-06,-7.155113636025945e-07
16.5,1.393774535223272e-13,-3.87936281168732e-06,-7.528320112859532e-07
16.6,1.1834979103921551e-13,-3.50918961199117e-06,-7.827334490562166e-07
16.7,9.816644311837807e-14,-3.199498414491983e-06,-8.049457446146491e-07
16.8,7.797515600742956e-14,-3.2289748853242884e-06,-8.194963981855707e-07
16.9,5.72017588476866e-14,-3.713035079259978e-06,-8.276156456821226e-07
17.0,4.0410431767039453e-14,-3.999418972952268e-06,-8.273657549073832e-07
17.1,2.2412684666212547e-14,-4.461635930782601e-06,-8.196686057670988e-07
17.2,2.253064943767458e-16,-4.907473890365576e-06,-8.067489781771187e-07
17.3,-1.7832312249775298e-14,-4.976031069427593e-06,-7.859187419745339e-07
17.4,-3.594202719543822e-14,-5.221763963845363e-06,-7.600507249128086e-07
17.5,-5.670160903621963e-14,-5.307821412889609e-06,-7.319073963563127e-07
17.6,-7.158936461232094e-14,-5.177017300867401e-06,-6.983889461187331e-07
17.7,-8.168918954894835e-14,-5.13140301407512e-06,-6.623672986760809e-07
17.8,-9.413894642124391e-14,-4.696318281200928e-06,-6.210962250063901e-07
17.9,-1.0352775053697833e-13,-4.091326064178927e-06,-5.725070385542708e-07
18.0,-1.1507836923340065e-13,-3.4751994589700303e-06,-5.169690299178242e-07
18.1,-1.251418534925628e-13,-2.7214898746597773e-06,-4.528281122295752e-07
18.2,-1.3570057918000803e-13,-2.3790546606301765e-06,-3.8197651652804865e-07
18.3,-1.4391913550561056e-13,-2.420763274309855e-06,-3.0642030723893043e-07
18.4,-1.4772254384448898e-13,-2.8319691383276415e-06,-2.2782700692669522e-07
18.5,-1.5241411387846913e-13,-3.8620010128343955e-06,-1.4754191990373755e-07
18.6,-1.5166825904809504e-13,-4.958341621824272e-06,-6.513025574417242e-08
18.7,-1.494017427304243e-13,-6.041340585622023e-06,1.962788920284453e-08
18.8,-1.5000025309598376e-13,-7.205833536321873e-06,1.0693013774432103e-07
18.9,-1.4318117262989598e-13,-8.006023290572644e-06,1.9906805859282173e-07
19.0,-1.3315644967953454e-13,-8.785416982100251e-06,2.944569060803204e-07
19.1,-1.2744846519255786e-13,-9.824705693444188e-06,3.9342563595834434e-07
19.2,-1.1460131373962414e-13,-1.0853273244896533e-05,4.965666994261042e-07
19.3,-9.502627454100576e-14,-1.2191642802265838e-05,6.036306380297063e-07
19.4,-7.987541417540267e-14,-1.376748736807562e-05,7.160593339383681e-07
19.5,-5.600235025518876e-14,-1.5060386960619023e-05,8.33413238310321e-07
19.6,-3.189907345204232e-14,-1.6211141900947374e-05,9.55178156902825e-07
19.7,-7.852751385665037e-15,-1.7071114424019213e-05,1.0821474459854485e-06
19.8,2.16054755793788e-14,-1.7404493765605905e-05,1.2108814145816993e-06
19.9,5.152906173460807e-14,-1.7630146807643796e-05,1.339421564883203e-06
20.0,8.219755678201238e-14,-1.7702889498133723e-05,1.4698844214011686e-06
20.1,1.1460387224361867e-13,-1.7578734762509445e-05,1.5977926125509967e-06
20.2,1.4850360961936723e-13,-1.745691178338548e-05,1.724705805394855e-06
20.3,1.796409039317134e-13,-1.6887377554144933e-05,1.8510445963793032e-06
20.4,2.043324322684132e-13,-1.5873046689156585e-05,1.9735412365440297e-06
20.5,2.3166894647434626e-13,-1.4472991753883628e-05,2.093909109768255e-06
20.6,2.5434792455426045e-13,-1.2418718407550488e-05,2.210820186587803e-06
20.7,2.7728448950610824e-13,-1.0378978990193052e-05,2.322265575060989e-06
20.8,3.033478253214274e-13,-8.543186037202902e-06,2.429738713005669e-06
20.9,3.249107199514676e-13,-6.925202750495468e-06,2.5334118346487244e-06
21.0,3.427771966290951e-13,-6.213536685717008e-06,2.6319029894361634e-06
21.1,3.5742656626511133e-13,-5.917453310243831e-06,2.7255941960069308e-06
21.2,3.62164995698081e-13,-5.785862293928551e-06,2.814312255572382e-06
21.3,3.659878695390539e-13,-6.03166232692679e-06,2.8986493380012135e-06
21.4,3.714611189410187e-13,-5.8616829677166075e-06,2.9768935251306416e-06
