# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,-6.140268227956103e-16,-1.3509021026037336e-16,2.1695226487539188e-06
0.2,-1.0273107110344266e-15,-1.4211837383869373e-16,8.040318074553632e-06
0.3,-8.656727530996791e-16,9.842823444251893e-17,1.5204684856162665e-05
0.4,9.552065191224725e-17,3.3448261543139824e-16,2.1946155218111052e-05
0.5,1.8400233497982903e-15,5.758882284509039e-16,2.761734987621889e-05
0.6,3.3998396529602405e-15,1.0467706136900185e-15,3.226004167344865e-05
0.7,5.147471022990527e-15,1.5368914566983711e-15,3.6523173262970055e-05
0.8,3.741900217715339e-15,1.8226370285113995e-15,4.021906139384246e-05
0.9,3.654712488868588e-15,1.6674999640973778e-15,4.350100261507617e-05
1.0,2.925594704093615e-15,1.029797485197459e-15,4.6335154570198434e-05
1.1,-1.3617153893625645e-15,1.2510610263657755e-16,4.8561072783948056e-05
1.2,-4.2593444037962546e-15,-6.783045489576694e-16,5.00592773603481e-05
1.3,-1.0090718050376677e-14,-1.7166616517313772e-15,5.066966263134187e-05
1.4,-1.5500975275891434e-14,-3.009602906344433e-15,5.078307796957393e-05
1.5,-1.934606145830179e-14,-4.2788839659036085e-15,5.040789999133377e-05
1.6,-2.2576740484232406e-14,-5.5129955994307424e-15,4.9628050332484186e-05
1.7,-2.251355869347649e-14,-7.024904509347486e-15,4.896438241785983e-05
1.8,-1.9579155142084386e-14,-8.952701243393379e-15,4.822328204168169e-05
1.9,-1.8275993547090443e-14,-1.0617260732250894e-14,4.7338848777278564e-05
2.0,-1.3719495053433058e-14,-1.18760160256019e-14,4.653320108849446e-05
2.1,-1.010118915357444e-14,-1.2911119977544076e-14,4.5555024383525655e-05
2.2,-5.665175869271864e-15,-1.356179629511212e-14,4.4385497579013666e-05
2.3,6.85644712260842e-16,-1.3366305360168936e-14,4.321314555466582e-05
2.4,5.002609736844737e-15,-1.2129631675186381e-14,4.1989508443252e-05
2.5,1.0286629408503877e-14,-1.0349249631894086e-14,4.0819360779154046e-05
2.6,1.4457614267436225e-14,-8.224452915835106e-15,3.974073664292366e-05
2.7,1.7060803199983932e-14,-5.397418961773604e-15,3.861767533852589e-05
2.8,1.6783505441340337e-14,-1.6757996558696263e-15,3.741737048124083e-05
2.9,1.5538740311254526e-14,2.897727984536999e-15,3.5846589047205946e-05
3.0,1.274619527286611e-14,8.197044770072505e-15,3.375467323218917e-05
3.1,6.194506784469316e-15,1.4044566915636805e-14,3.1288529251383146e-05
3.2,-1.577096947282297e-15,2.04534814560401e-14,2.826225993868281e-05
3.3,-1.0287601804294353e-14,2.6898050443861122e-14,2.4994926833055153e-05
3.4,-2.6993480457707446e-14,3.255497135185199e-14,2.1929002535281406e-05
3.5,-4.5819187366640387e-14,3.767745689051477e-14,1.884396624396434e-05
3.6,-6.693629154216306e-14,4.266513983165003e-14,1.6059716747229835e-05
3.7,-9.350286658191033e-14,4.743596000943531e-14,1.3572868464817311e-05
3.8,-1.2042886175888138e-13,5.208928022920933e-14,1.088243442015635e-05
3.9,-1.4639357901272534e-13,5.730437741665676e-14,8.183099926672988e-06
4.0,-1.756696929063231e-13,6.370717434799749e-14,5.346698062624888e-06
4.1,-2.046946137276896e-13,7.08862114162678e-14,2.3743259479624967e-06
4.2,-2.2989776023184085e-13,7.82880965975382e-14,-3.4736089327136455e-07
4.3,-2.6336728954885884e-13,8.651150424970858e-14,-2.7899020568211697e-06
4.4,-2.9613465344821833e-13,9.576550887774177e-14,-4.701755395353224e-06
4.5,-3.2596210260594927e-13,1.058931954919462e-13,-6.191637058949873e-06
4.6,-3.603627755945928e-13,1.1697887300035062e-13,-7.402244689758142e-06
4.7,-3.9105120037329385e-13,1.29143620829769e-13,-8.290850031511532e-06
4.8,-4.1734993684631385e-13,1.4255672470624817e-13,-9.304412809441054e-06
4.9,-4.433960413320542e-13,1.5673696334937606e-13,-1.0245110540041402e-05
5.0,-4.69409843523585e-13,1.7096816438703417e-13,-1.1063092492435977e-05
5.1,-4.892073776913655e-13,1.8489887613667446e-13,-1.2006166092759507e-05
5.2,-5.099763862492295e-13,1.9890929594610864e-13,-1.2620289649212246e-05
5.3,-5.312246107996702e-13,2.130958108488209e-13,-1.3120857682236142e-05
5.4,-5.438009252251338e-13,2.2701065909329965e-13,-1.362821733763564e-05
5.5,-5.5711535521895e-13,2.407550191043105e-13,-1.3851845872436819e-05
5.6,-5.67872222312664e-13,2.5482672237514505e-13,-1.4154504963115322e-05
5.7,-5.719651007236161e-13,2.690159581484541e-13,-1.441060741880218e-05
5.8,-5.76689767033872e-13,2.8225187446348997e-13,-1.4443810002595647e-05
5.9,-5.812303778149939e-13,2.936020969824064e-13,-1.443978078274899e-05
6.0,-5.829819189392608e-13,3.034513462165592e-13,-1.4137833779570563e-05
6.1,-5.859281252244697e-13,3.119513863031891e-13,-1.3517663632334198e-05
6.2,-5.85571120909485e-13,3.1873729151689893e-13,-1.2672997874330072e-05
6.3,-5.831137401563336e-13,3.239039213387242e-13,-1.1516653891097128e-05
6.4,-5.766880059724508e-13,3.2804293944558485e-13,-1.0199965402413191e-05
6.5,-5.674442323372342e-13,3.313797230306199e-13,-8.825790931754618e-06
6.6,-5.588347671261434e-13,3.3332778011140506e-13,-7.409987506146187e-06
6.7,-5.400485465912417e-13,3.3300473996138845e-13,-6.023089866968867e-06
6.8,-5.18737224478723e-13,3.304632950993098e-13,-4.56012001370798e-06
6.9,-4.96895823909542e-13,3.2618823434573544e-13,-2.9007017633420062e-06
7.0,-4.677107482821517e-13,3.2033020132535627e-13,-1.0699787059698096e-06
7.1,-4.382533181123267e-13,3.131441605075774e-13,1.088849772235001e-06
7.2,-4.1231442065291064e-13,3.051857287067052e-13,3.4377352823300455e-06
7.3,-3.82969533191177e-13,2.9718897887468336e-13,5.642975923980664e-06
7.4,-3.536556720964103e-13,2.88735151416781e-13,7.765327501574326e-06
7.5,-3.245530807764379e-13,2.787652448958725e-13,9.499522301781305e-06
7.6,-2.927825167852737e-13,2.6748755618429706e-13,1.0754705598192693e-05
7.7,-2.5468615404222546e-13,2.553992657648911e-13,1.1875328323474044e-05
7.8,-2.1891482284232934e-13,2.424865196379923e-13,1.2746152035281177e-05
7.9,-1.8600677973931505e-13,2.291624515912183e-13,1.3606282635802991e-05
8.0,-1.4494063768839074e-13,2.1669963239900225e-13,1.4554087934937066e-05
8.1,-1.1510377358785723e-13,2.0598593100233124e-13,1.535497265170438e-05
8.2,-8.758562279010756e-14,1.9707642381172305e-13,1.6102786051352957e-05
8.3,-5.261271321528602e-14,1.889878919295347e-13,1.647645010927068e-05
8.4,-2.6404490423609325e-14,1.814719377728923e-13,1.6560617238980946e-05
8.5,1.0983183272790558e-15,1.7493996964900193e-13,1.6437236180277814e-05
8.6,3.692483038889526e-14,1.6923632597495589e-13,1.5803872120856433e-05
8.7,6.827498393275374e-14,1.6415702095310794e-13,1.515009064079198e-05
8.8,9.215574755937473e-14,1.6026798561886505e-13,1.4238544311928614e-05
8.9,1.2494193505055905e-13,1.5849423591196937e-13,1.2760615054507873e-05
9.0,1.4801441554858805e-13,1.582762543080979e-13,1.1197746629609817e-05
9.1,1.6371020673905543e-13,1.5830745502554505e-13,9.107551666276414e-06
9.2,1.8513945641266523e-13,1.582398937954886e-13,6.534613519071364e-06
9.3,1.933868411161469e-13,1.5772317153410548e-13,3.964770236453141e-06
9.4,1.9730044487867323e-13,1.56226105143729e-13,1.1529470006488296e-06
9.5,1.9777843274188617e-13,1.528070646925949e-13,-1.6125151335311116e-06
9.6,1.9357716051053111e-13,1.4782311695875917e-13,-4.168198964982217e-06
9.7,1.8444323288724718e-13,1.424431379782986e-13,-6.651132566592999e-06
9.8,1.7201548018154137e-13,1.370641719802066e-13,-9.00094579348032e-06
9.9,1.6521544971367502e-13,1.3088247800211785e-13,-1.1330614317350829e-05
10.0,1.476737207828907e-13,1.2310293828352384e-13,-1.3517006513752428e-05
10.1,1.2672404037812243e-13,1.1385607247437658e-13,-1.5651046570197558e-05
10.2,1.1226650377948746e-13,1.026959993597161e-13,-1.768154032555369e-05
10.3,8.882866058180226e-14,8.88473318197147e-14,-1.9204320246379858e-05
10.4,6.898019850783129e-14,7.291336547939132e-14,-2.036391110304958e-05
10.5,5.858696582634277e-14,5.638412702056975e-14,-2.0995942431656367e-05
10.6,4.4896795626561716e-14,4.021876034315938e-14,-2.086640061904621e-05
10.7,3.415400459215547e-14,2.5364689732924432e-14,-2.032726239720173e-05
10.8,2.6036043056328374e-14,1.2189314966527521e-14,-1.940822776946849e-05
10.9,1.621815729838645e-14,1.1474841319420591e-15,-1.819731151486703e-05
11.0,6.424353114110413e-15,-7.103854050503812e-15,-1.702491019883734e-05
11.1,-1.3993738485573341e-15,-1.298584871587126e-14,-1.5859040557120174e-05
11.2,9.83756478695052e-16,-1.664814058853646e-14,-1.4646595786982353e-05
11.3,6.5276861250524e-16,-1.704381061811328e-14,-1.3435877899925508e-05
11.4,4.505578338109797e-15,-1.3508995921321463e-14,-1.2087534213667261e-05
11.5,1.6586135568629826e-14,-6.388270685655023e-15,-1.061600360230397e-05
11.6,1.6130661157470348e-14,3.2088938854789704e-15,-9.172028003656685e-06
