molecule	mu
n2	0.594939
co	0.472691
co2	0.521026
n2o	0.502324
o2	0.688461
h2o	0.546362
nh3	0.470089
ch4	0.453700
h2co	0.476120
c2h2	0.417415
c2h4	0.370395
c2h6	0.431186
c6h6	0.296607
para_aminophenol	0.299475
ortho_aminophenol	0.294339
meta_aminophenol	0.292021
h2s	0.414295
so2	0.499839
cs2	0.353777
lif	0.557662
beo	0.383825
bf	0.437831
pyrimidine	0.367478
purine	0.329576
uracil	0.318252
cytosine	0.317059
thymine	0.298532
adenine	0.296244
guanine	0.284965
formamide	0.498438
pentan3one	0.342545
pentan2one	0.350581
pentanal	0.383427
