root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.231400	237.0000	1.96240000e-04	yes
2	singlet	5.513900	224.8575	1.06828722e-01	yes
3	singlet	5.545300	223.5843	1.91006272e-01	yes
4	singlet	5.879500	210.8754	7.36067500e-04	yes
5	singlet	6.196400	200.0907	1.62966600e-04	yes
6	singlet	6.795600	182.4478	4.26028461e-01	yes
7	singlet	6.884500	180.0918	1.56950042e-02	yes
8	singlet	7.132300	173.8348	2.18804510e-03	yes
9	singlet	7.176900	172.7545	3.96736676e-02	yes
10	singlet	7.236100	171.3412	1.00049791e-01	yes
11	singlet	7.296500	169.9228	5.75721610e-03	yes
12	singlet	7.688500	161.2593	7.57450000e-05	yes
13	singlet	7.701500	160.9871	1.56748867e-01	yes
14	singlet	8.157700	151.9843	7.12230800e-04	yes
15	singlet	8.161700	151.9098	8.19419935e-02	yes
16	singlet	8.306200	149.2670	9.77950000e-06	yes
17	singlet	8.493600	145.9737	5.97379349e-02	yes
18	singlet	8.496400	145.9256	2.64301320e-03	yes
19	singlet	8.538900	145.1993	1.78576260e-03	yes
20	singlet	8.584700	144.4246	7.76830873e-02	yes
21	singlet	8.818000	140.6035	2.63153630e-03	yes
22	singlet	8.847300	140.1379	1.13799740e-03	yes
23	singlet	8.885200	139.5401	3.61858732e-02	yes
24	singlet	9.263700	133.8387	4.60150900e-04	yes
25	singlet	9.292000	133.4311	1.58254808e-01	yes
26	singlet	9.349200	132.6148	2.25383192e-02	yes
27	singlet	9.488300	130.6706	3.87190860e-03	yes
28	singlet	9.518800	130.2519	1.33292396e-01	yes
29	singlet	9.609900	129.0172	9.12846476e-02	yes
30	singlet	9.641000	128.6010	1.15146600e-03	yes
