root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.405800	229.3540	2.23546900e-04	yes
2	singlet	5.614500	220.8286	1.25930446e-02	yes
3	singlet	5.635000	220.0252	3.00441918e-01	yes
4	singlet	6.052300	204.8547	8.65962200e-04	yes
5	singlet	6.385300	194.1713	2.90482600e-04	yes
6	singlet	6.925600	179.0230	4.66162311e-01	yes
7	singlet	7.024400	176.5050	1.72604878e-02	yes
8	singlet	7.318400	169.4143	1.24516630e-03	yes
9	singlet	7.352500	168.6286	1.55423301e-01	yes
10	singlet	7.371500	168.1940	7.74915860e-03	yes
11	singlet	7.500000	165.3123	6.24569190e-03	yes
12	singlet	7.860800	157.7247	1.46085339e-01	yes
13	singlet	7.950100	155.9530	1.27227000e-05	yes
14	singlet	8.383100	147.8978	7.83888532e-02	yes
15	singlet	8.533500	145.2911	1.02074200e-04	yes
16	singlet	8.685700	142.7452	1.03033200e-04	yes
17	singlet	8.711200	142.3273	1.85231700e-03	yes
18	singlet	8.744700	141.7821	2.81349150e-03	yes
19	singlet	8.881800	139.5935	8.74003069e-02	yes
20	singlet	8.918600	139.0176	4.55931849e-02	yes
21	singlet	9.076700	136.5961	3.63354120e-03	yes
22	singlet	9.176200	135.1150	3.53074000e-05	yes
23	singlet	9.289000	133.4742	1.67038030e-02	yes
24	singlet	9.503000	130.4685	8.01901500e-04	yes
25	singlet	9.517200	130.2738	1.85250369e-01	yes
26	singlet	9.684200	128.0273	1.00028518e-02	yes
27	singlet	9.802700	126.4796	4.23437590e-03	yes
28	singlet	9.897500	125.2682	1.55626412e-01	yes
29	singlet	9.942400	124.7025	2.88964116e-02	yes
30	singlet	9.943100	124.6937	4.59614830e-03	yes
