root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	2.071600	598.4948	2.00508898e-02	yes
2	singlet	2.071600	598.4948	2.00508899e-02	yes
3	singlet	3.315400	373.9645	2.07195948e-02	yes
4	singlet	6.238100	198.7531	0.00000000e+00	yes
5	singlet	6.416500	193.2271	0.00000000e+00	yes
6	singlet	6.416600	193.2241	0.00000000e+00	yes
7	singlet	7.495800	165.4049	3.98808666e-02	yes
8	singlet	7.495800	165.4049	3.98808666e-02	yes
9	singlet	8.693300	142.6204	1.05934209e-01	yes
10	singlet	8.693300	142.6204	1.05934209e-01	yes
11	singlet	9.097600	136.2823	2.45180222e-01	yes
12	singlet	9.563200	129.6472	3.82509891e-02	yes
13	singlet	10.048600	123.3845	3.96324784e-02	no
14	singlet	10.048600	123.3845	3.96324783e-02	no
15	singlet	10.778600	115.0281	0.00000000e+00	no
16	singlet	10.778700	115.0270	0.00000000e+00	no
17	singlet	10.881600	113.9393	0.00000000e+00	no
18	singlet	11.129800	111.3984	7.96962540e-03	no
19	singlet	11.995300	103.3606	2.99514231e-02	no
20	singlet	11.995300	103.3606	2.99514231e-02	no
21	singlet	12.089400	102.5561	3.03985356e-01	no
22	singlet	16.214800	76.4636	1.71473245e-02	no
23	singlet	16.214800	76.4636	1.71473245e-02	no
24	singlet	17.814500	69.5973	1.16474961e-01	no
