root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	1.958600	633.0246	1.90256293e-02	yes
2	singlet	1.958600	633.0246	1.90256293e-02	yes
3	singlet	3.161500	392.1689	2.13895470e-02	yes
4	singlet	6.196500	200.0875	0.00000000e+00	yes
5	singlet	6.363000	194.8518	0.00000000e+00	yes
6	singlet	6.363100	194.8487	0.00000000e+00	yes
7	singlet	7.394200	167.6776	4.05652197e-02	yes
8	singlet	7.394200	167.6776	4.05652198e-02	yes
9	singlet	8.576100	144.5694	1.03917711e-01	yes
10	singlet	8.576100	144.5694	1.03917711e-01	yes
11	singlet	8.997500	137.7985	2.17587855e-01	yes
12	singlet	9.423100	131.5747	6.01023405e-02	yes
13	singlet	9.876700	125.5320	4.19886459e-02	yes
14	singlet	9.876700	125.5320	4.19886458e-02	yes
15	singlet	10.641800	116.5068	0.00000000e+00	no
16	singlet	10.641900	116.5057	0.00000000e+00	no
17	singlet	10.750500	115.3288	0.00000000e+00	no
18	singlet	10.897100	113.7772	7.82990300e-03	no
19	singlet	11.808300	104.9975	2.98684759e-02	no
20	singlet	11.808300	104.9975	2.98684759e-02	no
21	singlet	11.991100	103.3968	3.11922236e-01	no
22	singlet	16.121900	76.9042	1.77426334e-02	no
23	singlet	16.121900	76.9042	1.77426334e-02	no
24	singlet	17.614800	70.3864	9.78555480e-02	no
