root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	6.328200	195.9233	2.21743227e-01	yes
2	singlet	6.328200	195.9233	2.21743227e-01	yes
3	singlet	10.630800	116.6273	3.28032671e-01	no
4	singlet	11.808700	104.9939	0.00000000e+00	no
5	singlet	12.023200	103.1208	0.00000000e+00	no
6	singlet	12.023200	103.1208	0.00000000e+00	no
7	singlet	13.939400	88.9451	1.82151785e-01	no
8	singlet	13.939400	88.9451	1.82151785e-01	no
9	singlet	14.305800	86.6671	5.06575174e-01	no
10	singlet	14.916800	83.1172	3.79546877e-02	no
11	singlet	14.916800	83.1172	3.79546877e-02	no
12	singlet	15.141200	81.8853	1.08400300e-03	no
