root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	6.324500	196.0379	2.21335268e-01	yes
2	singlet	6.324500	196.0379	2.21335268e-01	yes
3	singlet	10.392400	119.3028	3.13262018e-01	no
4	singlet	11.426900	108.5020	0.00000000e+00	no
5	singlet	11.639700	106.5184	0.00000000e+00	no
6	singlet	11.639700	106.5184	0.00000000e+00	no
7	singlet	13.745600	90.1992	1.88416206e-01	no
8	singlet	13.745600	90.1992	1.88416207e-01	no
9	singlet	14.057600	88.1973	5.13642121e-01	no
10	singlet	14.480700	85.6203	2.72661926e-02	no
11	singlet	14.480700	85.6203	2.72661924e-02	no
12	singlet	14.990900	82.7063	7.51154550e-03	no
