root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	8.163100	151.8837	3.89186559e-01	yes
2	singlet	8.395000	147.6881	3.92995000e-05	yes
3	singlet	8.865000	139.8581	3.30222832e-02	yes
4	singlet	9.411800	131.7327	1.84950000e-06	yes
5	singlet	9.827900	126.1553	1.32000000e-08	yes
6	singlet	10.029300	123.6220	3.32500000e-07	no
7	singlet	11.017700	112.5318	2.00400000e-07	no
8	singlet	11.581000	107.0583	0.00000000e+00	no
9	singlet	11.905000	104.1446	0.00000000e+00	no
10	singlet	11.948200	103.7681	2.96185187e-01	no
11	singlet	12.083300	102.6079	4.21607058e-01	no
12	singlet	13.126100	94.4562	1.70000000e-09	no
13	singlet	13.585000	91.2655	1.52948919e-01	no
14	singlet	13.943200	88.9209	2.94275400e-01	no
15	singlet	14.343400	86.4399	5.60000000e-09	no
16	singlet	14.768100	83.9541	2.37275657e-01	no
