root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	8.169200	151.7703	3.84410784e-01	yes
2	singlet	8.339300	148.6746	6.99373000e-05	yes
3	singlet	8.780400	141.2056	3.23129348e-02	yes
4	singlet	9.338300	132.7696	1.94690000e-06	yes
5	singlet	9.788500	126.6631	4.57000000e-08	yes
6	singlet	9.942300	124.7037	2.89400000e-07	yes
7	singlet	10.908400	113.6594	1.95300000e-07	no
8	singlet	11.501600	107.7973	0.00000000e+00	no
9	singlet	11.802200	105.0518	0.00000000e+00	no
10	singlet	11.825300	104.8466	2.86038398e-01	no
11	singlet	11.970100	103.5782	3.99646825e-01	no
12	singlet	12.974600	95.5592	1.60000000e-09	no
13	singlet	13.446200	92.2076	1.59676012e-01	no
14	singlet	13.792900	89.8899	2.98295424e-01	no
15	singlet	14.229100	87.1342	5.40000000e-09	no
16	singlet	14.575600	85.0628	2.38849445e-01	no
