root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	11.948700	103.7638	2.56124450e-01	no
2	singlet	11.950600	103.7473	2.56311048e-01	no
3	singlet	11.950600	103.7473	2.56311037e-01	no
4	singlet	13.765500	90.0688	1.69610000e-05	no
5	singlet	13.765500	90.0688	1.69585000e-05	no
6	singlet	13.766800	90.0603	0.00000000e+00	no
7	singlet	13.864100	89.4282	2.51866113e-01	no
8	singlet	13.864100	89.4282	2.51866108e-01	no
9	singlet	13.864900	89.4231	2.51837023e-01	no
10	singlet	13.968200	88.7618	0.00000000e+00	no
11	singlet	13.969700	88.7522	0.00000000e+00	no
12	singlet	15.072800	82.2569	0.00000000e+00	no
