root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	11.560900	107.2444	2.15707554e-01	no
2	singlet	11.562800	107.2268	2.15821488e-01	no
3	singlet	11.562800	107.2268	2.15821309e-01	no
4	singlet	13.343900	92.9145	8.67310000e-06	no
5	singlet	13.343900	92.9145	8.67180000e-06	no
6	singlet	13.345100	92.9062	0.00000000e+00	no
7	singlet	13.493200	91.8864	2.75679165e-01	no
8	singlet	13.493200	91.8864	2.75679416e-01	no
9	singlet	13.494000	91.8810	2.75577422e-01	no
10	singlet	13.528000	91.6501	0.00000000e+00	no
11	singlet	13.529400	91.6406	0.00000000e+00	no
12	singlet	14.727000	84.1884	0.00000000e+00	no
