root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	8.752500	141.6557	8.52733381e-02	yes
2	singlet	8.752500	141.6557	8.52733241e-02	yes
3	singlet	9.948400	124.6273	0.00000000e+00	yes
4	singlet	10.458500	118.5487	0.00000000e+00	no
5	singlet	10.458500	118.5487	0.00000000e+00	no
6	singlet	14.518500	85.3974	1.60381370e-01	no
7	singlet	14.518500	85.3974	1.60381686e-01	no
8	singlet	14.695600	84.3682	1.60527634e-01	no
9	singlet	16.491400	75.1811	1.00594071e+00	no
10	singlet	18.256400	67.9127	2.25815989e-01	no
11	singlet	18.256400	67.9127	2.25815808e-01	no
12	singlet	19.594000	63.2766	1.49819602e-01	no
