root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	8.661100	143.1506	8.38146218e-02	yes
2	singlet	8.661100	143.1506	8.38146210e-02	yes
3	singlet	9.991500	124.0897	0.00000000e+00	yes
4	singlet	10.453500	118.6054	0.00000000e+00	no
5	singlet	10.453500	118.6054	0.00000000e+00	no
6	singlet	14.139700	87.6852	1.57407486e-01	no
7	singlet	14.139700	87.6852	1.57407518e-01	no
8	singlet	14.481500	85.6156	9.05778016e-02	no
9	singlet	16.167200	76.6887	1.04502906e+00	no
10	singlet	17.900400	69.2634	2.12318029e-01	no
11	singlet	17.900400	69.2634	2.12317120e-01	no
12	singlet	19.228600	64.4791	1.52128563e-01	no
