root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	8.967000	138.2672	0.00000000e+00	yes
2	singlet	9.358100	132.4886	0.00000000e+00	yes
3	singlet	9.358100	132.4886	0.00000000e+00	yes
4	singlet	10.979100	112.9275	1.00000000e-09	no
5	singlet	10.979100	112.9275	1.00000000e-09	no
6	singlet	13.307500	93.1687	0.00000000e+00	no
7	singlet	13.538000	91.5824	5.71603460e-01	no
8	singlet	13.763000	90.0852	0.00000000e+00	no
9	singlet	13.763000	90.0852	0.00000000e+00	no
10	singlet	14.191600	87.3645	1.40000000e-09	no
11	singlet	14.191600	87.3645	1.40000000e-09	no
12	singlet	15.461000	80.1916	6.17826938e-02	no
13	singlet	15.461000	80.1916	6.17818045e-02	no
14	singlet	16.296800	76.0789	1.67600000e-07	no
15	singlet	16.406500	75.5702	3.28926214e-01	no
16	singlet	16.406500	75.5702	3.28928549e-01	no
