root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	8.855800	140.0034	0.00000000e+00	yes
2	singlet	9.229100	134.3405	0.00000000e+00	yes
3	singlet	9.229100	134.3405	0.00000000e+00	yes
4	singlet	10.488000	118.2153	2.90000000e-09	no
5	singlet	10.488000	118.2153	2.90000000e-09	no
6	singlet	13.028100	95.1667	0.00000000e+00	no
7	singlet	13.159600	94.2158	4.05495982e-01	no
8	singlet	13.409000	92.4634	0.00000000e+00	no
9	singlet	13.409000	92.4634	0.00000000e+00	no
10	singlet	13.688500	90.5754	6.30000000e-09	no
11	singlet	13.688500	90.5754	6.30000000e-09	no
12	singlet	14.811500	83.7081	4.65079916e-02	no
13	singlet	14.811500	83.7081	4.65088251e-02	no
14	singlet	15.494700	80.0172	4.43400000e-07	no
15	singlet	15.754100	78.6996	3.09788824e-01	no
16	singlet	15.754100	78.6996	3.09790564e-01	no
