root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	3.759200	329.8154	0.00000000e+00	yes
2	singlet	4.124200	300.6260	0.00000000e+00	yes
3	singlet	4.124200	300.6260	0.00000000e+00	yes
4	singlet	6.882200	180.1520	1.22851908e+00	yes
5	singlet	7.230900	171.4644	0.00000000e+00	yes
6	singlet	7.598400	163.1714	0.00000000e+00	yes
7	singlet	7.598400	163.1714	0.00000000e+00	yes
8	singlet	8.081900	153.4097	0.00000000e+00	yes
9	singlet	8.081900	153.4097	0.00000000e+00	yes
10	singlet	8.839600	140.2600	0.00000000e+00	yes
11	singlet	8.839600	140.2600	0.00000000e+00	yes
12	singlet	9.639500	128.6210	7.18045300e-04	yes
13	singlet	9.639500	128.6210	7.18045300e-04	yes
14	singlet	10.084200	122.9490	0.00000000e+00	no
15	singlet	11.259000	110.1201	0.00000000e+00	no
16	singlet	11.259000	110.1201	0.00000000e+00	no
