root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	3.766500	329.1761	0.00000000e+00	yes
2	singlet	4.128400	300.3202	0.00000000e+00	yes
3	singlet	4.128400	300.3202	0.00000000e+00	yes
4	singlet	6.875400	180.3302	1.22296937e+00	yes
5	singlet	7.226100	171.5783	0.00000000e+00	yes
6	singlet	7.589200	163.3693	0.00000000e+00	yes
7	singlet	7.589200	163.3693	0.00000000e+00	yes
8	singlet	8.058100	153.8628	0.00000000e+00	yes
9	singlet	8.058100	153.8628	0.00000000e+00	yes
10	singlet	8.825900	140.4777	0.00000000e+00	yes
11	singlet	8.825900	140.4777	0.00000000e+00	yes
12	singlet	9.614300	128.9581	8.13822100e-04	yes
13	singlet	9.614300	128.9581	8.13822100e-04	yes
14	singlet	10.062800	123.2104	0.00000000e+00	no
15	singlet	11.231400	110.3907	0.00000000e+00	no
16	singlet	11.231400	110.3907	0.00000000e+00	no
