root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.106300	242.8063	6.74209828e-02	yes
2	singlet	5.266800	235.4071	1.11731880e-03	yes
3	singlet	5.999900	206.6438	3.06700400e-04	yes
4	singlet	6.144500	201.7808	1.48115993e-01	yes
5	singlet	6.206000	199.7812	7.59220000e-06	yes
6	singlet	6.762900	183.3299	1.10455590e-03	yes
7	singlet	6.994400	177.2621	6.47442500e-04	yes
8	singlet	7.005600	176.9787	3.91460619e-01	yes
9	singlet	7.312000	169.5626	2.63109256e-01	yes
10	singlet	7.468400	166.0117	4.70598350e-03	yes
11	singlet	8.037600	154.2552	1.72933866e-02	yes
12	singlet	8.082200	153.4040	9.61543980e-03	yes
13	singlet	8.413500	147.3634	1.70059730e-03	yes
14	singlet	8.530600	145.3405	2.30002900e-04	yes
15	singlet	8.695100	142.5909	8.28706130e-02	yes
16	singlet	8.819700	140.5764	1.30793390e-01	yes
17	singlet	9.026300	137.3588	4.24270500e-04	yes
18	singlet	9.074600	136.6277	3.76411359e-02	yes
19	singlet	9.444200	131.2808	2.77301010e-03	yes
20	singlet	9.588300	129.3078	1.74051100e-04	yes
21	singlet	9.601600	129.1287	3.36117030e-02	yes
22	singlet	9.727200	127.4613	8.12894649e-02	yes
23	singlet	9.751900	127.1385	9.71677300e-04	yes
24	singlet	9.767200	126.9393	7.13899000e-05	yes
25	singlet	9.872100	125.5905	8.27283090e-03	yes
26	singlet	9.912900	125.0736	5.94495844e-02	yes
27	singlet	10.067300	123.1554	1.32985090e-03	no
28	singlet	10.207700	121.4614	5.71545720e-02	no
29	singlet	10.372100	119.5362	3.75792660e-03	no
30	singlet	10.392100	119.3062	2.79629794e-02	no
