root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.163500	240.1166	7.17673340e-02	yes
2	singlet	5.352100	231.6552	1.16096260e-03	yes
3	singlet	6.077800	203.9952	2.81883400e-04	yes
4	singlet	6.243600	198.5781	1.65466586e-01	yes
5	singlet	6.382700	194.2504	1.76360000e-06	yes
6	singlet	6.904500	179.5701	1.22583390e-03	yes
7	singlet	7.064700	175.4982	4.25117621e-01	yes
8	singlet	7.106000	174.4782	3.16888600e-04	yes
9	singlet	7.420400	167.0856	2.28518133e-01	yes
10	singlet	7.584200	163.4770	4.93963700e-03	yes
11	singlet	8.211800	150.9830	1.06560707e-02	yes
12	singlet	8.254400	150.2038	1.84917601e-02	yes
13	singlet	8.570200	144.6690	1.35183650e-03	yes
14	singlet	8.667600	143.0433	7.80280000e-05	yes
15	singlet	8.901900	139.2783	1.61507517e-01	yes
16	singlet	8.962900	138.3304	5.53038126e-02	yes
17	singlet	9.183800	135.0032	3.21403300e-04	yes
18	singlet	9.290500	133.4527	4.22750498e-02	yes
19	singlet	9.592000	129.2579	2.42839460e-03	yes
20	singlet	9.654500	128.4211	4.13989000e-04	yes
21	singlet	9.753300	127.1202	4.01865878e-02	yes
22	singlet	9.882400	125.4596	1.88800000e-07	yes
23	singlet	9.927900	124.8846	1.01382950e-03	yes
24	singlet	9.946700	124.6486	6.38284096e-02	yes
25	singlet	10.052500	123.3367	3.38100678e-02	no
26	singlet	10.179400	121.7991	4.02325023e-02	no
27	singlet	10.221400	121.2986	1.74912640e-03	no
28	singlet	10.348200	119.8123	5.68217461e-02	no
29	singlet	10.533400	117.7058	6.92512330e-03	no
30	singlet	10.592200	117.0524	5.05173200e-03	no
