root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.924600	209.2701	1.33626400e-03	yes
2	singlet	8.431000	147.0575	1.46647842e-01	yes
3	singlet	8.471900	146.3476	1.23890104e-02	yes
4	singlet	9.361500	132.4405	1.60105290e-03	yes
5	singlet	9.486600	130.6940	1.89199060e-01	yes
6	singlet	9.955300	124.5409	2.00273414e-01	yes
7	singlet	10.716500	115.6947	2.12699290e-03	no
8	singlet	10.934100	113.3922	2.14879800e-03	no
9	singlet	11.353800	109.2006	1.02682985e-02	no
10	singlet	12.022900	103.1234	4.23958765e-02	no
11	singlet	12.471600	99.4132	1.08734139e-01	no
12	singlet	12.780100	97.0135	1.00391605e-02	no
13	singlet	12.903200	96.0879	3.75468617e-02	no
14	singlet	13.472600	92.0269	3.73121700e-04	no
15	singlet	13.612700	91.0798	7.87389646e-02	no
16	singlet	13.866000	89.4160	2.79759780e-03	no
