root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.781400	214.4536	1.33127880e-03	yes
2	singlet	7.948300	155.9883	1.11162856e-02	yes
3	singlet	7.989000	155.1936	5.20144530e-02	yes
4	singlet	8.730600	142.0111	1.49735295e-01	yes
5	singlet	8.767400	141.4150	1.50199520e-03	yes
6	singlet	9.025500	137.3710	2.98044982e-01	yes
7	singlet	10.284300	120.5568	1.30867440e-03	no
8	singlet	10.340600	119.9004	6.08061850e-03	no
9	singlet	10.446600	118.6838	2.57800470e-03	no
10	singlet	11.667900	106.2609	1.28196815e-02	no
11	singlet	11.991100	103.3968	1.25028455e-01	no
12	singlet	12.292400	100.8625	3.45615421e-02	no
13	singlet	12.387700	100.0865	7.59593500e-03	no
14	singlet	12.662700	97.9129	2.54300520e-03	no
15	singlet	12.688700	97.7123	6.07769548e-02	no
16	singlet	12.907200	96.0582	3.52313470e-03	no
