root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.239100	236.6517	1.65776800e-01	yes
2	singlet	5.559400	223.0172	1.54522080e-03	yes
3	singlet	5.803900	213.6222	2.89715547e-01	yes
4	singlet	6.223700	199.2130	4.68225500e-04	yes
5	singlet	6.371400	194.5949	3.37405080e-03	yes
6	singlet	6.688300	185.3747	2.62883320e-03	yes
7	singlet	6.911700	179.3831	3.01610000e-06	yes
8	singlet	6.981200	177.5973	6.91190990e-03	yes
9	singlet	7.159600	173.1720	1.79817640e-03	yes
10	singlet	7.316000	169.4699	2.85420508e-02	yes
11	singlet	7.374600	168.1233	2.74820615e-01	yes
12	singlet	7.511900	165.0504	1.93445060e-01	yes
13	singlet	7.623100	162.6427	2.02551884e-01	yes
14	singlet	7.676000	161.5219	4.38432684e-02	yes
15	singlet	7.849900	157.9437	1.67974677e-02	yes
16	singlet	7.950800	155.9393	4.87439750e-03	yes
17	singlet	8.027700	154.4455	7.25598870e-03	yes
18	singlet	8.056400	153.8953	8.28478674e-02	yes
19	singlet	8.241400	150.4407	1.95122886e-02	yes
20	singlet	8.521000	145.5043	7.21187280e-03	yes
21	singlet	8.567300	144.7179	8.96792100e-04	yes
22	singlet	8.608600	144.0236	4.73046100e-04	yes
23	singlet	8.660200	143.1655	1.00044441e-02	yes
24	singlet	8.687800	142.7107	3.42875900e-03	yes
25	singlet	8.788400	141.0771	5.71104880e-02	yes
26	singlet	8.844500	140.1823	5.82758600e-04	yes
27	singlet	8.963400	138.3227	2.05644448e-02	yes
28	singlet	9.088600	136.4173	2.62073864e-02	yes
29	singlet	9.132300	135.7645	3.49325478e-02	yes
30	singlet	9.502800	130.4712	1.10084633e-02	yes
